search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
768, Parlantes Bluetooth T&v Koloss+parlante Frei Portatil Regalo ,672,NA,4,12,18 cuotas,1.310.77,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-455769778-parlantes-bluetooth-tv-kolossparlante-frei-portatil-regalo-_JM,NA,NA,NA,NA,NA,#455769778,NA,NA,NA,NA,NA,NA
769, Parlante Portatil Bluetooth Con Luces Jbl Pulse3 ,315,NA,4,95,18 cuotas,614.42,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/SEMPITERNO+THISELL,https://articulo.mercadolibre.com.uy/MLU-451156895-parlante-portatil-bluetooth-con-luces-jbl-pulse3-_JM,1,0,0,0,0,#451156895,NA,JBL,Pulse 3,NA,960 g,NA
770," Parlante Portátil Energy Sistem Box B3 Bluetooth Aux 3,5 Amv ",39,NA,1,10,18 cuotas,76.07,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-457765184-parlante-portatil-energy-sistem-box-b3-bluetooth-aux-35-amv-_JM,NA,NA,NA,NA,NA,#457765184,6 W,Energy Sistem,NA,NA,NA,NA
771, Equipo Musica 2.0 Vertrag Bluetooth Thonet & Vander ,199,NA,5,18,18 cuotas,388.16,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LEAMAUSRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=yFtAMciXRBoM0OHKQMP0u2R3P%2FC82lH3zNNMO4uCVGAC53B0NPjPx2qKdk%2Bu6FyLWni0malfHguES0Dv70cxaKgBnUmiYj%2BfzzA%2BHPcD8oVg9t3I%2FXcgp8hsvBMPfOnC52KOKbEbvV50cU%2BHAGxEvj2FG0hIVNjUSc9LK%2FkWMa7XjMmQlZTW%2BlRZ0IWJyb36XsTku46WybFZi6XF7a0K1Wrl3a6uHqsGnR8F65KI3WwG2mT1kArUrBJzOQ11fQM3Y6tsJRUHTmKmephQoBku6jaYobmKtV1aV%2FNYvd2zMM4IEJ1xfUs3I%2B6mnDdWTMx%2BAdoX50i0Y5g8YenKOylpxJYBRfOOBRE6xG9mnWxnogbvyf4aLJOlbenzjYbLRxVdwpjcfv6oDKf7DvKALI6vi3v3C4OvXoZnlup%2F7EeQKG4kX7t7YsTGFfreamkmBnuSVGGGeZIPPoRmj0Ff2FsdtphBFnBEUaiC4Kr2VRZsLyNk%2BgBlW4pXJQV4YjdrwzXp0v9OYwxfDq3awkVIgXZs3T6zV0ko0e%2FMGtSaLxo77KPC7xIpFbRUinxnj6mKwdeTKoxlN2%2Fwliop5dWCvXLUzjXXnQWAUBiPMKQturnml5HrotD7erApgj2KHXJKa%2BMSwzqI8Oli7i23N4lZb8bTdUJxTZfCAGXyNWuWd5CPYW%2BBp0i0YHTzs%2FrmTfJGk8WRmC060gXX%2FDeC8z9HfhBtesgWeLvFW7UBzo%2FRC2RTv8tECj9h%2F7bmFNLA6Ha03%2FtVNVXhXSU9PC16EjNg3hKWN3J3lXOIlnYeP0hkoOSLL3lTllBrIB9MkHhbnNc9m%2FKUgXx%2FegoB%2Bhx29G25FCvj6AEDkjJer%2FYLXl2FPTvSVYtbRz7Qp5vcT07gtR4yRjPV3fHLO11gvPJuBexG7FKQD6DwQ%2FS9X4%2F6hLxR%2BcQKCwP6S4%2Bcq24sVJ%2Fkru9E0qDql0CEptRkSDQnRRTDERMpsym59vnXT0l%2BTpxOzu3B7OrHRL79A9Do7UCuPqg6FrSMm9XwiVzR0wefjIBL3yoHKy5DLmIm4BLWxKhH1%2BDdy%2FMRx5CqUsi9DmvtYgO%2F0cqottcT0kH58j5Oxs%2FsQl5JTKXiEU%2BXxN9mnBazOVvCXhb3SgQcUjEij6F1sevf4XnQ2azXBfpBW4a28dbI%2FG03QRkjEZvewRrVow7ftQXmZSrShCpvtEhbzTwt8MUUWT6VLdXRfaZTU763VCdQppEqNtrjhcYhRl0mQwbpGs96YqYLc3igf5wZB1xdJOAt%2F2hus0BvaEtQbVzxknlthzEkFiGvfcFquJcHewozSMDkVybyfoWLi%2FR5PRdpQlCWVIolq3KVgD3GaLUX4%2BmXz5vLRFgCOKDz7AjYLJO7va0t1DT2DoJFM%2FroU2ot5wl66uK0nSKxIP7JzOssUefdQyvknyaj4qupuWR3dBTSkwto%2BtoyP6VoaiInSv%2B%2BvJ2K2prdx2Ypyl6WdapYcKAcDCchlcpXQSAWp%2FRoXvZKFmkZwY1ZWsKmqkOosDfw8dvRvhaU2WGnCVMROILYFfJmkPHnCbU6PqQULZHpWUb8oT5Z6YBuQj09qiCYK2t3LE5zTa6fvxhVfg5FPQKlAWMCwIbALWj6yGh7d60JVQerhdkpYRX%2BR1%2BhXDeuqFGTUl%2BDcih8hro62u5PDoHu8uoaRMz3F8IDMQm1ewI0Xu5h,1,0,0,0,0,#449196329,NA,Thonet & Vander,Vertrag,NA,NA,NA
772, Mini Parlante Bluetooth Philips 50w Ma ,40,NA,0,99999,18 cuotas,78.02,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRESERVI+MACRO,https://articulo.mercadolibre.com.uy/MLU-459768849-mini-parlante-bluetooth-philips-50w-ma-_JM,NA,NA,NA,NA,NA,#459768849,NA,Philips,NA,NA,NA,NA
773, Microfono Parlante Karaoke Ledstar Q7 Bluetooth Dimm ,499,NA,20,50,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,4.7,3,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-450070795-microfono-parlante-karaoke-ledstar-q7-bluetooth-dimm-_JM,2,1,0,0,0,#450070795,NA,NA,NA,NA,NA,NA
774, Parlantes Profesional Activo Xion Xi Xt77 Bluetooth Fama ,329,NA,1,999,18 cuotas,641.73,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FAMAELECTRODOMESTICOS,https://articulo.mercadolibre.com.uy/MLU-445068286-parlantes-profesional-activo-xion-xi-xt77-bluetooth-fama-_JM,NA,NA,NA,NA,NA,#445068286,1500 W,Xion,Xi-xt77,NA,18 kg,Auxiliar
775, Parlante Portátil Inalámbrico Jam Chill Out Varios Colores ® ,1490,NA,0,500,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457960660-parlante-portatil-inalambrico-jam-chill-out-varios-colores--_JM,NA,NA,NA,NA,NA,#457960660,NA,NA,NA,NA,0.62 lb,NA
776, Parlante Bluetooth Equipo De Audio Sony Mhc-v11d ,369,NA,0,100,18 cuotas,719.76,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ZONA_OFERTA,https://articulo.mercadolibre.com.uy/MLU-460483807-parlante-bluetooth-equipo-de-audio-sony-mhc-v11d-_JM,NA,NA,NA,NA,NA,#460483807,NA,Sony,NA,NA,NA,NA
777, Parlante Portatil Jbl Flip 4 Bluetooth Azul ,6405,NA,0,6,18 cuotas,355.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/COMPRALO_HOY01,https://articulo.mercadolibre.com.uy/MLU-452285669-parlante-portatil-jbl-flip-4-bluetooth-azul-_JM,NA,NA,NA,NA,NA,#452285669,16 W,JBL,Altavoces,Activo,515 g,NA
