search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1724, Audífonos Inalámbricos Awei T8 Bluetooth ,284,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DRACARYSSAC,https://articulo.mercadolibre.com.pe/MPE-433000388-audifonos-inalambricos-awei-t8-bluetooth-_JM,NA,NA,NA,NA,NA,#433000388,Awei,NA,NA
1725, Audifonos Xiaomi Bluetooth 4.1 Musica Handsfree Original. ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SSYST,https://articulo.mercadolibre.com.pe/MPE-425603489-audifonos-xiaomi-bluetooth-41-musica-handsfree-original-_JM,NA,NA,NA,NA,NA,#425603489,Xiaomi,NA,NA
1726, Audifonos Lg Tone Pro Hbs770 Bluetooth. ,205,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MYJ+C%C3%81NEPANEGOCIOS,https://articulo.mercadolibre.com.pe/MPE-427397172-audifonos-lg-tone-pro-hbs770-bluetooth-_JM,NA,NA,NA,NA,NA,#427397172,LG,NA,NA
1727, Mini Auriculares Bluetooth Estéreo Inalámbrico Invisibl S530 ,40,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(48 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JOS%C3%89+VARGAS87,https://articulo.mercadolibre.com.pe/MPE-430422382-mini-auriculares-bluetooth-estereo-inalambrico-invisibl-s530-_JM,NA,NA,NA,NA,NA,#430422382,NA,NA,NA
1728, Audifonos Deportivos Bluetooth Con Imán ,32,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JHONNYANCA,https://articulo.mercadolibre.com.pe/MPE-436764763-audifonos-deportivos-bluetooth-con-iman-_JM,NA,NA,NA,NA,NA,#436764763,NA,NA,NA
1729, Audifonos Bluetooth I7s Tws Cargador Portátil Apple Android ,80,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTADOROMEA,https://articulo.mercadolibre.com.pe/MPE-431586979-audifonos-bluetooth-i7s-tws-cargador-portatil-apple-android-_JM,NA,NA,NA,NA,NA,#431586979,Apple,NA,NA
1730, Audifonos Bluetooth 24hrs Extra Bass Panasonic Hf410 ,159,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436692456-audifonos-bluetooth-24hrs-extra-bass-panasonic-hf410-_JM,NA,NA,NA,NA,NA,#436692456,Panasonic,NA,NA
1731, Audífonos Bluetooth Cowin E7 ,175,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAROPA20,https://articulo.mercadolibre.com.pe/MPE-429036289-audifonos-bluetooth-cowin-e7-_JM,NA,NA,NA,NA,NA,#429036289,NA,NA,NA
1732, Handsfree Audífonos Bluetooth S6 4.0 Para Música Y Llamadas ,59,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLIMPORT+PERU,https://articulo.mercadolibre.com.pe/MPE-432022836-handsfree-audifonos-bluetooth-s6-40-para-musica-y-llamadas-_JM,NA,NA,NA,NA,NA,#432022836,NA,NA,NA
1733, Audidono Skullcandy Method Bluetooth Wireless ,199,NA,"
			
				Nuevo
			
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LIBIDINOSO27,https://articulo.mercadolibre.com.pe/MPE-436474375-audidono-skullcandy-method-bluetooth-wireless-_JM,NA,NA,NA,NA,NA,#436474375,Skullcandy,Method,NA
1734, Audifonos Bluetooth Samsung Level U Pro Handsfree Azul ,260,NA,"
			
				Nuevo
			
			
		",(900 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-433106489-audifonos-bluetooth-samsung-level-u-pro-handsfree-azul-_JM,NA,NA,NA,NA,NA,#433106489,Samsung,NA,NA
1735, Audifonos Imantados Bluetooth Deportivos ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KF+IMPORT,https://articulo.mercadolibre.com.pe/MPE-432060668-audifonos-imantados-bluetooth-deportivos-_JM,NA,NA,NA,NA,NA,#432060668,NA,NA,NA
1736, Mini Audifono Bluetooth S530 Manos Libres Llamadas Y Música ,25,NA,"
			
				Nuevo
			
			
		",(21 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PORTAL-GADGET,https://articulo.mercadolibre.com.pe/MPE-433372828-mini-audifono-bluetooth-s530-manos-libres-llamadas-y-musica-_JM,NA,NA,NA,NA,NA,#433372828,NA,NA,NA
1737, Auriculares Jbl Inalambricos Bluetooth Duet Mini 2 Dlectro ,199,NA,"
			
				Nuevo
			
			
		",(132 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO-PERU,https://articulo.mercadolibre.com.pe/MPE-436705875-auriculares-jbl-inalambricos-bluetooth-duet-mini-2-dlectro-_JM,NA,NA,NA,NA,NA,#436705875,JBL,Duet Mini,NA
1738, Audifono Bluetooth Skullcandy Method Wireless Negro ,222,NA,"
			
				Nuevo
			
			
		",(900 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-433686362-audifono-bluetooth-skullcandy-method-wireless-negro-_JM,NA,NA,NA,NA,NA,#433686362,Skullcandy,Method Wireless,NA
1739, Audífonos Bluetooth Y7. ,54,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KENNEDYYICA,https://articulo.mercadolibre.com.pe/MPE-432379465-audifonos-bluetooth-y7-_JM,NA,NA,NA,NA,NA,#432379465,NA,NA,NA
