search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Color,Conectores de entrada
22, Parlante Bluetooth Resistente Tipo Jbl Charge Buenos Graves ,985,1090,250,81,18 cuotas,54.72,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.2,18,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-450615769-parlante-bluetooth-resistente-tipo-jbl-charge-buenos-graves-_JM#position=22&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,9,4,4,1,0,#450615769,JBL,NA,NA,NA,NA,NA,NA,USB
23, Parlante Barra De Sonido Bluetooth Tv Potente Calidad Smart® ,1490,NA,36,1764,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224414-parlante-barra-de-sonido-bluetooth-tv-potente-calidad-smart-_JM#position=23&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,3,1,0,0,0,#455224414,NA,NA,NA,NA,NA,NA,NA,NA
24, Parlante Portatil Ledstar 6 Bluetooth Bateria Futuro21 Dimm ,1199,NA,29,93,18 cuotas,66.61,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446606518-parlante-portatil-ledstar-6-bluetooth-bateria-futuro21-dimm-_JM#position=24&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,0,0,1,2,0,#446606518,Bose,NA,NA,NA,NA,NA,NA,NA
25, Parlante Jbl Flip 4 Original Portátil Bluetooth - Gtia 1 Año ,3730,NA,76,9931,18 cuotas,207.22,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.8,219,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,https://articulo.mercadolibre.com.uy/MLU-447579883-parlante-jbl-flip-4-original-portatil-bluetooth-gtia-1-ano-_JM#position=25&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,183,29,4,1,1,#447579883,JBL,Flip,Flip 4,16 W,Activo,515 g,NA,NA
26, Mini Parlante Portátil Bluetooth Mp3 Sd Recargable Clicshop ,185,NA,61,21,18 cuotas,10.28,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453546717-mini-parlante-portatil-bluetooth-mp3-sd-recargable-clicshop-_JM#position=26&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,1,0,0,0,0,#453546717,NA,NA,NA,NA,NA,NA,NA,NA
27, Micrófono Karaoke Bluetooth Inalámbrico Parlante Usb Oferta ,645,NA,312,126,18 cuotas,35.83,NA,Envío a todo el país,NA,NA,4.1,34,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-454535976-microfono-karaoke-bluetooth-inalambrico-parlante-usb-oferta-_JM#position=27&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,18,10,1,1,4,#454535976,Lumax,NA,ZGB-050,NA,NA,NA,NA,NA
28, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,93,13,18 cuotas,462.62,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444260918-parlante-20-bluetooth-tienda-oficial-thonet-vander-kurbis-_JM#position=28&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,13,1,2,0,0,#444260918,Thonet & Vander,NA,Kürbis Bluetooth,NA,NA,NA,NA,NA
29, Parlante Vertical Jvc Party 60w Rms Bt Batería Mic Loi ,177,299,5,9995,18 cuotas,363.93,NA,Retiro gratis en tienda de LOi,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-465394284-parlante-vertical-jvc-party-60w-rms-bt-bateria-mic-loi-_JM#position=29&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,NA,NA,NA,NA,NA,#465394284,NA,NA,NA,60 W,NA,NA,NA,NA
30, Parlante Bluetooth Jbl Charge 4 Directo Del Importador ,6399,NA,19,8,18 cuotas,355.50,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/URU-MARKET,https://articulo.mercadolibre.com.uy/MLU-460591460-parlante-bluetooth-jbl-charge-4-directo-del-importador-_JM#position=30&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,20,6,0,0,1,#460591460,JBL,NA,Charge 4,30 W,Activo,965 g,NA,NA
31, Parlante Bluetooth Resistente L Tipo Jbl Flip 4 Colores ,890,NA,63,55,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,4.8,219,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-444859109-parlante-bluetooth-resistente-l-tipo-jbl-flip-4-colores-_JM#position=31&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,183,29,4,1,1,#444859109,JBL,Flip,Flip 4,16 W,Activo,NA,NA,NA
