search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Tipo de visor,Peso,Modelo alfanumérico,Usos recomendados
11, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,2365,NA,678,3627,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,102,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=41519443921,65,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MXROAD,Cross,NA,Polipropileno,Adultos,Unisex,Cross,NA,NA,NA,NA
12, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3499,NA,155,23,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,225,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,156,48,12,3,5,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,NA,ABS,Adultos,Unisex,urbano,Simple,1390 g,821,NA
13, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,3440,4500,358,108,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,1037,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,635,274,83,29,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Cuero sintético,ABS,Adultos,Unisex,Rebatible,Doble,NA,RS5,Urbana
14, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1405,NA,696,395,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GUgsv9pXwNsuL6y3vmV4zxb2gsE3%2BfjiaejPi27ooo7M%2FuK5hhD9jd9ZV8N4e9Iul4mv0siyZluSICd14OztyVDY4hQ8osjHCl3JrNQPSLxo1VhbxT37ESBgmwTrzvXP2%2FcTjwhaHsNSXPTdNADZZDB%2BJWkvj7vyiRizTXDGwc6YU6ORpwK4LHtaw0A8ovrO1Fy09fwIAdBVvTo%2BqJaub3Kibf3idPHzXUZY7sRJRHYrg9wfLzVlOYqX%2BiezQ%2B8BQ53FBdbTwnmIsWlmVNbJlw968xkrLIGc7otpbKEm2%2Fjn3I8uQWKuyukbon0rD54onWp3fjSGA80EEFhNC%2FgbWkyOhlPrjsQVNfC5IPBaXaZYlVG8%2BRQbE6NqKTX%2BYJzkBqIBKgvVpVZMkkZopu%2BnzMyGGuyww%2Bd8bc%2BFz1csHjjKVVHUWd5mI03ixBqI8gWvr9zo110QOezYwDFf%2F8796K6XWMhUzSf5r%2BcmWoxzTS2YSWdn%2BoVhvpTwilcNonLRMuJ%2FdZeoAtoVcew2gldbmig3SLPZmuJxjtkm5z2m4nJy6RlAp%2F5Vu0SpPnKWAcmSHbUWtqCVrBAJy%2FkCU3inSjwFCBUo5hvjudfIl4huiXgy%2F%2Fy%2BKYBJZdNzuhfcE7M8iQUfQa2ON4WxZMQcEfs4e7gvUyypK%2B1pXxPeRKrMNP4kiJriWlnXhT97Jbi%2BetuWe6XifDNUNYC3gYLBHap8X%2BRYnJ9Bzw%2B9n2wk1cBKUgkF8Y19XeXm6D3VLeyqpRke1w83YR8EIxy%2BY0szQTJEuI393lrqkZL7UfCC73WXENCLBIe5lNuvef3Y0Uss0Ve6uI4SqKFQ0fuGSsXwYlKgo%2B0R7e8IwCfZbB1p1hhqHNznUZKlQNfrd9lortaJtZQrR%2FuO5c2rqkOh9bcRMk8%2BNKaG5Sr1UTqos60kn16YSYce6g0s4Uw8PRVWPGhBhTXO6bJ68Dlkf78ftPq0HDHi38Lc%2FwXB8sUPDd7f3T%2Bv12nH8FlR%2BAqPv42xjRe95nanFjSKFxJzgJoSkZGNDgIhb1Scruoq3uj3mfY5f81lShn6l56XZ2IYSN2pX1ayPQgskKPUvFbkZTdHPFuw%2F44bRczhpwX8nTI2gAPNVJPLL%2BndXuB%2FwOTTdyJG4fbFMVDOjralj%2BHc2Pd8uIrx6d%2F9ECGRCN0wJfRYlWgmrtxU%2BHuuAxg2HstbipAdsbYrerMmivJhzZWJXnIJ2h9LHFJB%2B%2FqAsrYg58w%2FNx14WDPX%2FXj0MSdqRl%2BwX7XQKw27%2Bx8i44oS6kfEQKrOOCdVUj23P0%2BxwdEAhjujh8mwqgxQBNP36fyR%2FyHNn7%2BoDhTe40hLrVekH8Q3ztmtZdDxuImFl8BqY6zYVbrT0GRqv%2FgnP93fvXkucF8raT%2FPikdhaIoFvdLMRP2C%2B6dwvyLUtKx%2FAQv8pEKSg5e8lVbIj%2B%2B7XiBTkgAYKx%2FwAD1ksCzKCwM8CtDsbSMDUpb7elK%2BipzPlCrO2RjUQuUG2SiORnCEDIUR1lokZavo%2FvUDXddPmeTCC1giVIhVQNZsWje8JULQga5TeAGeRLoxRnmdxiaFu4gi22XAcdYny1EvLQm3Td2KgwsGj1Z96cdqyhsZ2FYxevsXKB1NTEatzk5d5d%2BKIQL3qhhxjKqCptQ72x8kRitRkYuiB1tTXMhSD5hgG4u9E9vj6hDQ183lYciH%2B8XJOqOHczm7E7eSdvt5ndOj3y6EyGWOQBOXnRYUZC2zGRKzVhmgYgn%2FpvqP0E0L049UtffFB67eESTakxlByXQkpzEldc%2FUOgzovUTDX%2BgUlLei%2Fdlx96QBOStRxM4Pyehp%2BE4%2FGesAkMhHI1Mr9rQaZEcZbiTwd3wNRyA%3D,186,66,33,11,2,#744827612,Negro,"S,M",Halcon,H57,Integral,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,Doble,NA,NA,NA
15, Casco Moto Abierto Vertigo V10. Full. En Gravedadx ,990,NA,955,19,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,49,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,31,12,5,1,0,#679809834,Negro,"L (60 cm),XXS (52 cm),XS (54 cm),M - 58 cm,S (56 cm)",Vértigo,Basic,Abierto,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA,NA
16, Casco Motos Integral Halcon H57 Modelo 2019 - Sti Motos Full ,1215,NA,529,47,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465035,186,66,33,11,2,#617071459,Negro,"S,M,L,XL",Halcon,H57,Integral,NA,Polipropileno,Adultos,Unisex,Integral,Simple,NA,H57,NA
17, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,3750,NA,575,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,560,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027230,354,138,49,11,8,#617028559,"Azul,Negro,Rojo","M,L",Okinoi,OKN-10,Rebatible,NA,ABS,Adultos,Unisex,Rebatible,Doble,NA,NA,NA
18, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,2199,NA,503,20,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123673,212,67,32,4,1,#636093454,Blanco,"S,XL",Hawk,RS1,Integral,NA,ABS PREMIUM,Adultos,Unisex,Integral,Simple,NA,RS1,Urbana
19, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2432,NA,369,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668377,212,67,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Cuero sintético,ABS,Adultos,Unisex,NA,Simple,NA,NA,NA
20, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,3750,NA,575,29,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,560,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=k7VXdDI6FlnHM7zRwp2517t4dTg%2BKv04yGSLR2t8UyvLFhy4yu%2FW%2BkGGzPhlrNIwdjpwtjFmHtCGavclJ8Slkk0bX6dhqwaAmYyqdOoMhl%2Blyz%2BcsSxTE3dfmHb7LqT%2FTrGNGAeLiXNUdL7UDwnF%2FHlxTBZ2OwAzBb2YmByHLs17pfzOAWXO%2FEQjEL5g%2BoPqIdYgHDo%2FkiSCKPTMOfwSfHrvuB5fe1rsTfh79%2Bh7u7oPkRgy2MbGUKCwsV3%2BfD6fbHYnAOS%2FXiEW%2Bv1r76O%2BnOmCHnm%2FXEJcOyZK%2BHEXSIfnh9upYgY0MBIbuMMwtRFT0ehNVujBUVQ%2F%2BS4UqWJVmA6akuoHzjbIV4U4W2%2BXzQLQWbEOgFeVMVLcyhn3MPJyM51APx3eaOFPfPsmRrqaPNkTPWJEoJhKTqAZsJdE4yZIMpzaYXRCA3vyTvHB7gehxI2QR62kMMKq%2BY8vqNBMYyjTaEEGvDrNWBoaxZHLKXpKeRj5sN2ZQQXqXOb9ToIN2k0buG9W%2BCiE8N8abZ8tUImuE689lpQEyGATVKX0G86riN1jjxW0eeOov%2BXD18T%2F6ptySTD6PwJksF8TX7JvDiuDsOjj41lWvSZVcvhnPc6LtjK0CsQxPrmvmKgxl1F%2FN1FEfT%2BPdRsgmpZ1qbgYh2osZ7YMDQdFglskdRPvg8dN%2BypYK6lLeFuYSL1gYNYoOEOJ85qCCkfRN7nF2M8ZNIRitL34lrxNJBcQtmFNkvzID3vlz5YEknCZcVSls%2BlRKHwyieTJAaYiyWlA1kmZOlxndbJOWfyhk1GBzhQGhyZWkRZOfNl6pLZAj7yZ4g3t%2Bj4w0YZMyGZCWnqdGVIoz2QDjlqQsBQkHD9afNen7NLQA6qi3x0vkUZtlLKdZjwACUC5YIAWKhKbQAEMZeBKybgWTAoGJrVZZe2x5qEEHWOZuUzN2m6A7MQw%2BegkVnIkP9BSSgPkx5H5zTc9xUIsqizfJLXzeTun3%2B96f%2BeW%2BRLkLWcyfSAHlS7YvsWPIdCs2arx5APkbyGr9hoxLVmYZsvnDgLYaTh5dNEaOf3ELxyejJ5Vgxj5R9xGLKibGWH778cAQ5KF%2BzaBNzjlHRbcC3x6f7RPx6FjecELg9WR%2BI4fb6hrqldwnQ0bO4tM9CTLUl9aamnOOJaC4S%2BOul1Q3jVfv3BiGPt%2BALVCONKV%2FAzIxgS1CQXWIMGJZl0AZt9%2BEutUbYeFHjVsy4ngLgMEsTEknigbLsLW42SutU46impzRq2qWetzpJeGpA2t2MXded5VRreYhjDYzsw2z5nqAXQIpd%2Fg%2BfgPlRmSwCJuhGWje5dXYZg060ccvSgr1HA7sNLtmupaIsdZV3t%2FDcjCUicjBSCGpDMdsp6Q3RvntGuUtwlArkxyT76nltHZsKoTtB8ifjXKtefb8CyYk62FvV%2FDdHXkEASlBFIR3WntbAKEULqiRneIogShtQ%2B9WBxz01UJdtflVNJTbaKiXncjPuR%2FqNqAVgciVsH2RG7Nimwt7J01cca%2BfsVO90V32ftk5am48GXRctsDxc0uIHZgmuhgm470R5hXuk4lq69%2B%2BgMqLlWgVIToBWPefTgP8OJDv0hTltovSrL1el4A%2FxV4IRaiXe4sp1aBr47CKqFIe92TTM9C1sgIO1FgJ4wdRkDkrJOY4eWJoXoNVzkIrVQLiyG7t4nUo5RBxtDb42wJ6%2F%2Bjt9Nbq1nsr4Hwq%2FcgSow%2FrcBoRglw1Dz9lmT3uSCXYvjQWMq%2B%2FjN%2FA5TaxvGTFJ5RUjD0YbVC53CdYxRwrXv5caJsxwH5nEabVny9GMMqRLV55pqww7SLxVzrafzCEGrh0xzxob1NwoQcJl6Oe3hnkbztdXQqZ5hllw%3D%3D,354,138,49,11,8,#617028559,"Azul,Negro,Rojo","M,L",Okinoi,OKN-10,Rebatible,NA,ABS,Adultos,Unisex,Rebatible,Doble,NA,NA,NA
21, Casco Moto Hawk Htl Dr46 Rebatible Lett Store ,2735,NA,166,117,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,7,https://perfil.mercadolibre.com.ar/LETT+STORE,https://articulo.mercadolibre.com.ar/MLA-751765547-casco-moto-hawk-htl-dr46-rebatible-lett-store-_JM?searchVariation=33931244129,6,1,0,0,0,#751765547,Negro,"S,M,L,XL",Hawk,DR46,Rebatible,Cuero sintético,ABS,Adultos,Unisex,HTL,Simple,NA,NA,NA
22, Casco Moto Hawk Htl Dr46 Rebatible Full Lett Store ,2735,NA,520,44,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,24,https://perfil.mercadolibre.com.ar/LETT+STORE,https://articulo.mercadolibre.com.ar/MLA-751573649-casco-moto-hawk-htl-dr46-rebatible-full-lett-store-_JM?searchVariation=33931148553,16,7,1,0,0,#751573649,Negro,"S,M,L,XL",Hawk,DR46,Rebatible,Cuero sintético,ABS,Adultos,Unisex,HTL,Simple,NA,NA,NA
23, Casco Moto Integral Hawk Rs1 2019 Negro O Blanco - Sti Motos ,1951,NA,570,90,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-642846851-casco-moto-integral-hawk-rs1-2019-negro-o-blanco-sti-motos-_JM?searchVariation=26383822678,212,67,32,4,1,#642846851,Negro,"S,M,L,XL",Hawk,RS1,Integral,Resina termoplástica,ABS PREMIUM,Adultos,Unisex,Integral,Simple,NA,RS1,Urbana
24, Casco Halcon H5 Super Edition 2019 Al Mejor $ En Fas Motos! ,813,NA,3393,1323,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,254,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-614755822-casco-halcon-h5-super-edition-2019-al-mejor-en-fas-motos-_JM?searchVariation=25457270195,162,58,30,3,1,#614755822,Negro,"S,M,XL",Halcon,H5,Integral,Resina termoplástica,Plastico Inyectado,Adultos,Unisex,Integral,Simple,NA,NA,Carrera
25, Casco Punto Extremo Xr650 Rebatible Doble Visor Negro ,5590,NA,135,8,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,140,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,https://articulo.mercadolibre.com.ar/MLA-684785717-casco-punto-extremo-xr650-rebatible-doble-visor-negro-_JM?searchVariation=29203451786,97,37,5,0,1,#684785717,Negro mate,"S 55-56 cm,XL 61-62 cm,L 59-60 cm,M 57-58 cm",Punto Extremo,XR650,Rebatible,Goma Espuma forrada,Policarbonato,Adultos,Unisex,XR650,Doble,NA,NA,NA
26, Casco Moto Integral Doble Visor Vega Rs1 ,3790,NA,175,9,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Casco Moto Hawk Rs1 F Integral Naranja Tienda Oficial Full ,2494,NA,142,39,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,317,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-786125556-casco-moto-hawk-rs1-f-integral-naranja-tienda-oficial-full-_JM?searchVariation=36950360890,212,67,32,4,1,#786125556,NA FLUO,"S,M,L,XL",Hawk,RS1F,Integral,Cuero sintético,ABS,Adultos,Unisex,NA,Simple,NA,NA,NA
