search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
16, Casco Moto Shoei X-spirit 3 Marquez Motegi 2 Tc1 ,649.990,NA,"
			
			
				
				2
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 108.332
			
		
		 sin interés
		
	

	
		","
				$ 108.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-461163067-casco-moto-shoei-x-spirit-3-marquez-motegi-2-tc1-_JM?searchVariation=24694949950,NA,NA,NA,NA,NA,#461163067,TC-1,"L,M,S,XL,S,M,L,XL",Shoei,NA,X-Spirit III,Integral,NA,NA,NA,NA
17, Casco Moto Ls2 Ff370 Abatible Milan Negro Amarillo ,89.990,NA,"
			
			
				
				17
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480650256-casco-moto-ls2-ff370-abatible-milan-negro-amarillo-_JM,NA,NA,NA,NA,NA,#480650256,Negro/Amarillo,"S,M,L,XL",LS2,NA,FF370,Rebatible,NA,50 g,NA,NA
18, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,89.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=hywbmXdeq6cLRd92j4aoDiOGtNRrgIGUFHoiiF30U0kbgMO7C7jNDQ3%2BhFkaIWKK3Azh7%2F%2FcM7tSXMBdnl%2BcESekh48bTBFkoyBQ546Oq19YfmbervokDNAhkN4HlNL0PAmxTNicpNEM8SDI7XMP%2FnABiMx0NOf%2FhUUrUi%2Fs2rZ%2FxasQKY%2B%2Fanr%2F2qbrIELLdKaJrh7%2BAaMdsFP9bDr%2BU0Nq8cpB4YgJQ%2FP81L%2F4ENsKhxy%2FEBIuNGCfQ8vrDIkDICbsRwxPRk5utjBQO5GiBZcGyEKhkcQrtGTQ6aQF05vg8RHrNfsgdp%2BtaIvXyn5gPvji8h99DFMao2Pl3AWhr5nXwUGRObQ%2FBqUymqewAclTVf80GsJyFxmZXVMQgRctCIDPHTNQjpYm1RTkFdRPJgo3lB%2F5s0El1K34dZkw%2FA%2BwNdFiBWCm0XQBECam%2FU2BOXhjUteXE%2FDO1JrCybamzmYLnOQrwzQsihlqtB58yickjav1TA5voQp5IQ2KJs9XqvK27bkOXBwdNuEz4Hq3%2FDOinKkyDv3RVkc9bghOQjkIBwPJ3JmvCEbzsTf34pXoI10mKUyMUghRP4K3p4c6h3Az43JOoIpCXd7UaUH4rz%2Fea9uS59NqjwQGWEjUc%2BAsmeNKpWXwUBmQNBKsBX7JB1XpSLOL5f5wS4t04bQCdn6Xpd87oOR36KIakkEiSFIM3IF4XTr1t04SO9cHowrK8aDcok5nEd13mNlzes6y15bBTMO6mp9DsxaLRtwKZAReMJ2S9SEl2JXX5IUoNzPcMbl51mL4VEDoj6IR0RodSuLDGWORu6UBKbBCBHS%2FDV%2FGnPgCt1kj6pKkGjoDUUVSZNuijjQni43wSdKqKK55GzmOnXurouUnRYNzdOCyFN9o7WSxEcxuuLMhJdlyxF5%2FFT1g8AdnprcBEG2GggvsfihTVILFZLO2%2BaR834JDY%2FpaEDSHSnQtLf5AX%2F5FyGRu70YQak6xyg2UkKIMXSBJb9cUvL38IZKly7yvCcJ8Yb9O5BIoJ%2BcsYTEPeAtxnM13yg9zZBlfvHxci%2FsNG92%2BLtm6FPE%2Bf9cl%2FSToWWfGI85hZbQ6Jl3B6xD7s41MJL34%2BhUJ6msei7RGmLFyK8Tg9jk9ZinGCNIoVm6dS5YS53NUIrEX3xkzgEOnZ2nU9aWLBR03KO%2FXPPWhJ1ohr3UOj67%2F12qxagQrrcb5Msytbr1%2B8J1JLE9aOM18qI3yPoFQvZnCckH6QIjtWnHTcx6%2F6MFGlpQ35CbqH64XXfNQQGpRuYDu6EyJ4fTp2RIVZOcVUkSAEXSdgx8z1TbeuBUY4yo3Mv4BWzD314qCYalZ%2BJf5MnxOS1wSk68apMj%2B3xEJ77AblXpJa%2Fv9neT9lX7j0HbaMkB5HCVnu%2BvHe1m7R8Fn7sJtmNviltDpFk4deoX2NZkD6JCCEu6L9iGTcv7yruw0iK%2BLP%2BhLm0V1vsUoQMrOTpPx5CgZbE3wfmbpqBJd8hxtDC9h2vRU9rUWDBG565FORY3OYqP2UtUv5p6Ti5h8xAOBJ8PkqTyv%2FhL2z6%2BzB0CPE1OQE2rZNrRkls2SNbEfGG6stP8poMDkTKQodxCSjmBLbLhn7X%2BYrSgVafb6Y77T7RPRhoitKmCmleP9fxRmWvtepeUb%2Blty7IfsrqKBUkq2rofdfLirILhawa2GgfLQOTBijElHwrRjsFw%2F9fMYgsRaLSIlWtVLjzVK9I%2Bvg0hHgLU%2F4dhQJE2D9ww4Crv6kfCpylHRfeBK,NA,NA,NA,NA,NA,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA,NA,NA
19, Casco Moto Armad 813 Negro Cert Ecer + Mica Iri Azul Luz Dia ,49.990,71.990,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(237 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124431-casco-moto-armad-813-negro-cert-ecer-mica-iri-azul-luz-dia-_JM,NA,NA,NA,NA,NA,#446124431,"S + mica azul,M + mica azul,L + mica azul,XL + mica azul,XXL + mica azul",,ARMAD,NA,813,Integral,NA,1500 g,NA,NA
20, Casco Moto 4rs 125 Motocross Enduro Juvenil Full Color Dot ,37.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				72
				vendidos
			
		",(59 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.332
			
		
		 sin interés
		
	

	
		","
				$ 6.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124740-casco-moto-4rs-125-motocross-enduro-juvenil-full-color-dot-_JM,5,0,0,0,0,#446124740,"XS,S,M",,4RS,NA,125,Cross,NA,980 g,NA,NA
21, Casco Calavera Burbuja Doble Uso Craneo Choppes Moto ,37.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.167
			
		
		 sin interés
		
	

	
		","
				$ 6.167
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://articulo.mercadolibre.cl/MLC-489832649-casco-calavera-burbuja-doble-uso-craneo-choppes-moto-_JM,NA,NA,NA,NA,NA,#489832649,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
22, Casco Moto Ls2 Ff325 Abatible Strobe Zone Negro Amarillo ,99.990,NA,"
			
			
				
				42
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464625811-casco-moto-ls2-ff325-abatible-strobe-zone-negro-amarillo-_JM,3,0,0,0,0,#464625811,"M,L,XL,XXL",,LS2,ZONE,FF325 STROBE,Rebatible,Unisex,0.155 g,NA,NA
23, Casco Moto Tipo Depredador Certificado Dot Con Luz ,199.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				52
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 33.332
			
		
		 sin interés
		
	

	
		","
				$ 33.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439930838-casco-moto-tipo-depredador-certificado-dot-con-luz-_JM,5,1,0,0,0,#439930838,NA,M,NA,NA,Depredador,Integral,NA,1890 g,NA,NA
24, Casco Moto Ls2 Ff352 Negro Matte ,52.990,NA,"
			
			
				
				150
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.416
			
		
		 sin interés
		
	

	
		","
				$ 4.416
			",NA,Envío gratis a todo el país,NA,NA,3.6,5,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM,1,1,3,0,0,#461026560,"XS,M,L,XL,XXL",,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
25, Casco Moto Armad 606 Multiproposito Norma Ecer 2205 ,74.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(33 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 12.498
			
		
		 sin interés
		
	

	
		","
				$ 12.498
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296538-casco-moto-armad-606-multiproposito-norma-ecer-2205-_JM,4,0,0,0,0,#440296538,"S,M,L,XL",,ARMAD,NA,606,Integral,NA,NA,NA,NA
26, Casco Moto 4rs 168 Abatible Con Sun Visor Venom Red Dot ,44.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(59 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.498
			
		
		 sin interés
		
	

	
		","
				$ 7.498
			",NA,Envío gratis a todo el país,NA,NA,4.5,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441007009-casco-moto-4rs-168-abatible-con-sun-visor-venom-red-dot-_JM,3,3,0,0,0,#441007009,"M,L,XL",,4rs,NA,168 venom,Rebatible,NA,1450 g,NA,NA
27, Casco Moto 4rs 588 Italia Bobber Con Sun Visor Cafe Racer ,31.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(58 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.332
			
		
		 sin interés
		
	

	
		","
				$ 5.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632875-casco-moto-4rs-588-italia-bobber-con-sun-visor-cafe-racer-_JM,NA,NA,NA,NA,NA,#440632875,"M,L,XL",,4RS,CAFE RACER,588,Abierto,NA,1000 g,NA,NA
28, Casco Moto 4rs 09b Gear Purple Integral Con Sun Visor Dot ,38.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.498
			
		
		 sin interés
		
	

	
		","
				$ 6.498
			",NA,Envío gratis a todo el país,NA,NA,5.0,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440296197-casco-moto-4rs-09b-gear-purple-integral-con-sun-visor-dot-_JM,6,0,0,0,0,#440296197,"XS,S,M",,4rs,NA,09b,Integral,NA,1360 g,NA,NA
29, Casco Moto Ls2 Ff352 Touring Negro Gris Blanco Matte ,52.990,NA,"
			
			
				
				20
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.416
			
		
		 sin interés
		
	

	
		","
				$ 4.416
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466355098-casco-moto-ls2-ff352-touring-negro-gris-blanco-matte-_JM,NA,NA,NA,NA,NA,#466355098,Blanco,"S,M,L,XL,XXL",LS2,Touring,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
30, Casco Moto Ls2 Ff325 Abatible Strobe Negro Matte ,99.990,NA,"
			
			
				
				18
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461028633-casco-moto-ls2-ff325-abatible-strobe-negro-matte-_JM,NA,NA,NA,NA,NA,#461028633,"S,M,L,XL,XXL",,LS2,NA,FF325 STROBE,Rebatible,Unisex,0.155 g,NA,NA
31, Casco Moto Ls2 Ff320 Stream Evo Jink Negro Amarillo Matte ,89.990,NA,"
			
			
				
				8
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480106756-casco-moto-ls2-ff320-stream-evo-jink-negro-amarillo-matte-_JM,NA,NA,NA,NA,NA,#480106756,Amarillo Matte,"S,M,L,XL,XXL",LS2,320,FF 320,Integral,Unisex,NA,NA,NA
