search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados,Posição da ventilação
512, Capacete E Oculos P/ Trilha Ck 01 Motocross Infantil Tam 54 ,169,NA,161,25,12x,14.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,232,https://perfil.mercadolivre.com.br/MHF+CAPACETES,https://produto.mercadolivre.com.br/MLB-969184452-capacete-e-oculos-p-trilha-ck-01-motocross-infantil-tam-54-_JM?searchVariation=41646443755,191,27,9,3,2,#969184452,Rosa,54,Pro Tork,Capacete,Capacete Moto Cross Trilha Infantil CK-01,Cross,NA,NA,ABS,Crianças,Unissex,1400 g,NA,NA,NA,NA
513, Capacete Moto Skull Riders Hd Vintage Caveira Viseira Solar ,209,NA,21,1481,12x,20.06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,444,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1147314054-capacete-moto-skull-riders-hd-vintage-caveira-viseira-solar-_JM?searchVariation=30661998841,317,84,27,10,6,#1147314054,Laranja,"56,58,60",Pro Tork,Capacetes,New Atomic,Aberto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514, Capacete Moto Pro Tork Feminino R8 Camaleão + Brinde Barato ,126,NA,5,294,12x,10.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/AD-STORE,https://produto.mercadolivre.com.br/MLB-1253623679-capacete-moto-pro-tork-feminino-r8-camaleo-brinde-barato-_JM?searchVariation=38904939883,1430,407,183,63,71,#1253623679,"Rosa,Amarelo,Azul-claro,Azul-escuro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,NA,R8,Integral,Simple,Forro Anti-Alérgico,ABS Injetado,Adultos,Unissex,NA,NA,NA,NA,NA
515, Capacete Moto Pro Tork Evolution G4 Carbon Promoção ,95,NA,249,13,12x,9.08,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,125,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-767593640-capacete-moto-pro-tork-evolution-g4-carbon-promoco-_JM?searchVariation=17759008992,86,29,7,0,3,#767593640,"Azul,Prateado,Rosa,Verde,Vermelho","58,60",Pro Tork,Capacetes,788,Integral,Simple,Abs,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
516, Capacete Masculino/feminino Sport Moto Sm 788 Promoção ,62,NA,13,92,12x,5.95,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1572,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1134980597-capacete-masculinofeminino-sport-moto-sm-788-promoco-_JM?searchVariation=29954350534,973,344,149,57,49,#1134980597,Preto c/vermelho,"56,58,60",Pro Tork,Sport Moto Pro Tork,SM Sport Moto 788,Integral,Simple,NA,ABS,NA,NA,NA,Micrométrico,Inmetro,Urbano,NA
517, Capacete Moto Fechado R8 Viseira Iridium Pro Tork Azul ,98,NA,84,1781,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2154,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108258947-capacete-moto-fechado-r8-viseira-iridium-pro-tork-azul-_JM?searchVariation=27942931003,1430,407,183,63,71,#1108258947,"Azul,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,Poliestireno,ABS,NA,NA,NA,Micrométrico,Inmetro,Urbano,Superior
518, Capacete Moto Liberty R8 C/ Viseira Camaleão Tam 56 58 60 ,123,NA,15,7,12x,11.84,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MHF+CAPACETES,https://produto.mercadolivre.com.br/MLB-1116395745-capacete-moto-liberty-r8-c-viseira-camaleo-tam-56-58-60-_JM?searchVariation=28538312363,NA,NA,NA,NA,NA,#1116395745,"Amarelo,Azul,Azul-claro,Pratetado,Verde,Vermelho","56,58,60",Pro Tork,Capacete,New Liberty R8,Integral,NA,NA,ABS,Adultos,Unissex,1400 g,NA,NA,NA,NA
519, Capacete Moto Fechado R8 Protork 02 Viseiras ,143,NA,94,1456,12x,13.76,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/SABOREAVENTURA,https://produto.mercadolivre.com.br/MLB-1147327815-capacete-moto-fechado-r8-protork-02-viseiras-_JM?searchVariation=30662395225,1430,407,183,63,71,#1147327815,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,1200 g,NA,NA,NA,NA
520, Capacete Moto Ls2 Ff320 Stream Stinger Tricolor ,699,NA,7,4,12x,66.89,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/NACAR+OFICIAL?brandId=606,https://produto.mercadolivre.com.br/MLB-1118484190-capacete-moto-ls2-ff320-stream-stinger-tricolor-_JM,1,0,0,0,0,#1118484190,"55/56 - (S),57/58 - (M),59/60 - (L)",,LS2,FF320,Stream,Integral,Duplo,"forros removíveis, laváveis e antialérgicos",ABS,Adultos,Unissex,NA,NA,NA,NA,NA
521, Capacete Moto Protork R8 Fechado Viseira Camaleão ,98,NA,11,13325,12x,9.45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/BONYNYMOTOPECA,https://produto.mercadolivre.com.br/MLB-1239980501-capacete-moto-protork-r8-fechado-viseira-camaleo-_JM?searchVariation=37920382821,1430,407,183,63,71,#1239980501,Rosa,"56,58,60",Pro Tork,NA,R8 Camaleao,Integral,Simple,Poliestireno,ABS,NA,NA,NA,Micrométrico,Inmetro,Urbano,Superior
