search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
517, Parlante Activo Top Digital To10 Usb Sd Bluetooth Micrófono ,170,NA,"
			
			
				
				1
				vendido
			
		",(42 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 33811
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LIBRERIASDELLITORALSA?brandId=564,https://articulo.mercadolibre.com.uy/MLU-458527522-parlante-activo-top-digital-to10-usb-sd-bluetooth-microfono-_JM,NA,NA,NA,NA,NA,#458527522,NA,NA,NA,NA,NA,NA
518, Equipo De Audio Parlante Activo Sony Cd Bluetooth Radio H Ma ,659,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.31068
		
		 sin interés
		
	

	
		",68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRESERVI+MACRO,https://articulo.mercadolibre.com.uy/MLU-456215126-equipo-de-audio-parlante-activo-sony-cd-bluetooth-radio-h-ma-_JM,NA,NA,NA,NA,NA,#456215126,NA,Sony,NA,NA,NA,NA
519, Parlante Bluetooth Jbl Soundgear Potencia Calidad Febo ,10500,NA,"
			
				Nuevo
			
			
		",(99999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 58333
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459827740-parlante-bluetooth-jbl-soundgear-potencia-calidad-febo-_JM,NA,NA,NA,NA,NA,#459827740,NA,JBL,NA,NA,NA,NA
520, Parlante Activo 8pulg Inalambrico Xion Sd8bat 3600w Pa-pa ,79,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15712
		
		 sin interés
		
	

	
		",12,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRESERVI+PASO,https://articulo.mercadolibre.com.uy/MLU-456715225-parlante-activo-8pulg-inalambrico-xion-sd8bat-3600w-pa-pa-_JM,NA,NA,NA,NA,NA,#456715225,NA,Xion,NA,NA,NA,Entrada para Micrófono
521, Combo Radio North Tech Bluetooth + Parlantes Tx Audio 5¨260w ,2500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13889
		
		 sin interés
		
	

	
		",89,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/CARSYSTEMCARSYSTEM,https://articulo.mercadolibre.com.uy/MLU-461745393-combo-radio-north-tech-bluetooth-parlantes-tx-audio-5260w-_JM,NA,NA,NA,NA,NA,#461745393,NA,NA,NA,NA,NA,NA
522," Parlantes Harman Kardon Onyx 5 Negro, Macrotec ",259,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 51512
		
		 sin interés
		
	

	
		",12,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MACROTEC_TIENDA,https://articulo.mercadolibre.com.uy/MLU-458300454-parlantes-harman-kardon-onyx-5-negro-macrotec-_JM,NA,NA,NA,NA,NA,#458300454,NA,Harman Kardon,NA,NA,NA,NA
523, Parlante Portatil Pantalla Led Bat. Rec+stand Envio Gratis ,379,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 75379
		
		 sin interés
		
	

	
		",79,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALMOSTSMART7,https://articulo.mercadolibre.com.uy/MLU-456145192-parlante-portatil-pantalla-led-bat-recstand-envio-gratis-_JM,NA,NA,NA,NA,NA,#456145192,NA,NA,NA,NA,NA,USB
524," Parlante Inalambrico Panavox Party 6,5 X 2 30wx 2 Rms Albion ",4890,NA,"
			
				Nuevo
			
			
		",(20 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTASALBION,https://articulo.mercadolibre.com.uy/MLU-463240714-parlante-inalambrico-panavox-party-65-x-2-30wx-2-rms-albion-_JM,NA,NA,NA,NA,NA,#463240714,NA,NA,NA,NA,NA,NA
525, Home Parlante Barra Sonido Tv Jbl Bar Studio Bluetooth ® Ty ,7990,NA,"
			
				Nuevo
			
			
		",(10000 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 44389
		
		 sin interés
		
	

	
		",89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-459211571-home-parlante-barra-sonido-tv-jbl-bar-studio-bluetooth-ty-_JM,NA,NA,NA,NA,NA,#459211571,NA,JBL,NA,NA,1.4 kg,NA
526, Parlante Bluetooth Portátil Jbl Xtreme 2 Calidad Febo ,14465,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(99996 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 80361
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,4.0,10,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452399898-parlante-bluetooth-portatil-jbl-xtreme-2-calidad-febo-_JM,5,3,0,1,1,#452399898,40 W,Xtreme,Xtreme,Pasivo,NA,NA
