search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Marca,Modelo,Tipos de filtros del parlante,Conectores de entrada,Tipos de parlante,Color,Potencia de salida (RMS)
209, Parlante Bluetooth Meizu A20 Stereo Hd Envío Internacional! ,149,NA,2,43,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-435716442-parlante-bluetooth-meizu-a20-stereo-hd-envio-internacional-_JM,NA,NA,NA,NA,NA,#435716442,NA,NA,NA,NA,NA,NA,NA,NA
210, Echo Dot 3ra Generación Alexa 100% Español ,209,NA,7,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/KODE_PE,https://articulo.mercadolibre.com.pe/MPE-434638652-echo-dot-3ra-generacion-alexa-100-espanol-_JM,NA,NA,NA,NA,NA,#434638652,NA,NA,NA,NA,NA,NA,NA,NA
211, Parlante Portatil Bluetooth Radio Fm Usb Con Luz Led Handsfr ,30,NA,244,206,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FACEIMPORT,https://articulo.mercadolibre.com.pe/MPE-427019692-parlante-portatil-bluetooth-radio-fm-usb-con-luz-led-handsfr-_JM,NA,NA,NA,NA,NA,#427019692,NA,NA,NA,NA,USB,NA,NA,NA
212, Dancing Speaker Perrito Bailarín Bluetooth | Envío Nacional ,24,NA,8,91,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBESIMPORT,https://articulo.mercadolibre.com.pe/MPE-434238635-dancing-speaker-perrito-bailarin-bluetooth-envio-nacional-_JM,NA,NA,NA,NA,NA,#434238635,0.5 kg,NA,NA,NA,NA,NA,NA,NA
213," Parlante Klip Xtreme Kws-611bk Enkore, Bluetooth ",150,NA,1,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODISTAR.PE,https://articulo.mercadolibre.com.pe/MPE-427912228-parlante-klip-xtreme-kws-611bk-enkore-bluetooth-_JM,NA,NA,NA,NA,NA,#427912228,485 g,NA,NA,NA,NA,NA,NA,10 W
214, Combo Auto Radio Bluetooth + Parlantes 16 Cm Bowmann ,169,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMERCIALCAPABLANCA,https://articulo.mercadolibre.com.pe/MPE-436815734-combo-auto-radio-bluetooth-parlantes-16-cm-bowmann-_JM,NA,NA,NA,NA,NA,#436815734,NA,NA,NA,NA,NA,NA,NA,NA
215," Parlantes, Bluetooth, Para Ducha, Impermeable, Music ",29,NA,1,49,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/EL+RINCONDELCOCO,https://articulo.mercadolibre.com.pe/MPE-432558851-parlantes-bluetooth-para-ducha-impermeable-music-_JM,NA,NA,NA,NA,NA,#432558851,NA,NA,NA,NA,NA,NA,NA,NA
216, Altavoz Inalambrico Parlantes Bluetooth Philips Bt25 Dlectro ,69,NA,12,88,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DLECTRO-PERU,https://articulo.mercadolibre.com.pe/MPE-432856411-altavoz-inalambrico-parlantes-bluetooth-philips-bt25-dlectro-_JM,NA,NA,NA,NA,NA,#432856411,NA,Philips,BT25,Activo,NA,NA,NA,2 W
217, Parlante Lampara Despertador Led Bluetooth Colores Touch ,79,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUFFALOS+TECHNOLOGY,https://articulo.mercadolibre.com.pe/MPE-431901850-parlante-lampara-despertador-led-bluetooth-colores-touch-_JM,NA,NA,NA,NA,NA,#431901850,NA,NA,NA,NA,NA,NA,NA,NA
218, Bose Barra De Sonido Parlante Solo 5 Tv Bluetooth Negro ,899,NA,1,31,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071161-bose-barra-de-sonido-parlante-solo-5-tv-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#434071161,NA,Bose,Solo TV,NA,NA,NA,NA,NA
