search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo,Color
24, Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi ,447,NA,35,993,18 cuotas,24.83,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM,3,1,0,0,0,#462689492,Sin Vincha,NA,NA,NA
25, Auriculares Inalámbricos AirPods Apple En Stock Garantía ,319,NA,5,7,18 cuotas,655.01,NA,Envío gratis a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/RAMAN2013,https://articulo.mercadolibre.com.uy/MLU-461567729-auriculares-inalambricos-airpods-apple-en-stock-garantia-_JM,21,17,9,1,3,#461567729,NA,Apple,AirPods,NA
26, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,587,NA,24,26,18 cuotas,32.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456547613-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM,NA,NA,NA,NA,NA,#456547613,NA,NA,NA,NA
27, Xiaomi Redmi Note 7 6.3´ 64gb 4gb+ Funda+ Auriculares - P M ,269,NA,1307,36,18 cuotas,552.35,NA,Envío a todo el país,NA,NA,4.7,665,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-449993710-xiaomi-redmi-note-7-63-64gb-4gb-funda-auriculares-p-m-_JM,498,125,27,7,8,#449993710,NA,Xiaomi,Note 7,NA
28, Nano Auricular Manos Libres Bluetooth Ultra Pequeño Comodo ® ,190,NA,134,4999,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446287032-nano-auricular-manos-libres-bluetooth-ultra-pequeno-comodo--_JM,4,1,2,2,0,#446287032,In-ear,Samsung,Nano-manoslibre,NA
29, Auricular Bluetooth Jbl T450 Circuit ,2438,NA,26,20,18 cuotas,135.44,NA,Envío a todo el país,NA,NA,4.8,83,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449856852-auricular-bluetooth-jbl-t450-circuit-_JM,69,13,0,1,0,#449856852,Con Vincha,JBL,T450,NA
30, Auricular Manos Libres Xiaomi Bluetooth C/con Boton Amv ,19,NA,20,10,18 cuotas,39.01,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-455697576-auricular-manos-libres-xiaomi-bluetooth-ccon-boton-amv-_JM,1,1,0,0,0,#455697576,NA,Xiaomi,NA,Negro
31, Auricular Bluetooth Mini Sport Manos Libre Auto Running S530 ,499,NA,13,5,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462252840-auricular-bluetooth-mini-sport-manos-libre-auto-running-s530-_JM,NA,NA,NA,NA,NA,#462252840,NA,NA,NA,NA
32, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,450,NA,3,17,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-465483447-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,NA,NA,NA,NA,NA,#465483447,Inalambrico,Apple,NA,NA
33, Auriculares Jbl Bluetooth T110 Bt - Otec ,1699,NA,23,2,18 cuotas,94.39,NA,Entrega a acordar con el vendedor,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-460366220-auriculares-jbl-bluetooth-t110-bt-otec-_JM,4,1,1,0,0,#460366220,Con Vincha,JBL,T110BT,NA
34, Auriculares Bluetooth Simil AirPods iPhone Carga Inalambrica ,2390,NA,7,5000,18 cuotas,132.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-464015806-auriculares-bluetooth-simil-airpods-iphone-carga-inalambrica-_JM,NA,NA,NA,NA,NA,#464015806,NA,NA,NA,NA
