search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Formato,Color
1413, Audifonos Bluetooth Pepitas En Madera Version 4.1 ,32.900,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.742
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-452463756-audifonos-bluetooth-pepitas-en-madera-version-41-_JM,NA,NA,NA,NA,NA,#452463756,AUDIFONO,Manos Libres,NA,In-ear,NA
1414, Audifono Bluetooth Inalambrico Klip Xtreme Bt Khs-165 ,35.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PYN+COMPUSTAR,https://articulo.mercadolibre.com.co/MCO-504407520-audifono-bluetooth-inalambrico-klip-xtreme-bt-khs-165-_JM,NA,NA,NA,NA,NA,#504407520,NA,NA,NA,NA,NA
1415, Audifonos Diadema Bluetooth Kalley Musi Manos Libres + Envio ,89.990,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENUNASOLATIENDA,https://articulo.mercadolibre.com.co/MCO-482576049-audifonos-diadema-bluetooth-kalley-musi-manos-libres-envio-_JM,NA,NA,NA,NA,NA,#482576049,Kalley,GAUBT,NA,Over-ear,NA
1416, Auriculares Inalambricos Anker Soundbuds - Microfono Incorpo ,173.990,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 14.499
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA+MALU,https://articulo.mercadolibre.com.co/MCO-510675322-auriculares-inalambricos-anker-soundbuds-microfono-incorpo-_JM,NA,NA,NA,NA,NA,#510675322,Anker,AK-A3233011,SoundBuds,NA,NA
1417, Audífonos Diadema Mdr-xb400by Extra Bass Bluetooth ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYMTECNOLOGIC,https://articulo.mercadolibre.com.co/MCO-515424173-audifonos-diadema-mdr-xb400by-extra-bass-bluetooth-_JM,NA,NA,NA,NA,NA,#515424173,Sony,NA,EXTRA BASS,Over-ear,NA
1418, Audífonos Auriculares Bluetooth I7s Tws + Base De Carga ,55.000,NA,"
			
				Nuevo
			
			
		",(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.528
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/E-SHOP811,https://articulo.mercadolibre.com.co/MCO-521070826-audifonos-auriculares-bluetooth-i7s-tws-base-de-carga-_JM,NA,NA,NA,NA,NA,#521070826,NA,NA,NA,NA,NA
1419, Klip Xtreme Auriculares Deportivos Bluetooth Khs-633 ,83.000,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.306
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AUDIOVISUALESDECOLOMBIA,https://articulo.mercadolibre.com.co/MCO-515811750-klip-xtreme-auriculares-deportivos-bluetooth-khs-633-_JM,NA,NA,NA,NA,NA,#515811750,NA,NA,NA,NA,NA
1420, Mini Auricular Bluetooth Inalámbrico Invisible Con Micrófono ,25.900,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MECA4793296,https://articulo.mercadolibre.com.co/MCO-509447770-mini-auricular-bluetooth-inalambrico-invisible-con-microfono-_JM,NA,NA,NA,NA,NA,#509447770,NA,NA,NA,NA,NA
1421, Auricular Mini Bluetooth Inalámbrico Estéreo Ios / Android ,29.999,59.999,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,8,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-452130478-auricular-mini-bluetooth-inalambrico-estereo-ios-android-_JM,6,0,2,0,0,#452130478,NA,NA,NA,NA,NA
1422, Audifonos Bluetooth Motorola Verveloop ,150.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 12.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,15,https://perfil.mercadolibre.com.co/SUPPORTLAB,https://articulo.mercadolibre.com.co/MCO-515208205-audifonos-bluetooth-motorola-verveloop-_JM,13,2,0,0,0,#515208205,Motorola,VerveLoop,NA,NA,NA
