search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
208, Perfilador Para Corte De Bello De Nariz Y Oídos Wahl ,319,NA,21,7,18 meses,17.72,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/RAC-09+SHOP,https://articulo.mercadolibre.com.mx/MLM-563312968-perfilador-para-corte-de-bello-de-nariz-y-oidos-wahl-_JM#position=52&type=item&tracking_id=e92c439b-072d-4ac4-b368-51a7529a8823,1,0,0,0,0,#563312968,Wahl,Personal,5567,Pivotantes,1,Lift&Cut,NA,funciona con pila AA,0 h
209, Rasuradora Philips Norelco Mg5750 18 Cabezales 3 Horas ,"1,099",NA,2,1,18 meses,61.06,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/NEWSHOP35,https://articulo.mercadolibre.com.mx/MLM-658262398-rasuradora-philips-norelco-mg5750-18-cabezales-3-horas-_JM#position=53&type=item&tracking_id=e92c439b-072d-4ac4-b368-51a7529a8823,NA,NA,NA,NA,NA,#658262398,Philips,Multigroom,MG5750,Removibles,18,Lift&Cut,Recargable,3 horas,1 h
210, Rasuradora Recortadora Philips 23 Accesorios Recargable ,"1,549",NA,63,4,12 meses,153.03,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/COMERCIALIZADORA+JICON,https://articulo.mercadolibre.com.mx/MLM-560126647-rasuradora-recortadora-philips-23-accesorios-recargable-_JM#position=1&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,1,0,0,0,0,#560126647,Philips,Series 7000,7790,Removibles,5,Láminas,Recargable,6 horas,2 h
211, Elegance Plus Shaving Gel Facilita El Afeitado Para Barberia ,240,NA,65,7,18 meses,13.33,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/RAC-09+SHOP,https://articulo.mercadolibre.com.mx/MLM-567184782-elegance-plus-shaving-gel-facilita-el-afeitado-para-barberia-_JM#position=2&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,1,0,0,0,0,#567184782,Elegance,pROFESIONAL,SHAVING GEL,Ergónomico,0,Lift&Cut,NA,0,0 h
212, Maquina Terminadora Delineadora Barba Bigote Nasal Remington Recargable Inalambrica ,699,NA,19,95,18 meses,38.83,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-665256680-maquina-terminadora-delineadora-barba-bigote-nasal-remington-recargable-inalambrica-_JM#position=3&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#665256680,Remington,Recortadora,NA,Flexibles,NA,NA,Eléctrica,40 Minutos,NA
213, Rejilla De Afeitar Afeitadora De Repuesto Para Braun 10b / ,183,NA,15,178,18 meses,10.22,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TOMTOPWHOLESALEMX,https://articulo.mercadolibre.com.mx/MLM-669399120-rejilla-de-afeitar-afeitadora-de-repuesto-para-braun-10b--_JM#position=4&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#669399120,Braun,NA,NA,NA,NA,NA,NA,NA,NA
214, Rasuradora Perfiladora Profesional Wahl Five Stars Recargable Shaver Original ,"1,449",NA,7,43,18 meses,80.50,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-665853432-rasuradora-perfiladora-profesional-wahl-five-stars-recargable-shaver-original-_JM#position=5&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,2,0,0,0,0,#665853432,NA,NA,NA,NA,NA,NA,NA,NA,NA
215, Rejilla De Afeitar Afeitadora De Repuesto Para Braun 10b / ,165,NA,9,189,18 meses,9.19,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TOMTOPWHOLESALEMX,https://articulo.mercadolibre.com.mx/MLM-678210132-rejilla-de-afeitar-afeitadora-de-repuesto-para-braun-10b--_JM#position=6&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#678210132,NA,NA,NA,NA,NA,NA,NA,NA,NA
216," Philips, Aquatouch, Rasuradora Con Estuche ","1,877",NA,65,8,12 meses,185.43,NA,Envío gratis a todo el país,NA,NA,4.6,8,https://perfil.mercadolibre.com.mx/DAN-CDRA,https://articulo.mercadolibre.com.mx/MLM-583646007-philips-aquatouch-rasuradora-con-estuche-_JM#position=7&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,6,1,1,0,0,#583646007,Philips,Rasuradora eléctrica,S5420,Giratorios,NA,NA,Batería,NA,NA
217, Combo Rosefx Recortadora + Terminadora + Sus Accesorios ,149,NA,106,7,18 meses,8.28,NA,Envío gratis,NA,NA,2.8,4,https://perfil.mercadolibre.com.mx/MALU8988452,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=OywZQ09%2FwqiLOsz8EIYOLPxNo5ntJniyP10K0Mak8bJHSsoS08IoCRwMu%2Bc21WMEEbykx8rrYyrFLn6lHGcCeRmLmVQLCFRLEXiCdsV5XzLNKnXbHlBb55vBxI8ouWDq3u5g58a9EVXLsvJQbe5qvrGj48NzAm%2Bc1HbWHgkYH0bUTxtbHHvdelGWIMB7jEl6uUDzM2d43AnxtNIK19j7KCzfcRYZDwcMSC0drJDHgFTRJXr2zKfSskDh3m8h1xz7yUt3xd94xwQR0JPjLHdnjd%2FqMKMv7rXgBmogSgqANMgI8IGmpDCmcLHX1jhWku3Yf8OMniMjz4N9ZkK1C7nFA%2Fr3xldjUodwnBfdzmUAS89xEXjLa5tfzPjCBJKefwKz%2BlB4FqFRI5M3KMaYvTr79MD2W7MdfWPq%2FcSMGxmd4sC1WBH6tjSalWAtdU%2BsWYd4dSt9K0AlYnLyNcQih2k%2FNWF%2FZoe633FEz7noS2fpxwSlX4A5rdFXsCO%2FD2B83nEhMg7618XO%2FaN2rOnJQQdBJpPjxpRk6%2FgmgHHhYkVt68XzjzVpb7x6A5A66c9x1147srd9%2BA0jagxtlO2%2F6Cl4dZKKhyZrt1oJrUF9%2Bp8R%2BGeUoxxmbr0HIoQnlvHLoWQpvPw4QwHjVzuheIJlBE8ABsI576xuGgjkWYj8eFF79WxIyGSEQx%2FJ0%2B9Ko%2BOAnI4r8cbyZuygTVFwb2tzmYgoEZXJkCQ0YFW7ZjK8OTHktq1y%2BRclffbz%2BLbfdqzaqsiDrLrdj3DCtcsEbbXMhhc7HjWBpgY1hkMEQSJu5gc1NcmlUXkWjMYnJDuIWMZa%2Bku8jV35bpL21mvoJCczFlxgvgv2jCvU5pYYJGqMQ0YVyevebcO5esO9Aag9OGJZA4YGbiB0aMR49swZkKyklU%2FaslTjoYo7Msj5jKF8%2Fsv9fwc2BMHkcd5FpnEcnATO0YCywrLUcKwsSF23lWy8z2evdxOSHEqyW%2BWDh2i%2F5Dpig%2FYjQ8oVGxBl5VOV3Pi0rKo5%2F2YaEZNt2QSS9tX0FN6MdR9YjzieluWtjjdSOpApfZgHriRYIUHKOBXxJ3L6dLnvjIaRdFoDUUKdhgC0kozflrf3%2FmvAxOeAYsDjVIMlhxSgBiBxkPAbRnPkiPdh4OLE3FN0fhDn%2B7n3JMFZnESKoTlNYe1G7F9R%2BwaCy9wfy1h3vWkkRL3UUAAS%2FnSatM5ysK8Ms7XooiDobt2XjmWVTcQSlrk2l0ZJjr7hf3dh7YIBOAvmd%2BopV0tyll%2B2W04zT5xXtQyVRWmVUNbZTGXn0NBqU%2F4cRkuNi3kYIVCZObpKZu60%2FYbYJ%2Bqfqz%2FYEdEhHrUM7UjNfXmur8BbzQdmVTQI1BOs3w6La%2FUlwNzn%2FvIL27tADWU5aMo9AOKb2HaxEk5J5Q%2BYI6qj2ObrZbFKDrjPY5zNJgDkN7Kc2MmcN0%2F4vF1yroSjmFKizeRra2JhH23TQ9O0ZMWmN9yJqc1yytNQQthsnpcGUxUPYfyx37gC46BZbtqNnfWG%2Ff5e7kHU2XRZP%2FDo4TU%2B378YxE434imQew35z3koaNgHAV4SIuZ0qhmIxApWE%2FgpJzzIIVswlrTIGeUjAGD33igdMIpD5ZNMX%2Bd1n0xrKbtPhACfTn4ZmJJwT7jpqE3GtHqDnI67XfMQsEZlt%2FQMSv1YTRfYVWjZHYwwcQ2TZvkgo3aF6AQF52UU1MFepmUjtdKhAP4PepYFAi48yyNJ4pJtr1TawusQPQN6vPk%2B%2B1j3o%2BB%2F3iGOaWmu28Qdzs8oiGVXQtEkCliHoUS4As9mfHlAeQ4xfTdtepGDltPzTw%2FLVRXw1kH6HNMLmCHcx7HjIEWlczIOCA4ejphSwYPrs1fKAXLc4uyD0rvw5gGuz0F40Q2uMK6y5%2BkrAiYxAD0bY0nhvqYuJzk11g5pN%2FcAXnFyNxmyq1J7sZjM%2FU33AGS9y6Tot2ggC%2BL3%2FuWrEe2aNZ%2BZY2cPLa%2F4KQo%3D,1,0,1,1,1,#664802590,universl,barba,micro rasuradora,Planos,NA,NA,Eléctrica,electrico,NA
218, Rasuradora Electrica Braun Serie 3 Resistente Al Agua Oferta ,"1,977",NA,9,4,12 meses,195.31,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DAN-CDRA,https://articulo.mercadolibre.com.mx/MLM-586050012-rasuradora-electrica-braun-serie-3-resistente-al-agua-oferta-_JM#position=9&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,1,0,0,0,0,#586050012,Braun,Series 3,Serie 3,Flexibles,NA,NA,Batería,NA,NA
219, Rasuradora Corta Pelo Calidad Profesional Wahl 100 Años Edicion Especial Original ,"4,088",NA,3,47,18 meses,227.11,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-664669386-rasuradora-corta-pelo-calidad-profesional-wahl-100-anos-edicion-especial-original-_JM#position=10&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#664669386,Wahl,NA,81919,NA,NA,NA,Batería,70 MINUTOS,NA
220, Rasuradora Andis Profoil Lithium Shaver ,"1,400",NA,57,2,18 meses,77.78,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.com.mx/HEVI7855514,https://articulo.mercadolibre.com.mx/MLM-586993111-rasuradora-andis-profoil-lithium-shaver-_JM#position=11&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,5,1,0,0,0,#586993111,Andis,Titanium Foil Shaver,Shaver andis,Ergónomico,1,Rotativo,Recargable,60 minutos,60 m
221, One Blade Rasuradora Y Delineador De Barba En Combo Norelco ,"1,797",NA,8,9,12 meses,177.53,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/JAVIERGONZALEZ264,https://articulo.mercadolibre.com.mx/MLM-670490752-one-blade-rasuradora-y-delineador-de-barba-en-combo-norelco-_JM#position=12&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#670490752,Philips,Norelco,qp2630,Planos,NA,NA,Recargable,1 hr,NA
222," Norelco Nosetrimmer 3000 Recortador De Nariz, Orejas Y Cejas ",469,NA,18,1,18 meses,26.06,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.com.mx/RAC-09+SHOP,https://articulo.mercadolibre.com.mx/MLM-655098638-norelco-nosetrimmer-3000-recortador-de-nariz-orejas-y-cejas-_JM#position=13&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,2,0,0,0,0,#655098638,Philips,Personal,NT3000,Planos,2,Lift&Cut,Eléctrica,FUNCION CON PILA AA,NA
223, Maquina Cortadora Recargable Desvanece Pelo Barba Shc4352 ,899,NA,79,1,12 meses,88.81,NA,Envío gratis a todo el país,NA,NA,4.9,11,https://perfil.mercadolibre.com.mx/RGCBRANDS+MEXICO,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=5%2B%2BkhYudM2aI3EurzrbjN6jaKvRR3rClUmF%2BOpb21uFts3B6NjVuJIYUpGuuxbiObPcVN1mZUNNxpgkPRRiGavTCyWKqirfiotznGGtiz8hABP4TtjCrnVlzaVVZCwZY%2BwX8JpxK5ys9xck39QONhWo%2BCfSDJI4i0I1FDDcu2uMuirwKWIhveX40ya%2B6hR3ZGWxcyC38jleaUafPSpAz4%2BKKQfyCxj9EwMrb0aIA2cInWLOAvtSwnhalOxcGpNlO9NYt3zt6u4uTc6tv2pYeq1KL9siURUvv271%2BJj7VnlUykaq%2FnnlpKd7tMc9mYukRwoLyHdsM4TGG%2BSQG2NEvF%2Bbi12HuHOeZUdQEHOIVTf1nBEY5mgiB5UE0KI9Jv7J4L8D8uquZZMhkkiJv3emKcqKJlbSR0uxCOu6e3Fcweg%2B2bQJkaUJKX9rfEXwOOcDqf%2FIyJ6%2BkbaVFNaKu6EwKnDAJVrQ%2FnMWINQNCq%2F38JrDam1aL7SwqKaqQCDyfAxPrBAGDMzbMc%2BBfBtaIFgah7on4FMhv5IhBtnI7X39t34xrygsguPc%2FTn3QNBV8c1wBUaL%2B4e9cRQ5xWsQos8dd%2BNipUkh0AfY%2FGeXN8GoCwz20BRiBF8oJZL6%2BFz0kUvEQ%2FE0OvQ3LUU2CipAQcRyXWLate1a1RKqjea%2BnMrAhvGGCP53fyBUoqiNOu7L%2BzZgevjH2lNam1myYXhWMRzy8y4a6%2Fjd9uGNvL71WsfN1AzWgEzUnUnjQh1yDVr8RNmckJl5XoYBNkXsu6r%2BW0dZr1CfuCVwnhOhiZGby%2FKRhL0A31TI9KjENx3lxE2Nn7ona%2B4T4ut4ss94wHe0JhUEY9Ev7eLw4tthe07Nnu18EhIFuIZ6yb8Bo0XW71l8AnbWSOMYNk%2B88LR6Xt0gGzSV3AI3r3ISaPzUCMv7zYs0yTKxyemt6on7hNw68x3oibP1iJEpjGjV%2B6oTYSJZDFbD%2FYuTB6q3UHziLcd37JiGtHOYTi4MkZDCNLatvWiwWEp2%2FWIiLhPcf8yyVGqkJXwJJdJv70J4Gd88CpGD4UWKowwZE0wzBXtMvDkC8mNdzjDCAqk%2BeNXFr5yTgEeiEKXJoHPvp%2FXJNwo4rBPIGidN28ZTAPZ9WUs1t2A%2FCexyRZlRwJ7iLCY%2B5OMEoWP2IQA1nktO3g8SjCJNxGMCHardTyY9JeH5cM0gxl2pOMXgV%2BcnXI5R0OdEOrYP0n2dnFS%2F0lXZc5fwEn9pjXsMOYUGiYri1ZuS1XTgvnvBFDK25GnYDOg5HAtyud6IFyJHjohIU8Abjv%2BCjFQMy0dFBGswA%2FqCr2gWlxzrt46DU6TgLNnnsbUR4VDa12I8FzMaPFZkhfp7PpjO8KuMyOuzY6GKZeyf%2B7F9xbAL7yL68AciaBmP1BvnzFJuwRtmyl9dvIhoNtb7PFwJkZGC6mLtcZHaBNxuDmNFfWkM%2F6wn%2F6NiJu92Z3C%2FcLfkd%2BpEqK45xFFgkk9HqIfn%2Fdh9CRR10wiiDr3o%2FhBY4vfsRHus1eiCW5o9%2BI23mfXXodA5q2hdqxO%2Blt4ycIWS%2FuddPklwLICYFYKkk0VRQCL304mOiA0YGDCf%2Fh1si2PipOsTT3wdcZ1HhSxX1vR33JAOnmWhZ0V3QxlB4CYhCAn6jskrqYAwYU6ZCxHSTMujFZD%2B5BnqIwyCRvqHJMphsYpJzzsH2RO2nYtmvwCQBHLnIy7cIQ2hcQVN6cdQcW78fNVeagme5L1PcMQUXAj%2FTEJKYUV4FY89Iw6AcP7qYPkB2IENVkVxvjFQgARaySwdG2HoONRfMzBu84Xq4lRJFUGIO8ccvp0yx6p4%2B4VGMsVTOVlnqUKWaAZSMekpHvNmWSqCDj4yIs1Jw5kX0DULpj%2FfHPbBir0oSoDphfvX5H3zg6DKPMytJUPrg5nAHyQ0sq1eKJ9wXYjokFXP6%2BCg31fyGg1jdZ1QH%2FDDahmMUv4%2BGQqS%2BpFSLmjsiu9U1u27tUGBiuFkWUIyTxSUk2WvV%2BPCZxTwH73ys%2FHD7e6XRXA%3D%3D,10,1,0,0,0,#613333975,NPET,NA,ES8109,Removibles,3,Rotativo,Recargable,120 minutos,1 h
224, Rasuradora Electrica ,385,NA,15,11,12 meses,38.03,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/OPPORTUNITYSEASON,https://articulo.mercadolibre.com.mx/MLM-636241284-rasuradora-electrica-_JM#position=15&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#636241284,Kemei,NA,KM-Q601,Flexibles,NA,Lift&Cut,Eléctrica,60 minutos,8 h
225, 100 Piezas Navaja Gillette Para Afeitar Rasurar ,650,NA,12,13,12 meses,64.21,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/HMTZG,https://articulo.mercadolibre.com.mx/MLM-598268579-100-piezas-navaja-gillette-para-afeitar-rasurar-_JM#position=16&type=item&tracking_id=a69bd20b-d6c9-451d-836c-4894c16165eb,NA,NA,NA,NA,NA,#598268579,Gillette,NA,Wilkinson,NA,NA,Láminas,NA,NA,NA
