search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
11, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,2199,NA,"
			
			
				
				3890
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,754,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM#position=11&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,567,130,42,5,10,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,Batería,Planos,45 m,8 h,NA
12, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,3058,NA,"
			
				Nuevo
			
			
				
					 - 
				
				398
				vendidos
			
		",(71 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,52,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM#position=12&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,48,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,Flexibles,NA,NA,NA
13, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3617,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(42 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,37,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM#position=13&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,25,9,3,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA,NA
14, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,13078,NA,"
			
				Nuevo
			
			
				
					 - 
				
				235
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,145,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM#position=14&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,108,30,3,2,1,#617927378,Braun,Series 7,7840s Wet&Dry,NA,Batería,Flexibles,50 minutos,1 h,400 g
15, Recortador De Barba Philips Oneblade Qp2510/10 ,1599,NA,"
			
			
				
				1796
				vendidos
			
		",(37 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,255,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694466683-recortador-de-barba-philips-oneblade-qp251010-_JM#position=15&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,180,54,14,3,4,#694466683,Philips,OneBlade,QP2510/10,QP2510,Eléctrica,Plano,30 m,NA,NA
16, Philips One Blade Afeitadora Recortadora Qp2510 Devoto ,1279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				126
				vendidos
			
		",(23 disponibles),6 cuotas sin interés,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,255,https://perfil.mercadolibre.com.ar/BREN_OVIEDO,https://articulo.mercadolibre.com.ar/MLA-784339589-philips-one-blade-afeitadora-recortadora-qp2510-devoto-_JM#position=16&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,180,54,14,3,4,#784339589,Philips,OneBlade,Qp2510,NA,Batería,Planos,30 m,8 h,NA
17, Maquina Afeitadora Profesional Wahl Finale Lithium Ion ,6990,7790,"
			
				Nuevo
			
			
				
					 - 
				
				86
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,50,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-713758106-maquina-afeitadora-profesional-wahl-finale-lithium-ion-_JM#position=17&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,32,12,4,1,1,#713758106,Wahl,5-Star,Finale,NA,Batería,Planos,Inalambrico,NA,NA
18, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,3540,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(96 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,95,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM#position=18&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,63,20,7,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA,NA,NA
19, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,2699,NA,"
			
			
				
				336
				vendidos
			
		",(584 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,14,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM#position=19&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,10,4,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,100-240v,Planos,NA,NA,NA
20, Philips One Blade Afeitadora Recortadora Qp2510 Oneblade ,1299,1844,"
			
			
				
				226
				vendidos
			
		",(53 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,8,https://perfil.mercadolibre.com.ar/FARMACIA+SELMA?brandId=1859,https://articulo.mercadolibre.com.ar/MLA-784833769-philips-one-blade-afeitadora-recortadora-qp2510-oneblade-_JM#position=20&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,7,1,0,0,0,#784833769,Philips,OneBlade,QP2510,NA,Batería,Planos,NA,NA,NA
21, Recortador Multigroom Philips 11 En 1 Mg5730/15 ,2799,NA,"
			
			
				
				419
				vendidos
			
		",(66 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,27,https://perfil.mercadolibre.com.ar/WALMART+ARGENTINA?brandId=176,https://articulo.mercadolibre.com.ar/MLA-780584124-recortador-multigroom-philips-11-en-1-mg573015-_JM#position=21&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,15,11,1,0,0,#780584124,Philips,Multigroom,MG5730/15,MG5730/15,Batería,Cuchillas Autoafilables,NA,NA,NA
22, Afeitadora Razor Shaver Andis Profoil Lithium ,7400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				236
				vendidos
			
		",(48 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,15,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQ,https://articulo.mercadolibre.com.ar/MLA-674516231-afeitadora-razor-shaver-andis-profoil-lithium-_JM#position=22&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,15,0,0,0,0,#674516231,Andis,ProFoil,Pro Foil,NA,220v,Ergónomicos,80 min,NA,140 g
23, Philips Repuesto De Cuchilla Oneblade / One Blade Pro ,599,842,"
			
			
				
				138
				vendidos
			
		",(38 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/FARMACIA+SELMA?brandId=1859,https://articulo.mercadolibre.com.ar/MLA-784837054-philips-repuesto-de-cuchilla-oneblade-one-blade-pro-_JM#position=23&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#784837054,NA,NA,NA,NA,NA,NA,NA,NA,NA
24, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1659,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1.0,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM#position=24&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#737092131,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA
25, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,2099,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1670
				vendidos
			
		",(23 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747798332-cortabarba-y-cortacabello-philips-mg3730-kit-profesional-_JM#position=25&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,26,15,2,0,0,#747798332,Philips,3000,MG3730/15,MG3730/15,220,Planos,60 min,NA,400 g
26," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",1199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				393
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-733195547-recortador-philips-para-nariz-orejas-cejas-nt316010-_JM#position=26&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,14,4,4,0,0,#733195547,Philips,Series 3000,Nosetrimmer,NT3160/10,Pila,Giratorios,NA,NA,NA
27, Repuesto Afeitadora Braun 21b Foil Serie 3 310s Original ,2638,NA,"
			
				Nuevo
			
			
				
					 - 
				
				71
				vendidos
			
		",(14 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,6,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-763879853-repuesto-afeitadora-braun-21b-foil-serie-3-310s-original-_JM#position=27&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,6,0,0,0,0,#763879853,Braun,Series 3 Linea 2018,21B,21B,NA,Flexibles,NA,NA,NA
28, Afeitadora Philips Oneblade Pro Qp2521 Recorta Modela Afeita ,1799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				115
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,131,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-721060660-afeitadora-philips-oneblade-pro-qp2521-recorta-modela-afeita-_JM#position=28&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,94,29,1,3,3,#721060660,Philips,Oneblade Pro,QP2521/10,QP2521/10,220v,cuchillas,45 min por carga,NA,NA
29, Afeitadora Philips Aquatouch S5420/24 Eléctrica Recargable ,6899,NA,"
			
			
				
				93
				vendidos
			
		",(51 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-723885768-afeitadora-philips-aquatouch-s542024-electrica-recargable-_JM#position=29&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#723885768,Philips,AquaTouch,S5420/24,NA,NA,Pivotantes,45,1 h,NA
30, Afeitadora Electrica Cortadora Barba Pelo Philips One Blade Recortadora Multistyler Garantia Oficial ,1848,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-pelo-philips-one-blade-recortadora-multistyler-garantia-oficial-_JM#position=30&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#594545386,Philips,Afeitadora,QP2510/10,NA,NA,NA,NA,NA,NA
31, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,1490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(46 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,754,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-755041912-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM#position=31&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,567,130,42,5,10,#755041912,Philips,OneBlade,QP2521/10,QP2521/10,Recargable,Planos,45 m,8 h,NA
32, Cortabarba Philips Oneblade Qp2521/10 ,1599,NA,"
			
			
				
				141
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Retiro gratis en local de Frávega,NA,NA,4.6,754,https://perfil.mercadolibre.com.ar/FRAVEGA?brandId=229,https://articulo.mercadolibre.com.ar/MLA-722521048-cortabarba-philips-oneblade-qp252110-_JM#position=32&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,567,130,42,5,10,#722521048,Philips,OneBlade,QP2521/10,QP2521/10,Recargable,NA,45 minutos,8 h,NA
33, Maquina Afeitar Corta Pelo Barba Corporal Nova Recargable ,550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				330
				vendidos
			
		",(75 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.4,15,https://perfil.mercadolibre.com.ar/PORUNOOPORMAS3,https://articulo.mercadolibre.com.ar/MLA-785787086-maquina-afeitar-corta-pelo-barba-corporal-nova-recargable-_JM#position=33&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,6,3,1,1,4,#785787086,Nova,NUEVA,NS-216,NA,220V,Ergónomicos,NA,NA,NA
34, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,3499,NA,"
			
			
				
				369
				vendidos
			
		",(34 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,253,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-718845241-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM#position=34&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,162,66,18,3,3,#718845241,Philips,OneBlade Pro,QP6510/20,Qp6510/20,Batería,NA,60,NA,NA
35, Cortabarba Multigroom Philips Mg7730/15 ,4299,NA,"
			
			
				
				1148
				vendidos
			
		",(167 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,157,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-690160611-cortabarba-multigroom-philips-mg773015-_JM#position=35&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,119,35,3,0,0,#690160611,Philips,Series 7000,MG7730/15,MG7730/15,220v,Planos,120,NA,NA
36, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1975,NA,"
			
			
				
				26
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM#position=36&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,NA,NA,NA,NA,NA,#749275441,GA.MA,NA,GM 560,NA,NA,NA,NA,NA,NA
37, Afeitadora Gama Gsh Sport - Flores Norte ,1299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(11 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,6,https://perfil.mercadolibre.com.ar/CORDONAT+TECHNOLOGY,https://articulo.mercadolibre.com.ar/MLA-729796422-afeitadora-gama-gsh-sport-flores-norte-_JM#position=37&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,4,1,0,0,1,#729796422,GA.MA Italy,GSH,855,NA,NA,NA,50 MINUTOS,NA,NA
38, Afeitadora Electrica Maquina De Afeitar Recargable Winco 812 ,1349,NA,"
			
			
				
				98
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,25,https://perfil.mercadolibre.com.ar/WINCO+STORE?brandId=1592,https://articulo.mercadolibre.com.ar/MLA-758088409-afeitadora-electrica-maquina-de-afeitar-recargable-winco-812-_JM#position=38&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,15,5,3,0,2,#758088409,Winco,NA,W-812,NA,Batería y corriente directa,Giratorios,NA,NA,NA
39, Cortabarba Multigroom Philips Mg3730/15 Kit Multistyler ,1890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				175
				vendidos
			
		",(45 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,10,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-753967804-cortabarba-multigroom-philips-mg373015-kit-multistyler-_JM#position=39&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,6,3,0,1,0,#753967804,Philips,Series 3000,MG3730/15,MG3730/15,NA,NA,60,NA,NA
40, Afeitadora Philips Multigroom 10 En 1 Mg5730/15 Water Retiro ,2499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",(121 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,12,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-777861630-afeitadora-philips-multigroom-10-en-1-mg573015-water-retiro-_JM#position=40&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,9,2,1,0,0,#777861630,Philips,Multigroom series 5000,MG5730/15,NA,Batería recargable a 220v,Planos,NA,NA,NA
41, Afeitadora Corporal Philips Bodygroom Bg1024/10 Resist Agua ,1799,NA,"
			
			
				
				738
				vendidos
			
		",(187 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,61,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-613890732-afeitadora-corporal-philips-bodygroom-bg102410-resist-agua-_JM#position=41&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,36,15,5,2,3,#613890732,Philips,Series 1000,Bodygroom,BG1024/10,Pilas,Planos,90,NA,NA
42, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		","
		
			¡Último disponible!
		
	",12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,443,https://perfil.mercadolibre.com.ar/GAONA+NEXT,https://articulo.mercadolibre.com.ar/MLA-740289123-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM#position=42&type=item&tracking_id=80019e91-f64d-4952-ae1d-85df6b32347a,278,123,29,6,6,#740289123,GA.MA Italy,NA,545,NA,NA,NA,NA,NA,NA
