search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Color,Potencia de salida (RMS)
14,Parlante Portable Bluetooth Huawei Water Resistant Ipx5 Gris,199.9,NA,NA,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SMARTFONE+TO?brandId=207,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=z9a9cHDDcW7WFPBHljfKs4qebFIe4GoEwTHwdrnPmNd34phLSMzsarWOFWKr47ryBHJKM6jr8VVNrIwY%2Br4xHOSTlOE%2FGFuR2eAPZ8TSkh3XbgQpKuC%2B7CZ0o7CFIlkSS1MLe8ekuZQPalBVKu7ysoeaH%2FtS2v4tUT2ILUwv9NETx8mqJUyNxaDXp%2BjHeqY%2F%2Bw8vkpY0%2FkXNFY67P%2FCgzUpt1wJ7a6XqVZRsFA9qF%2BmYDD3BVzml%2BDw4zrZ5P6fIc0xFZaDOG8Of1BJvQGGq38ZpFLtMdprntqegdAtSNWHlKqmr7161YnhbcXXhtD5h7K6LeN06GaXY0CzO6mAwBRXxcjGyGn8Tz1DCbicaZ7gHgBmc2PcLaHJBbMoNWOS26Yn07gI7p1RY2FOhQmkjtQH11MYE2rd8o%2FiwUtfELzMdfqOuOk9WHjwEy%2BsM2JIxkQNxg%2FKdWextqZJxTXgbBC3MRSEYLF0j5c3lb0npTkJYVQC50Afy85mHY%2Fktn8R4F0LrMGR4l7ZKmtihwgLo0jjn%2FQAF6pPCjr%2FtEpVxU5FR%2FxKgh1MyBj1c7AKAIEhSaa9kz1p7OFW6m7BlhRtKzgFZykkvEuIjCiladYoKcx7f1VZZwvVuJLsDvAKEPQj1Q27E5EZIyMldxA8LPIqQGOWGhZvR9kP3jegoOULEJo3gUSi1JCCpD0G0wY%2BpcdDnxs906A1eI0m0UNBVSa5WYwsqmp43%2FaAPkfAY5D2hLYhHgpALDnMnvjW34iuxc692YQgpnhvCEv2MK5L%2Bzb3Z7l7OOsb%2FNyBr11cjGiEsNdlJT%2F86xYmcRp77yEnbx60il87%2BT8SubbaU%2FXZn1FSybJj1PLgn6giYgwowh4A5qLVy5l6Sxx1d0l%2BLeWZWRpZdidViL9IResS1PHoI7EIQ158jkFoDUz%2FsNKB7Ike8UYd2CsexrTIOe1BnVttKdUaOaBZ3%2BF9KMA%2B142kkhCIGe0yJ3g5QsCcMBnYj%2BPv3in5k3ETgLgXRwzZqwuOPJakiGsM3GM4BJCJTd2gs66%2B%2BUiYEhQzceSUaXZPWBRCAXLQAD%2FB2094%2F708L7ll0iPL3U422eBs29xQKEEPw8fZfGhErL7jPc02VsVF3THAQnp9BO02flB2%2B0bOUZXELk5AKBOAnXrnUuLH07xadHDwH9ZIxJ%2BcglVSeLN3XM7VtfbdCmzypHYi3ysP7BH1p6tB2g4rWi14%2Bxx2Rt8LXJdsOFPoxuBqDW%2Fgwk4ppRxf1lvlXtr8Td3U5erMQ3%2F9WLMm29oLo8UTHz5Vf%2BxRX9X9jZTyU32n1H8yVQt4trNNkExMlRx99PcfOsmebkfG1Ltm%2B%2FdRdXxDI73%2BlwG32Us%2BKsBQVZlIEDJCjUPEgiauL0fb3PRAxMBsY45NGl8SGbhypjRvpTgr0wLCh%2B7wz6O2DidOlcu42zHbt5kywgXTRngUfTamMp6Sdj0JQ7B8sdec8XO2C7x45dZNtqvtJdPRVN5e9BTzg%2Bx%2FVPLzBA2aEr9J4pO%2BdlGzh5SJ%2F0Cq7er6CI5bDgBkVBOcGAO1InuBPMSByb3pr3WWnh8bxguJ3yNnmzP3lcL7gUMbnRa0fbPpz9%2FTzOCrZv7LrT%2FT5ffg%2BipqQqkSJFQnRhH0ICsL249FrgA%3D%3D,NA,NA,NA,NA,NA,#484371912,Huawei,NA,CM51,NA,NA,NA,NA,NA
15,Cabina Sonivox 1455 De 400w Bluetooth Fm Microfono Karaoke,157.8,NA,65,35,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,8,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-473630611-cabina-sonivox-1455-de-400w-bluetooth-fm-microfono-karaoke-_JM,8,0,0,0,0,#473630611,Sonivox,NA,NA,NA,NA,3.5 kg,NA,NA
16,Parlante Portable Jbl Flip 4 Negro Original Negro,309.9,NA,267,9,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,61,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-459246938-parlante-portable-jbl-flip-4-negro-original-negro-_JM,57,4,0,0,0,#459246938,JBL,Flip Series,Flip 4,Activo,NA,NA,NA,16 W
17,Parlante Radio Reloj Brightside Despertador - Alta Calidad,65.9,NA,57,24,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,4,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM,2,1,0,0,1,#507364129,Brightiside,NA,BSSP-001,Activo,NA,NA,NA,10 W
18,Parlante Bluetooth Resistente Al Agua Portatil Ch3 Fm,89.999,NA,4,96,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/REP.GALAXIA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=sEb16ZPcXSZ%2BIsacp%2FYDDl4IgiMuyQMNvPCHQGuiKmkFHxzov7eWuT4xm%2BFL8xLwPCiubOnwJ5ojAQHIH%2F9g1%2FKzVFeq1jxmwx9vW%2Fyp6i3lJLV3YbYuG3BnndaIJNgN%2Fy1nBUfoSFHuQZM9Scz68NZ6dn9hhR%2B%2BR27wJNDdTasc%2BlbNYBJ60FijIgLH14PjUtPG83%2BJEedfYJi9Qe3vX1qdyXt%2FXelTFsiQ3nLDkGvlFxYK9FMtLRNSYoDhc5WsrXt6zKjUPoPw8ExTSejyPDBN4javJ2tDLR432VwFKMNMR62fptqxAcpzlKA0u1Y8VZK%2BAbiMBRtfbXerwSLNa5YhSI0vwewqJenjpsE1KCHP0tA0op%2FEL%2BU1kZ9LkX%2BBajSaEZu3Ujm1h98ms3IlBDXmSJgvql2busZt%2Bg6k6GwuS6QLldiftJU53tBg2hGvcRQyd1okOerDsvPZjFHjcRrPKlJmFH2ldglbFW8e5iWvOzwkv6Y5Gomvam88xA%2FawkafsxDYWP94DcXC6LuSGTCJpMrPpIZXBfO4nBQEcJGvqppruPt62y%2BNaF%2FUAOgaG5Y9GwspXYWYWz%2Fiy3RbPrIx7MCHadG6LgLXrQ6SvV32Xmd%2BgUzzRijIFrhHnqtDrMgfJvo9k1AwX0UukfW%2Bp%2BD0aubtr7zob7ZbMXieoAmRh%2FTvW7KcgHAqjahtQPztI7SHahaJLMyiS5j5pdwLHsxLBSgV5JHDFXtYW9XfNFtfL8TeEKMmyquxfPHRbiYbeocs744zwOMjvFgK1VsSa64MEOC%2FdACoJcWb%2BX9%2FEdK%2Bu14E9%2BPZDVOqbxYIEXPm7kQEpOvCk%2BHLpyvAgEJmPPQThZ%2F6I6BVD5H7DuVG9G%2FZR4KTDhv7ZzBlG3yia6WIhSACbCwt8fQEOr%2B1SWG0MwFIQcrftNNNm4ZgPuRWr4v6IAzuhK9Df8jIp%2FteNbAtq%2B%2BZq2CefFY4m13hC%2BYbOqoLPP7Ur9b4Bh9AljUGlQ3bjXPbl%2F24PjUhdu4NliddZOOMxlxBRGBU1P0OumKRv73yHd3Xteiz4SzL1vqmiItuj5ww1yfVuFRZtzGrAuPtwDlT61t%2BAdn6kfkdqSWTpeyZf%2B8FYiRJOYp9nj%2BmrJhn%2Fef1kUqNDMSJOAyW9pvOie4xkKComf62aX4e9sYJXL7%2F8QuKVXxx1nYN7w1SUgJ1U4ycRsmgzXdfCZO4BtMSk8BAAmXnIrTyw9Ts8EZe34Pmb4%2FrP%2F66BRRnljyDk0mLUfgHDhOKatO%2FKTngN4P52vo%2FDaIJrqwF5OvZsMcsIAvrSfZuAOK%2BUSAaLWaUh8ZXPmZHpE1Bs3ZrXdM7PpJ6bZMVaT5qiDSysjbA0ChD78av66chqe2AbP1KDNoUQrhXDPVFXKWvScW1y%2FOnTxotfjrBYHVSO1cv%2FBHNooxliZx2HZzO8g%2FUmJXtS6T61r23%2FC8UAAmFHUKWQy7Cnai0dP4C0lgKqh%2FBqgEiHxDuR3vQ3vSkPjAam9o61vsbjZMdsfQvHafCk9F03rjvFZUPyTsygADDjtzV9ansDGwGy8Xq6LKVPDRbB8FmHk2QuDxK%2BMwpF%2Bkp0r3cBqY4%2Bwl5WMEe3SemfuDfEClg8RbqiFx6kABuvGbX4jig,NA,NA,NA,NA,NA,#518462083,Genérico,NA,CH3,Pasivo,NA,800 g,NA,20 W
19,Parlante Para Bicicleta Con Bluetooth Linterna Power Bank,60,NA,71,83,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.8,9,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-460990959-parlante-para-bicicleta-con-bluetooth-linterna-power-bank-_JM,7,2,0,0,0,#460990959,Mymobile,NA,S1,NA,NA,NA,NA,5 W
20,Parlante Bluetooth Mini Speaker Carrito,11,NA,126,22,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3,4,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-452425686-parlante-bluetooth-mini-speaker-carrito-_JM,0,2,1,0,1,#452425686,speaker carrito,NA,NA,Pasivo,NA,NA,NA,3 W
21,Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch,41.9,59.9,597,35,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,39,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM,27,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA,NA
22,"Barra Sonido Bluetooth 40cm Pantalla Led 10w Usb, Fm, Sd + O",59.9,99.9,360,57,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.6,64,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-445897812-barra-sonido-bluetooth-40cm-pantalla-led-10w-usb-fm-sd-o-_JM,47,11,4,2,0,#445897812,NA,NA,NA,NA,NA,NA,Rojo,10 W
23,Parlante Portable Jbl Flip 4 12 Horas Sumergible Original,309.9,NA,123,13,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,36,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM,32,4,0,0,0,#467204584,JBL,NA,Flip 4,NA,NA,515 g,Agua,NA
24,"Cabina Sonido Bluetooth Portátil, Usb, Sd, Radio Fm + Obseq",89.9,149.9,44,56,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-474103710-cabina-sonido-bluetooth-portatil-usb-sd-radio-fm-obseq-_JM,1,0,0,0,0,#474103710,NA,NA,NA,NA,NA,NA,NA,NA
25,Parlante Bluetooth 308 Radio Fm Micro Sd Usb Promoción,29.9,NA,297,127,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.7,9,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-451708942-parlante-bluetooth-308-radio-fm-micro-sd-usb-promocion-_JM,7,1,1,0,0,#451708942,NA,NA,NA,NA,NA,NA,Roja,NA
26,Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb31,319.9,479.9,168,8,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,41,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM,35,4,1,1,0,#474791740,Sony,EXTRA BASS,SRS-XB31,Activo,USB,890 g,NA,NA
27,"Avantree Cyclone, Parlante Bluetooth Nfc Para Bicicleta Ipx4",139.9,NA,26,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=692,https://articulo.mercadolibre.com.co/MCO-508730175-avantree-cyclone-parlante-bluetooth-nfc-para-bicicleta-ipx4-_JM,2,0,0,0,0,#508730175,Avantree,NA,Cyclone,NA,NA,433 g,NA,10 W
28,Parlante Tipo Bose Bluetooth Bafle Soundlike Mini Potente,59.9,NA,56,44,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3,1,https://perfil.mercadolibre.com.co/HERRAMIENTAS_TECNOLOGIA_CALI,https://articulo.mercadolibre.com.co/MCO-508316649-parlante-tipo-bose-bluetooth-bafle-soundlike-mini-potente-_JM,0,0,1,0,0,#508316649,Bose,NA,NA,NA,NA,NA,NA,NA
29,Cabina Parlante Portátil Recargable Bluetooth Usb Sd Fm,133.9,NA,102,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,14,https://perfil.mercadolibre.com.co/NYJTRADING,https://articulo.mercadolibre.com.co/MCO-469799043-cabina-parlante-portatil-recargable-bluetooth-usb-sd-fm-_JM,11,3,0,0,0,#469799043,NA,NA,NA,NA,NA,NA,NA,NA
30,Parlante Jbl Go Bluetooth Portatil,85,NA,134,30,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,7,https://perfil.mercadolibre.com.co/ELECTROCOMPRASONLINE,https://articulo.mercadolibre.com.co/MCO-476961874-parlante-jbl-go-bluetooth-portatil-_JM,6,1,0,0,0,#476961874,JBL,NA,GO,Pasivo,NA,NA,NA,3 W
31,Parlante Bluetooth Con Linterna Bicicleta Luz Led Zealot S1,54.9,NA,61,49,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/ANFA3099594,https://articulo.mercadolibre.com.co/MCO-506311073-parlante-bluetooth-con-linterna-bicicleta-luz-led-zealot-s1-_JM,1,0,0,0,0,#506311073,Zealot,NA,NA,NA,NA,NA,NA,NA
32,"Barra Sonido Bluetooth 40cm Parlante 12w, Usb, Sd",59.9,NA,172,8,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.6,13,https://perfil.mercadolibre.com.co/COMPRASDE+VERDAD,https://articulo.mercadolibre.com.co/MCO-453077096-barra-sonido-bluetooth-40cm-parlante-12w-usb-sd-_JM,11,0,1,1,0,#453077096,NA,NA,NA,NA,NA,NA,NA,12 W
33,"Logitech Z607, Altavoces 5.1 Sonido Envolvente Con Bluetooth",299.9,349.9,61,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-509252426-logitech-z607-altavoces-51-sonido-envolvente-con-bluetooth-_JM,NA,NA,NA,NA,NA,#509252426,Logitech,NA,NA,NA,RCA,NA,NA,NA
34,Bafle Parlante Cabina De Musica Usb Bluetooth Portatil Envio,54.99,NA,52,48,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3.5,2,https://perfil.mercadolibre.com.co/TECNONOVEDADESCO,https://articulo.mercadolibre.com.co/MCO-481130845-bafle-parlante-cabina-de-musica-usb-bluetooth-portatil-envio-_JM,0,1,1,0,0,#481130845,NA,NA,NA,NA,NA,NA,Roja,NA
35,Logitech Z337 Con Bluetooth 40w Sistema De Parlantes 2.1,225,NA,0,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPORTACIONESCOL,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=PlFKkSNuG%2FNCTvvMLVaMaoAtM3LYqRVhxsuQiHPkPCFCRPU%2BvJoVCG3i3rkm90VcgKAgYUUy8HaH3dOZRORDMeA34VN1ZoNU3VVKMfIKvnt8%2Fdeab4XzvyfrbdpWTz6R3oTpi6AnWIRQX1yEScjtpQJ1fvcrDojDmzSO7I%2FUqP75to%2FqyzG41xQSQEgYN8Gfe91BPnMdce0mW%2Flx%2BBufkED4hNesrBAzb%2FCJP%2BGtc6D36LWcq5p%2BgmaG%2BIjYyDZldM3DX%2FtNK%2FKZOt7qRxXbrZioMe4T1yLDcZdFDEhOoSP6tKdGk1Ar0zZwc9O3XwJMfoesel5BlYuj7y5fVct0RA%2BGetdmWSpnITto%2FKOm8JzbpQUF8An1jyW75QMWwV6QD9jTzAyP7TdwhP7MFZKMAtUu5cWybVwcz3nXBjY1I%2Fbv7EzcPPdYNsqIHHPvtY8o3EKp1E0%2FTVNI7LVLZaaUDASHtukqxhR9lY3Gy%2FFLf9dJtoEf8FzkEGnLpIQDYx6STssnxnHSQECRuDtTCUd7bK0eK7sAd7WHxV8p%2BsOVIvhSHMq9GSbopM8IO3XDhs%2B2aD4QGttNoX3xDSYGsdmjEL9EcqkC2A5oThDcbbpghHgczNJjocoHhznPEBfuWrELQcfDdI5Y1Rc2jbdTI7x%2BWI0XOTNcTlKCH7t0KBtIHBU%2BYJ8ZeyXfQq1nIhIacVBsUlEyG9dYINXHXU%2FooUeBvgHBvFykvwkl8q20FBs7oRzFhAu5yKUSrTP6NiubulqJyjMywB1bukwLzK4qo2oTG%2FXP3%2BKmj%2BbDl%2BwXqqc4a0rTtBLxpolNSbtOMkIWX47L7ershsdpib%2FiTI2uKuggzNK%2BHcCz%2BJfE39rL5XD2yvly%2B6AZ01%2Frd7glBP4vITRifNn6HkGcnjEmXeh0vJizA9SrYH8pSD%2FSqKfx6QBOqS00ggpKaXdrSTgc3mzL3H6a7Aol7xIRh6BftLO%2BNliwRBCRFz%2B0RfGj3%2FSZx3OBpb9Oi%2FILEvVJWu7PyiDxqUu06Az1LNRHAYTLnZ%2FHXmVrg7xozT4WypdUok9OQ2%2B9CvTlpwNcZRk8QUT0rS24v0ULZu79Wxke7XERHvOFq98BpOgsLHUlT%2Finl25vWxFbjAUci1WV7EZGhohGtnGKPUz7AO9US%2B7KeF2KfPfjlpHDOoU1nU9ilLCtL%2BQUeIAdnHBLwNJZsDV4co%2FbKHFjYZg92cW%2BCfMP5BSMyNJZLtUSRhWbvHdskUy9Xx5BpmlJH9wws2l9SlaZ%2F%2FImTBk70%2Bn6NpgxapHV%2FuDMruviuQOmGKrMR8NaMNUo2%2ByA0g%2BJSn1Ho31xBn2LrUsKiYuQHEL%2FJp%2FIzcTThS1TLTPpJN5F2rEYt%2FUQFgWt24ofQvRaUhF7QAvdM5zipdaLcMMwq99UPxuJK0UiNufOsoJMz8VsnQ%2FzAQ9%2FYNztAAlcXzyPVFCSAEAC9dIviCMYlgV1Wi5FfjSMXvihCTmjvi4LKL2vu5tnwc3z%2BY9mX4jCuYf4evGYf03ihu2uXcfjbfmRDFFF8tPtj02NPEeoSkUBCHUs0LaebKsE8cr7RGMwdOCK7KvtICpSV3X%2FNahUy9ZaF8MxPUxIkn9ZvobI5KAvHcmnBMNXwtsYss0M%2BLGEodU%3D,NA,NA,NA,NA,NA,#522288865,Logitech,NA,Z337,NA,NA,NA,NA,40 W
36,Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original,314.9,NA,52,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,12,https://perfil.mercadolibre.com.co/NYJTRADING,https://articulo.mercadolibre.com.co/MCO-470346466-cabina-de-sonido-portatil-10-pulg-usb-bluetooth-tripode-_JM,9,2,1,0,0,#470346466,Silver Max,NA,NA,NA,NA,NA,Negro,NA
37,Parlante Bluetooth Recargable Portable Radio Usb Sd Rf 996c,463.5,NA,52,23,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,73,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492301475-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,66,5,2,0,0,#492301475,NA,NA,NA,NA,NA,NA,NA,NA
38,Cabina De Sonido Portátil 10 Pulg Usb Bluetooth + Tripode,59.9,NA,40,60,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/COMPRALOENCASA.COM,https://articulo.mercadolibre.com.co/MCO-496101880-parlante-bluetooth-recargable-portable-radio-usb-sd-rf-996c-_JM,4,1,0,0,0,#496101880,NA,NA,NA,NA,NA,NA,NA,NA
39,Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original Az,463.5,NA,35,19,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,73,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-492298927-parlante-jbl-charge-4-bluetooth-sumergible-100-original-az-_JM,66,5,2,0,0,#492298927,JBL,NA,Charge 4,Activo,NA,2.13 lb,NA,30 W
40,Parlante Bluetooth Portatil Karaoke Bafle Microfono Bowmann,159,NA,28,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/COMERCIALLACABRERASAS?brandId=791,https://articulo.mercadolibre.com.co/MCO-513096160-parlante-bluetooth-portatil-karaoke-bafle-microfono-bowmann-_JM,2,0,0,0,0,#513096160,NA,NA,NA,NA,Auxiliar,NA,NA,NA
