search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
11, Auricular Inalambrico Sony Mdr-xb950bt Rosado Bluetooth ,900,NA,35,65,18 cuotas,50.00,NA,Entrega a acordar con el vendedor,NA,NA,3.6,14,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-457762556-auricular-inalambrico-sony-mdr-xb950bt-rosado-bluetooth-_JM#position=11&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,4,6,1,1,2,#457762556,MDR-XB950BT,Con Vincha,Sony,NA
12, Auriculares Inalambricos Tipo iPhone Modelo I7s ,625,NA,51,169,18 cuotas,34.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MEGAOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-463905420-auriculares-inalambricos-tipo-iphone-modelo-i7s-_JM#position=12&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,NA,NA,NA,NA,NA,#463905420,NA,NA,Apple,NA
13, Auriculares Bluetooth Stereo Manos Libres Wireless Magnetico ,380,NA,197,5000,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4.1,28,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-450505995-auriculares-bluetooth-stereo-manos-libres-wireless-magnetico-_JM#position=13&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,14,7,4,2,1,#450505995,NA,NA,NA,NA
14, Celular iPhone 8 64gb Refurbished + Auriculares Bluetooth ,695,NA,44,2999,18 cuotas,1.429.38,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=v0C0bnWxudbkiyEHBnioEhnrXsSMIvyCrKDenZ2cJaPpwpwaCJ6Djz0CYUbH2R0WFhGLLtkoQ69BQ2zcpUtgZ93t6dZxHrpkDdRO7ORICDoQT7xiA1%2Fn4m0%2B%2FUU5lDLi6haSaIzDT1%2BNeVYRDHVJWTvUZSwo%2BjIf0dNvHDAAPKFb5ziKl4YYcZNzk9CgfA2KMi6lIjv2e03GD2wrigBY5nBoNf9h1BkNg5%2B8Sp2LrM9Oa7unB%2B1HMSpgblhurKGBaHjpCGx5EqMA%2F7WX2Tyu7RS0Gqy7DD%2Fv0Bd0KTyuQ4fDH%2BeCoV7XkqMAs%2BEusWIHa0hS9S08mUmfCBzag6iAry1BVeNkqgRKvXtmWhprhfb6evsmEFTgYR1eNMB3VVF0s3HF5P4NBRmEYcnRDUbpMbLnPLmsK0RIxcoPjgFXR3ObbDPn0PBfBMhOHtiY2rlf10GQsMSb1R4fz9FbOJtxtKqv7TCpA8KQS6TcR075JGDd3P1HajQx69IS%2FEc%2B6F0HgQdjv8Ns2uE5x%2FekFDyjBtpRShJnwo5JRfOeUTv9AW3z1w9AsjXWPpKcdqtOaAZUOv%2BMqHOzQwTqpzBv4%2FaiKGEP%2BXTkXUBgcZuzw8X7UB1IFiWT0zg4pxd9Px8Z6h1OZfZ7j8klJsBlV7vtcpY9vknjHOLW3WKTPoTjGbVtefO6JkwZRaUcwywezwsVaLt6zOCVofznQ3ADG1FsDpnjTdog1jX%2FWN5PIojyoEtmbmnbflA%2BiGaNr4k7Ns6BYd%2BhLqviUhFWS%2FUmcfNNTOcgIzHYT0YffBzqFll%2BcqDytvH3NslwKR0fm4C9CL9n6d5vAeTqwwcpuQ0qhw%2FFaNHjw0aT8S1yXrEGhHdQIHHc6YoxdQKNdziDiBmeRu%2F8zMsUH84572Rj3hJ2yk8nZ3AKN6nLzUWHtjHacG4bdSmxpF2Ck3ITH6UyBuKGD9pFXRj4M82RoYGc4LQ3pE7wG62UL11tsYXPEciCi%2BsqbqN2FiD9O1KLsWoKFXG6w9f0x0jwBNvK85mdDJN5S2%2Fo0cKVFXBGDLSiw6qH5rcBADMlOUciYvHQyT4SaoeH8hhER8elV6938wQxceHIfZZJvkgiASjh%2Ft0UnZEpLHK9gkq8A2GLyHwzoZGPAg%2BD%2BmhZ181drhdSKyKGiTyhd2U8xTv2%2BNhqitGTi9fn5l6ij6T8PJHxcmjcNqzlVG8aJBadeDJSoqQJJmHYsYu6R3HVNOgO6l5xncgzLPt474C5sydmiWYDTgVsO8W%2F0U0rj2bDBMojZ3XpzLDUDuRZ5TKwK761sHbf7RYrskzDZAQYv5Xxjnuuj7HzkkE6WE8yRD8lneomU5%2BA%2FTyxa%2B2u4v5POd2gDjEwT%2FX7bIl%2F4bLTZ82dXYf3vepCeUw7z1vWbhvZa7ZlIk90HLWz4qiK%2BtyBjBtZPcDUxdK3Bhqt7RJf6gRvXdzdW8RondFPgMOx394ykR%2BfkdxX3hCSGkQN6d1DvxCe2m8cG%2FisvxcpkBFv0%2Fj0xoC8Z%2B6bUfHVfZkDbaj8mEeoZwUXArwlyZyrZ55eyasCY30OpfMdfwG7HamBcgBOXy5G5N%2FtjtNnOKFebfWlIOl5hMQLsGYPNwb3JYHXMB9q0McKj02Wzzh5hk2TW42djcF1ygmNhvCNTOOaGQ6vEgf4pcj54nVsCwONb3oFg5aLzH90%2B1jHGPtXWeZLPuv3TfgPiAeaviKjO3vjxZ2oFsmGWnlICVepxVHfBu6UQqoWExPjVUvIBbSFCq6YS9XW7V5lS%2Bx68SYyXswNobmP,2,0,0,0,0,#451580894,iPhone 8,NA,Apple,NA
15, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,587,NA,31,19,18 cuotas,32.61,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456547613-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM#position=15&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,1,0,0,0,0,#456547613,NA,NA,NA,NA
16, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,445,3990,18 cuotas,18.33,NA,Envío a todo el país,NA,NA,3.9,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM#position=16&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,12,9,4,2,2,#449191430,NA,Sin Vincha,Jogger,NA
17, Auriculares Bluetooth Inalambricos Tws Touch Two iPhone Clic ,57,NA,53,24,18 cuotas,117.23,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-458899528-auriculares-bluetooth-inalambricos-tws-touch-two-iphone-clic-_JM#position=17&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,3,0,0,0,0,#458899528,NA,NA,NA,NA
18, Auriculares Energy Sistem Sport 1 Bluetooth - Netpc ,29,NA,12,8,18 cuotas,59.64,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/NETPC+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=9PIMZ0hfCjf5Ulk3%2Byw9xz6jPY5q3R5D1n0RjWEJi5TC%2BGvbQDwTfeh41Tcww%2Bc9FGx%2BoaogGj%2BVuahIiI2YBmI%2Fkc%2B5Fnzo44lc2cZkZHLRcnvnoLZ0UTb2tASGwI8eLqW%2Bp1svhfzmW1XwmTv1%2BkQIC0LptXEYwRQt2vKIglowwCL%2BgdI0a4rNGhPZX2IPa4%2FzlTG67K3xVFen31pCnyHDJ0A8uPeVqZCF%2BNgcDM1LBKoaOgr%2FIoYfsakMxEuvyiAGpkY8c6UOyM8he7c5A3bgfILYXDdtNWfMV%2FI0OQ2QCig1zwgj9aonzKtAfbRdB69AT1O5EizH%2F3TE1mSjFOLAMFjPqfOGhRaVwaHUmwgbCMupJHX52r6ZjySQFEkdBENANTQQVPEy7Hcr3%2FH%2FR2cKcPL4iJf73%2BCjFcAAXNoAlYbmnKEaBzww9NXGJhby%2BlLPkACPyDOpoc31AgDwDpPWd00CFp1tNsMaVBqWTZfBpyC8iN9SBBumfOKrGvGHovqrQmdonoD0sbyjZCABVJrVuqFERzM8GtZSEAvTzjpd%2FOP55QFCFbn4Un2Ost3jc5SlcaGgTSvLWh8deTvWrHODyFuFI8ZgWlMsSOFP%2B63HMsnZCX53uuSLw5yv%2BwCKVnzDOU1IRLOb3aOSw6gJYumbOUxFUXX%2BwDYlQJmmsQwnbB%2BzgzE9pP3XNitawZaJHfwYibY148Nb8R7X7%2Bw9w%2BPApUyW8wz7AkT3s4wPH4V5WSQUk8Kwxx1tzXmfXUDwpFNU8xWwwnkexQR%2B%2BIRc%2B18ZpOncKj4iDVNsuocMluvNQXh5e02f2TN5aDoPlBe%2FzMvmqojB9xT%2Bq5JMXVmcKKIKnq9N6DGgfUjbW2FOeXKHzR7hKG5mOiHh1mzIBkdoOTns1lJM1oBr5IIlik1R%2BU7AW43yQkVAkLzHIkJZEyAr2qoclnNM539a%2BuhJNg0rXoJUzugZ0qv6hL4mE%2BvS0um4IFbTbLYHwMc3l0fr%2F4iqN772mi2Iul6Lvl2EQVZTdWMl60Nd19Jf3jL15%2FHDKYH7HFkqjv1WBcfnq4c7wdffbdypYAvnA%2FPjli9tITb7xgS06LK6hdaTuURq7i6bN%2BBt00L8hnb5p0cHsQvE2JIm5XwyVkFFW2UWKcq28bmjp2MaF9IOlapTodZ4Zy9njrTkfg%2FwVgBGWpTXZDtYKT0tyXSbyqS8Nw9g7qdWkH8ZbZKGsWcthQP5zO0sxJdcgfW5qx%2B4K9n3%2FFpQiKGkvOAJS%2FUqv20%2BM7Si2sh1e7AggNXYipWzCo3ZoTziZca8cT6t9ol3gSKu9uZeD34JViDnBVaoOaFbMgffBtmDxC3mW9f7fuQiroeZHBv%2BcxsyLZ7K2JBg3Mb4oiUUzG3CwDvoQ5p%2Fhd2KrP507nIFo7ZO0BYkut9uU2cmGJ778CwbBeelsHyah%2FEttyTE1HaT6l1XkB5LPJQP7QtZyry5tS0Uz1sjP%2BeuU5FPHrZ6ukZtaGLSIkJa%2F9zrCQT07wGQF6WrxwEmCPnULb7QwEKeKe2ewDlGIDZayjDHmlOuzqdJnr96aV9VhcSU1vKY6k%2BOxrYTeMLYF2vq40h9WzwtVbykH9HpUWyNh2yFCiWbgT5HIIp5iDMSzrK5EkQ8G6r8%2FbR9fTFPhIYgafKnLy%2FGpwAjddgCNwWlKbtB75KadGrwVALnGwRpjYDKDn8MhvJnFY6EId1XM1O5grhk2M%2FP1V9a1xf%2FWQrLLvfBN1MxaMpeM1Grd%2BY5I%2F5WQDrxPyFdoz6BHa8ukbVm,0,1,0,0,0,#463786472,NA,Sin Vincha,Energy Sistem,NA
19, Auricular Bluetooth Jbl T450 Circuit ,2438,NA,27,19,18 cuotas,135.44,NA,Envío a todo el país,NA,NA,4.8,84,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449856852-auricular-bluetooth-jbl-t450-circuit-_JM#position=19&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,69,13,1,1,0,#449856852,T450,Con Vincha,JBL,NA
20, Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo ,710,NA,36,99963,18 cuotas,39.44,NA,Envío a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM#position=20&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,21,17,9,1,3,#456789089,AirPods,NA,Apple,NA
21, Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo ,299,NA,96,55,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,3.8,11,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM#position=21&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,5,2,1,3,0,#445603224,NA,NA,NA,NA
22, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,389,NA,78,931,18 cuotas,21.61,NA,Envío a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM#position=22&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,2,0,0,0,1,#452512494,NA,Con Vincha,NA,NA
23, Auriculares Manos Libres P47 Bluetooth Inalambrico Calidad ,589,NA,99,911,18 cuotas,32.72,NA,Envío a todo el país,NA,NA,4.8,9,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453667348-auriculares-manos-libres-p47-bluetooth-inalambrico-calidad-_JM#position=23&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,7,2,0,0,0,#453667348,NA,NA,NA,NA
24, Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi ,447,NA,35,993,18 cuotas,24.83,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM#position=24&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,3,1,0,0,0,#462689492,NA,Sin Vincha,NA,NA
25, Auriculares Samsung Galaxy Buds 2019 Con Caja De Carga Loi ,157,199,12,2985,18 cuotas,322.90,NA,Envío a todo el país,NA,NA,4.7,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463819783-auriculares-samsung-galaxy-buds-2019-con-caja-de-carga-loi-_JM#position=25&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,6,0,1,0,0,#463819783,Buds,NA,Samsung,NA
26, Auricular Manos Libres Xiaomi Bluetooth C/con Boton Amv ,19,NA,20,10,18 cuotas,39.08,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-455697576-auricular-manos-libres-xiaomi-bluetooth-ccon-boton-amv-_JM#position=26&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,1,1,0,0,0,#455697576,NA,NA,Xiaomi,Negro
27, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,450,NA,10,10,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-465483447-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM#position=27&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,NA,NA,NA,NA,NA,#465483447,NA,Inalambrico,Apple,NA
28, Auricular Vincha Sport Bluetooth Pc Celular Auriculares ,380,NA,31,1117,18 cuotas,21.11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455655455-auricular-vincha-sport-bluetooth-pc-celular-auriculares-_JM#position=28&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,3,1,0,0,0,#455655455,NA,Con Vincha,NA,NA
29, Auriculares Bluetooth Extras Graves G1w Havit Carga Inalam.® ,3150,NA,11,5000,18 cuotas,175.00,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-463809412-auriculares-bluetooth-extras-graves-g1w-havit-carga-inalam-_JM#position=29&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,2,0,0,0,0,#463809412,G1W,In-ear,Havit,NA
30, Auriculares Inalábricos Tipo AirPods Bluetooth I7 Tws 2019 ,547,NA,96,1104,18 cuotas,30.39,NA,Entrega a acordar con el vendedor,NA,NA,3.6,11,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-457593956-auriculares-inalabricos-tipo-airpods-bluetooth-i7-tws-2019-_JM#position=30&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,5,3,0,0,3,#457593956,NA,Sin Vincha,NA,NA
31, Auricular Bluetooth Mini Sport Manos Libre Auto Running S530 ,499,NA,13,5,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462252840-auricular-bluetooth-mini-sport-manos-libre-auto-running-s530-_JM#position=31&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,NA,NA,NA,NA,NA,#462252840,NA,NA,NA,NA
32, Auriculares Inalámbricos AirPods Apple En Stock Garantía ,319,NA,5,7,18 cuotas,656.08,NA,Envío gratis a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/RAMAN2013,https://articulo.mercadolibre.com.uy/MLU-461567729-auriculares-inalambricos-airpods-apple-en-stock-garantia-_JM#position=32&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,21,17,9,1,3,#461567729,NA,NA,NA,NA
33, Auriculares Inalámbricos Aiwa Aw2 Pro Bluetooth Amv ,39,NA,15,10,18 cuotas,80.21,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-459601662-auriculares-inalambricos-aiwa-aw2-pro-bluetooth-amv-_JM#position=33&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,2,0,0,0,0,#459601662,NA,Con Vincha,NA,Blanco azulado
34, Auriculares Bluetooth Simil AirPods iPhone Carga Inalambrica ,2390,NA,7,5000,18 cuotas,132.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-464015806-auriculares-bluetooth-simil-airpods-iphone-carga-inalambrica-_JM#position=34&type=item&tracking_id=2f99f8c7-d0ba-4e24-a767-42725e28bed9,NA,NA,NA,NA,NA,#464015806,NA,Airpods,NA,NA
35, Auriculares Bluetooth Manos Libre Deporte iPhone Android ,18,NA,65,19,18 cuotas,37.02,NA,Envío a todo el país,NA,NA,4.5,8,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=C8q4ZYUCeIS%2B2dXAaSJSz6G4tpO6AYjlOqdEtVWeqafQy2EJPEhRDcCdcEieI8emIJjRfLf16Z07UeOWi5htcyURAsa%2F3vT2xeN%2F6oswy3c1eXJJ0CZcMNKV0GqSX45n04XD1%2Bbc2v%2Fq8yzpB6glYXmT9KDOIk9iz72txj%2FO7KgDaC61HBbrrgCX6oe20bMC0A0Fz%2FKgs2DqJ1FbK94W%2Bs94k9b4fmzciwiqMWnlxQ4UiOFlnLgYvIrZoIkBuBf%2FdvGUC4iVwEfyYsTM0Y3fEOb6%2BkXPgoOqgfbsEpKAejshwL1tH%2BVvuxVYCFq%2FvhhxEjBUpGsHdyEW6%2Bn4s0x9Amx0kEAMqcSX5qQhR%2B9ul%2FYSKHFnt2LMz%2BeqplQyy4L%2BJkR7ioUizKdLVnNEPS%2BH76OVP9%2Bvb2lbOoF0wuvG7HpF1%2FeUUgxDoOOpYIQTwDAQFNUBDh2DZXCAkwUFsxZ%2BO%2FWmVrzD1JOUvsJk30f0cmwZ70%2FUVlzo0tOa4YOHfuC%2BK91SRqdzPZQFqBf59Od0VgUQAvjugtfaGloGEm5gyeBwRdWzH%2BSR5uO68ZKziu6wkVB4BKF%2F6%2FlY2egd9Q3V3GxmHfxEAn6o8SdgTml6O4453pdfL7FTAZ6bVtHHdrhZKBY7ys2endhkTJ3tgwFjTG0p8GsdaXdRqwhDXMaGdPYe5AclhdBJAr%2BjtNKOlDA26gwzzRoNmL8zIP7GLUSasvLdhx7zSv4v7ylBTJcUkGlfRu9544gouy6LtkpcBJAbq%2BThZu9xTr6N82G6p1FvIYXMWZVoDw4%2Fj1n3dOG82rgW%2FBQhY1%2BQcMFCtaDyEigAjj1tYib2FsvoCuHiJev76RqRou%2FalQkefCfYV%2B8yF6KC08gna%2B2WcrWmljcufEZUMQligevNsxbDQsoOgwcVIVH%2BBegga6HZmIDGCBc99DTuP3qhBXkTd%2BgOJsuMs1dNvEaMrNbJQvyAwywMxlSTpSmNcE2Z%2Bl%2FnJWUYYZOcQcli4FKg6azTzvx8TkedAEX2Zebs67ZZtnnTrgIME1V32rbA47MQIWSupsy7oo%2BffgLl6rlQHjwge4ILTABm9Nvi8jblnadVchmmVVpsD%2BnD0irjTXcGBeCztF9xoA4kx0kCrCy%2Fy65ujSclqM5ElXdNp2yxEToYU%2Bw1DXNf8NJknkB2XvORwR0q6G6CzP1%2FINy%2FD15kPJ4kg4it%2BxZ3LXCApEN%2FjjPlf5CbT8UyJoMYE4FJp9EfYeTfRq7%2BzM6AKaOM0a0vF1qET4%2BM6GOqdQFh5tzwqoxWrQINLTZ92saWE85gkkiUFilCkQN0jyA63i3Dr3ji56jXJPLUE8LeabEvoPuW52bjBeXbVUDuRZBGjXPc4w%2F6liU9ffnp5iHIrs8vrOMgldiKSX0tmE%2FLavkmvntYhjTQbe5II%2F0A6nqlX7rT6eAzSCYUDZyizM7lhOeROunf1lWzpQnHheEbKqxOzcYzQ%2BpLaRdiKr9XAUnGT5FP6mCzFhcF04ZSjW7i0GLx5DjNnPLuNtTHwsLH%2FEqzlY6y6g7xRr3frXEeJ%2FU70%2FFIUhvqP5Tx6HbL8lGgq2uMvW5barZdVZKZZqVxBCqGNwxHY2GmxGJnOSIHe7ovW4l8nqfoT9L7TtprT%2BFIjKobtn5a9F5skd0qU3GNjvT3PQQqN4%2FWsbIjYzMve%2B7xcfPoG11v2bamYEzY9err48qYRoUKlIdtK1pAKAoqbH8Nlkr2Oqgb3uOcUkSKNjIOTrrCUm1bNkqgnJDJIOWnxrbE%2Fn9NAQWA9k6Cjed14w%3D%3D,4,4,0,0,0,#450309766,No Aplica,Sin Vincha,LiderTek,NA
