search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
17, Casco Moto Ls2 Ff370 Abatible Milan Negro Amarillo ,89.99,NA,17,8,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480650256-casco-moto-ls2-ff370-abatible-milan-negro-amarillo-_JM,NA,NA,NA,NA,NA,#480650256,Negro/Amarillo,"S,M,L,XL",LS2,NA,FF370,Rebatible,NA,50 g,NA,NA
18, Casco Moto Abatible Casco Abatible Moto Visor Sol Fgn ,32.99,NA,3,29996,12,2.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ADKAR+SHOP,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=ufRrD2gAHFu0TXXYzG%2FLL%2BQjOtlx5uV%2B5ZV20dytM0J6O4xL%2BYdkl1uTh0ZIyRiUC2CYTzcQD%2FFSUWaRAqYLTRlRxnlHuxmtS%2FM3MZIRX8RxD1PHL8Knux%2F8s9qSTBJj7GYJoLob0CZnyZJrmbun9dtz8NiAcqSJ643bu8nz5S7%2FPon5smuUzlyrzdyml2T9q%2BNI7baGuXVpT0qGpRpW62VITfccdW99brih9XYxbJwgUSmwjZ%2FmqeIvzs7ey9qzPs4LYssRyIBMMEQcgdeEUB%2F1naNb8FK%2Btcr1RuifXe0KKpzixjrajWy1bUW9mXn8gSVCWdpHF%2FwvmhyQeMFIU7pwwewFQMt833SkXM2vJI2AHhv0CiEcEh%2Fa5rRwiv4LLdBhDlmjYfxqCBXFBIb6e7H0jw3BjDBCbZI1vKbrqWx1XtLF6S5ErGOTFsgBuhXtcmwcXWXdC%2BaH3Jb010SiOon4IiULOvN0Z8PinapnUTwGlLFVRyqtT2LSLI0TIOgfA89m51yQc9PLZcTDc0pUKcV3%2B8wZrq6hmwoh%2BOLg%2BFo4%2FEqBKQLyCf%2BEMKGtV14HGapcUxYbmylYO08IduyrEdYPZTjTGB6LpnHDnCw2DE134zhNQ32sl3uX%2Finn4tgFoOUQeqvdBKUXiDWMzd%2BRI859r9KiGnOxgH2b8WdFQND2FgnvqFuNThhTRE3zqvKnG6V%2F2txyniLHUTEzx%2F9SRj%2FUYIi%2FmGgQ%2FkSmdegxXZC8qKo%2FZ%2FLCHhwcGZQjvSlNqY4VOKz3X5yO0zr799pXMIJB152i01Ulsf54oT90tqRxXM1a4cjGZWT0adxhZLHH2kEeBPZwv%2Fir%2B1qYkPy4lY5VCzRNx83QDmhxuViPmFJUvwhjMF6c5EpuV1r56DpMejC%2Fuk8ELvBjUFE41rAT1GO3eSE6%2BLrtyYQb7a9IGX43eJ9Df%2FI9X3TiiscRRCrzJ0SO%2FdxvEHcCyiVqePaIwAuXR5bqEF1juoyaTOF08E1dEVZ2Fq0lGVqdaX1nBRuqISaQ5r4EH1EiL6IHwoca5oLnbWUGPVoNkkqAdvS3C9eAt%2Ft4IIncyXwOW7dfysv3XV6Pq1lJJHqT4%2FngmA0LPJ1e26xeLHc3uu16y9l0Sgx9GCX5R0YDFasPoGN6b7LJ%2FIhBy6ZyOiaxnE98OgsjNQhjLwllNYS3tNPNGF2pZlwxoxoRy8kGAbK4wJFNUn5PLyP6gR1BHdocL5Vr%2Fr0rwLMcVFQ0jAjRJIGIhPa2T%2Bx8Wp1vJXT2r%2Fqw8k3gxhsp42wvzbIcPOAM%2BzrqnahaWlH%2FqqZFs%2BqMcuBmQ81xiJsD4vI3MTtjL9uxz69Es8%2BmrdbM%2BnDK2PENQU0ETmroTkDT8JJ6WECh4RlhTs5OLAclF7zovXFpvjbN7Uz0gFgADSSXVWsgt5QVIruleo2lLmo4KDRp3gq6g51Lm2R3ubV2sS50N0QpC5FBtg8tWMMOqZHZGrLB74oYYb1fMDmS9GXBxXOb9tGXItMRQkxKyFOhayiTMXT4IrbeE4%2BGcdATSdJ2Jv9EwXR53kPhQEkXM4JCJCEO8cEbTzkLSUAphwzu4e2M18Pw%2FGg5YlJJCTlbWL8%2FQNuR2VtUZ%2Bv%2FaIMMIALqf%2BQIrX0VY74NPsNaGwu%2FWXvCxcgdcYws1LSdeCBrVLtMJRGrBjdEWFAPC0F6uqTktZRw4gzUWIeSaLYSSKYL6I3xOd3qe0mfdCUMqeI7xDlk%2FbnOS9F5olY2FRR%2FM1UeD4FWkbo%3D,NA,NA,NA,NA,NA,#497098651,Negro,Tamaño: 54-60cm,FGN,NA,862,Rebatible,Unisex,NA,NA,NA
19, Casco Moto Abatible Certificado Negro Dot Cert Dot / 862 ,32.99,NA,240,23,6,5.498,NA,Envío gratis a todo el país,NA,NA,4.7,9,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-465351553-casco-moto-abatible-certificado-negro-dot-cert-dot-862-_JM,8,0,0,1,0,#465351553,NA,NA,Helmet FGN,FGN,862,Integral,Masculino,NA,NA,NA
20, Casco Moto Ls2 Ff352 Negro Matte ,52.99,NA,150,17,12,4.416,NA,Envío gratis a todo el país,NA,NA,3.6,5,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM,1,1,3,0,0,#461026560,"XS,M,L,XL,XXL",,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
21, Casco Calavera Burbuja Doble Uso Craneo Choppes Moto ,37,NA,3,2,6,6.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VIGA-MOTOS,https://articulo.mercadolibre.cl/MLC-489832649-casco-calavera-burbuja-doble-uso-craneo-choppes-moto-_JM,NA,NA,NA,NA,NA,#489832649,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
22, Casco Moto Ls2 Ff325 Abatible Strobe Zone Negro Amarillo ,99.99,NA,42,14,12,8.332,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464625811-casco-moto-ls2-ff325-abatible-strobe-zone-negro-amarillo-_JM,3,0,0,0,0,#464625811,"M,L,XL,XXL",,LS2,ZONE,FF325 STROBE,Rebatible,Unisex,0.155 g,NA,NA
23, Casco Moto Armad 813 Negro Cert Ecer + Mica Iri Azul Luz Dia ,49.99,71.990,28,240,6,8.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124431-casco-moto-armad-813-negro-cert-ecer-mica-iri-azul-luz-dia-_JM,1,0,0,0,0,#446124431,"S + mica azul,M + mica azul,L + mica azul,XL + mica azul,XXL + mica azul",,ARMAD,NA,813,Integral,NA,1500 g,NA,NA
24, Casco Moto Ls2 Ff352 Touring Negro Gris Blanco Matte ,52.99,NA,20,34,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466355098-casco-moto-ls2-ff352-touring-negro-gris-blanco-matte-_JM,NA,NA,NA,NA,NA,#466355098,Blanco,"S,M,L,XL,XXL",LS2,Touring,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
25, Casco Moto Ls2 Ff320 Stream Evo Jink Negro Amarillo Matte ,89.99,NA,8,24,12,7.499,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480106756-casco-moto-ls2-ff320-stream-evo-jink-negro-amarillo-matte-_JM,1,0,0,0,0,#480106756,Amarillo Matte,"S,M,L,XL,XXL",LS2,320,FF 320,Integral,Unisex,NA,NA,NA
26, Casco Moto Abatible Ghb 158 Blanco Brillante ,36.99,NA,18,2,12,3.082,NA,Envío gratis a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-479284982-casco-moto-abatible-ghb-158-blanco-brillante-_JM,0,1,0,0,0,#479284982,Blanco,S,GHB,NA,158,Rebatible,Unisex,1400 g,NA,NA
27, Casco Moto 4rs 588 Italia Bobber Con Sun Visor Cafe Racer ,31.99,NA,6,58,6,5.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632875-casco-moto-4rs-588-italia-bobber-con-sun-visor-cafe-racer-_JM,1,0,0,0,0,#440632875,"M,L,XL",,4RS,CAFE RACER,588,Abierto,NA,1000 g,NA,NA
28, Casco Moto Cafe Racer 4rs 588 Con Sun Visor Certificado Dot ,29.99,43.990,83,42,6,4.998,NA,Envío gratis a todo el país,NA,NA,4.9,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-443922843-casco-moto-cafe-racer-4rs-588-con-sun-visor-certificado-dot-_JM,6,1,0,0,0,#443922843,"L,XL",,4RS,NA,588,Integral,NA,1000 g,NA,NA
29, Casco Moto Ls2 Ff325 Abatible Strobe Negro Matte ,99.99,NA,18,24,12,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461028633-casco-moto-ls2-ff325-abatible-strobe-negro-matte-_JM,NA,NA,NA,NA,NA,#461028633,"S,M,L,XL,XXL",,LS2,NA,FF325 STROBE,Rebatible,Unisex,0.155 g,NA,NA
30, Casco Moto 4rs 09b Gear Rojo Integral Con Sun Visor Dot ,38.99,NA,29,2,6,6.498,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-445142214-casco-moto-4rs-09b-gear-rojo-integral-con-sun-visor-dot-_JM,4,0,0,0,0,#445142214,NA,XL,4rs,NA,09b gear red,Integral,NA,1360 g,NA,NA
31, Casco A Casco Comunicador Motocicleta Intercom Moto ,5.104,NA,4,186,12,425,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-466954258-casco-a-casco-comunicador-motocicleta-intercom-moto-_JM,NA,NA,NA,NA,NA,#466954258,NA,NA,NA,NA,NA,Abierto,NA,144 g,NA,NA
32, Casco Moto Ls2 Ff352 Palimnesis Negro Rojo ,52.99,NA,17,20,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-472840193-casco-moto-ls2-ff352-palimnesis-negro-rojo-_JM,NA,NA,NA,NA,NA,#472840193,Rojo,"S,M,L,XL,XXL",LS2,NA,FF352 PALIMNESIS,Integral,Unisex,1350 g,NA,NA
33, Casco Moto Armad 813 Mariposa Mujer + Mica Iri Azul Luz Dia ,49.99,70.980,60,148,6,8.332,NA,Envío gratis a todo el país,NA,NA,4.4,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439929799-casco-moto-armad-813-mariposa-mujer-mica-iri-azul-luz-dia-_JM,4,2,1,0,0,#439929799,Rosa,"XS + VISOR AZUL GRATIS,S + VISOR AZUL GRATIS,M + VISOR AZUL GRATIS",ARMAD,NA,813 MARIPOSA,Integral,NA,1550 g,NA,NA
34, Casco Moto Ls2 Ff320 Stream Wind Fluo Rosa ,89.99,NA,6,19,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-475251345-casco-moto-ls2-ff320-stream-wind-fluo-rosa-_JM,NA,NA,NA,NA,NA,#475251345,"XS,S,M",,LS2,320,FF 320,Rebatible,Unisex,NA,NA,NA
35, Bluetooth Manos Libres Para Cascos De Motos ,21,NA,17,2,6,3.500,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MARCOSBIZAMA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=jTf5ai0P%2FlrnPA%2Fpxqqc4d2VUwD716%2BFgk%2Fl%2BU47%2BgcUe5X6zMpeP83mGyOOdPSlu5WSufh5lRddHDbqGwQeCCJKhwv76A%2FRrKqst6Fx3kWS0uN56nt%2F5DfbpWTcEVYd3y2zUdVim1KK5HjUCeYVY8WBXqh9IvkaHfCmzGUB4HZJplFRVL6OWTJtDM02uH5hS228HIshzTbaYSZvSktc9Zlhlne2xeoQouMf%2BZtOvYe1dLFR40x8%2BYQbsyQ4bGLzD%2BzCuvsDB884%2FVIFm4dM%2B2Q%2FZ5DPvbuW6qppynD31ttgs36UYGf3mzGshOVK9Fsy9ew3wXe31HgyoyU7m4F7j0uB2r6xCrDWSirFNuJUbv6sLDaGjK2VveiDuQJ%2FOs%2Bn86aS7V8y4QMLZFj98MMHCkEtD0eHmS%2Fz4J6bnlgqUXfNtIFx2qsDLyidHFhXDQVLxkwQB0YceRHr9X9Fe0d38b%2BRXamoiFIYmR8PQRl9MHtyxRNwwum5eImfwdFANGhvwRFFyZxIvRAG5MjYa0EIHJOgAQMDlBegrIi2ViQZQ43CJZd0N%2FOCD5j38RpN8p44e8xKIO2K8YmBJUXyVe28%2BJ0fqh6NkMo9X2xHJwAcqWwo7%2BKtkr3AJYQG5Pye%2BZd1Bpk4fufnaYt0ejTF%2FiaNUAhRi8wK1NZfc2PPF0AYHS6CWJp0QEgwqObz8XzL7zphXCDEb3s9%2FLirxiagKsDTS8BXQA1IwQD2O%2FVwi5zegYH7TpqTGbuTRWT8Xj9PGdfVQxJOGuypGZWzmK8Q3aTBaQv37N6r%2Fon4ClSz8ssIoY%2F%2BFWj0OxWF3nVi6TjRtEX5FQJY8Gs3Agc6PxFTrKIre4e01IbbLPCoAp4F0qORefBJp35Zpd7y6ichWFXN3xYuVJatb8hxSLACor6sS1autnVrWdeUUOlzrsAnmF3kmj318%2BbqPoYE9p0ma3r88x6xnKr6ZpwzhqDfCfoV56mgwMaTOQiaRlB2OTWhCHiLrVjI%2FOzqsZjw%2Fho%2B09C0cZ92Lj2jcz1khluWAI%2Bb2EgwKHneNX2GZKEjIvGDWKsG28lmGBTCLkxgDC77qzvaR%2Fj3ixAMwaE5QIbFb2zdKcNT%2BACE7ZstZOOJXaFjCFJK3uoLTZogR1Wf42Gn95Mu0PzJRFYbCO8VFSKYnhkbfC9pmvoUJPBQ1fNdVR9F%2BmmBJ%2BWI39JMFhB%2BYcs7pZaSaBWOndLtrNrymfTbO4NUCSyRY5MvtaRfoFFGzsY1%2BRj7z4bAEJ1afJU7d30%2F7ElY5JB9wQqsf1n4t7WUQw0QDbTV%2FBsmbjw2rwOV6ATdwp32T2CGSkWHZAzEORSIOwiECulMw7K0poxH7uh7Mu9krSwAX9MzZYFzWKH34kukG%2BplGlplW99lPqQ3j1vZecUtlHZSKMDM30y6YV%2FiHlNplH20bO%2FzFn44DXRnZmbl0obXY5edHSIALNaJdihpcUuxEna9HupQtFyDMcz9QiW9ry0hvcw23hvTozN8AVpO%2FMqYhJk8knEaMSRTmH8NBlL5bSj%2BLFtTo5iVuf7Jo480nlOPQz0v6%2F7AN2Xlg6AOrToGrsTkMnxA57csKdWwPzOCd%2BpMC2LpVbQMQ5m9K9pvcR2%2BoiBvZ72TeuNgCg1cnEYQTJNU%2FQDcY72pFpasdYUAXCrjM8GpVeTA3y5ZeFrEVOnNoRZh6wISYu5I14y7hnaDyB7AQ5iXDQ6k32HYjJXrI8u74lUxz2AM4uCEFfRO%2BQ%3D%3D,1,0,0,0,0,#448923982,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negro
36, Casco Moto Ls2 Ff320 Stream Lux Blanco Rosa ,89.99,NA,9,15,12,7.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-475630067-casco-moto-ls2-ff320-stream-lux-blanco-rosa-_JM,NA,NA,NA,NA,NA,#475630067,"XS,S,M",,LS2,320,FF 320,Rebatible,Unisex,NA,NA,NA
