search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados
121, Capacete Moto Mt Revenge Binomy Fosco - 5 Estrelas Sharp ,769,NA,46,7,12x,64.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,3,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-694904447-capacete-moto-mt-revenge-binomy-fosco-5-estrelas-sharp-_JM?searchVariation=35986843071,2,1,0,0,0,#694904447,Preto,"56,58,60,62,64",MT,Revenge,Revenge,Integral,Simple,Policarbonato,Adultos,Unissex,NA,NA,NA,NA,NA
122, Capacete Moto Ebf Fechado Feminino Varias Cores/tamanhos ,171,NA,74,5,12x,14.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951519257-capacete-moto-ebf-fechado-feminino-varias-corestamanhos-_JM,4,0,0,0,0,#951519257,Branco e Lilás - Não se aplica,"56,58,60",EBF,EOX,EOX FLOWERS,Integral,Simple,ABS,Adultos,Feminino,NA,NA,NA,NA,NA
123, Capacete Moto Ebf Fechado C/oculos Solar Varias Cores/tamanh ,220,NA,61,4,12x,18.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,6,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803428401-capacete-moto-ebf-fechado-coculos-solar-varias-corestamanh-_JM?searchVariation=27798707553,3,2,0,0,1,#803428401,"Preto-fosco - Amarillo,Preto-fosco - Vermelho,Preto-fosco - blanco","56,58,60",EBF,Xtroy,X20,Aberto,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
124, Capacete Pro Th1 Vision Adventure Moto Cross Tork Loi ,187,NA,105,2,12x,17.97,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,652,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1129192285-capacete-pro-th1-vision-adventure-moto-cross-tork-loi-_JM?searchVariation=29559862633,477,98,44,17,15,#1129192285,Vermelho e Branco,60,Pro Tork,TH1,Vision Adventure,Cross,NA,Revestimento de proteção confeccionado em EPS de alto impacto,Adultos,Unissex,"Forro antimofo, removível e lavável;",NA,NA,NA,NA
125, Capacete Moto Axxis By Mt Marianny Celebrity Preto Fosco ,449,NA,70,2,12x,37.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,168,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-787765093-capacete-moto-axxis-by-mt-marianny-celebrity-preto-fosco-_JM?searchVariation=30863257430,143,20,5,0,0,#787765093,Preto - Rosa Fosco,60,Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,1400 g,NA,NA,NA
126, Capacete Moto San Marino Automático 788 Masculino/feminino ,69,NA,7,398,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=IBWFRbOxNaNen%2BgOsjEHgpqGhhVIoilHuF9gThmlMRJrUrklTL7VLuxCdj5ULabo%2BUYi%2BenBoQZHGcRRyAbMLYvnHHF6GosrC0Ged32HLSDCixX53cMIvzcBMn4bbCYJkXLDe6et2jiq3vM70VRc9hLfvoUvMGCGxEyTgkQqxkYQ31CXEhNK456Wfv7ZAi1OMKQp4vbsB1pANnWMjIWSSLobdgsUfRcKAUAnKIHybTXiyLRoZNMcrp33PiofD9rZFi3OGxBjHCLEsyoP2vvXWNTqDGr5rXurZt57fhJpJOCcBCsZGsqe2TsqCggaNbAl2TN2V4v%2BJM1JN3QC32hZ68Z3vRS8hRkkxSmziSC8vQ45erdgxi6xvZsvg%2BkCStFTKBc933SbYjd5vlACGipFD5zX39ZYNePSY7%2FRZHwyNvbIDhSS3t2g%2FthgAOiZLV2%2BsfUQl0YVu4%2Fgnrz%2FA2zktoyklBtAsnU0wh%2FSb6abEdnmhwT0MygUmk9u7BcJIUR0ODb1p0zxwchs9bxGDVINmKq%2B4TLwvuDrTC0R82h0KdnJTiQ%2Fbtd02xCZpTZhHVkH32f0poHEvZ9J47j1WRxvofJRO5CUcCkS7i%2Fnexrpis%2BBJ9WBAtB3xF9VY4UgYFL4xsqQO9aMeFeXkULwtn5mtm2%2FygijJzBaumXWhERjjazfeaRkmg4IRgbM1lH0J2JRgp0L27gZ74IfqW7xRTFilFdjEQrb8KqdnCDvn4Kdp%2BLuCQEAU2nDASWDfmfZz8rG%2BnIUwjv3wB1%2FE75RRgGoU0WzHkIbRKiszSeSRw9BnxgZyAPluEhT9n5q0jyK%2BlV6AvziQ2KOF7A6bQX0p%2FlN9rVqcIfhLiYYOuF3ipZ6zLloV2%2BrxBoqqOZGK6%2FMsoLm1cZtVgi60pZDzJ%2FXLgb8Yzn30OKHNFVtsz3cCep7vqjZpNctX9GDy6KpEDVrRi3mYxNVRHY5HmHbLxSs%2BYCK%2Bd3duxlYwhv9IsmSQprPf1Ek1O76utmpUi0XswyZZkk7XU8V4yTU9zA5C5xcBWi2TxOxmQloijPftOZvL3CBW8phhg79lH2Pk85aQMK%2BE05dYsRfQ%2FxhxQ0wB4iaq9MsMdUqtjgTOorL5N6KkOy4KPMccEs73WB%2BXn%2FKyrKDjoSCdnskSMnmHGcWDYUYywEjNeD%2FPrfe8CpSvGGqkuU4R%2F7yufudYKCBMyPXErqNKbVgCjBk1a%2BSOH0YYEWU1BPKAdwFjbvXVYH6B0T4wZqNc%2FW6EeYFKVa%2BNAPYIVUijcUTcE5L%2BDDg2PDoT%2F5Up150LFaVk3clmRrbCggzIaKUicFMmKkW%2BC5jm0OpPgG3pBcqNKDEvdEeVyZS1O%2FGmvScdphEk7R46qZGBTPww953gBbnRUm6Tv8eASO%2FvvTYPZEBdPRhzha5fcQAs5HTn8uVap%2FqZqDle%2BKBHOUCIYr2lIuxrCEWpx82sz0olck0QWn7kVPM1b4%2FAnlJrXE7f6YINdl4g8m8Ci91zma8sNSk%2F8c%2BR0I6LPSskL2i7dd746hBs0HuiktehoYhkKoIcGQ08LF6pLM%2Ff8NsCsb3wvTrA3%2Fk1QsLSwUap5xPoAUYYIsyv7o1MsrZqgqk1IyBs6peOdC9l%2F%2F%2BDfj5CNa0mWTGYn6soB0DllLlDP7M70poFMzB59FSWr1IHyYKO7mweWvXUOSJPRmzQi1UGyMIwsaWNnUfe6g1TNLcymYprhF%2BtnQz78co2fBj3wUwuk42drKSBu6qB09N%2BhP%2FRWV6MQ3%2F1TDg6XoWjySxvvvdgCiPh3ZO52%2FOijrGleMbfj70bX%2FbxI1hpo4RuVLZrum082t9XDBCs2FTkf8xrqL0Fe%2B%2Bx5VE5Nrdp7%2FxNu%2Bmnjbdd88EcLk%2FfDcyC7ga0gFvC9pLUWdtJS%2BRRnMuQx%2Bf%2BFly5wJP4tZK8SaXyRhKJOvCvM8C2Q%3D%3D,NA,NA,NA,NA,NA,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
127, Capacete De Moto Mixs Fokker Paint Várias Cores E Modelos ,119,NA,1348,41,12x,11.45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,91,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-686083013-capacete-de-moto-mixs-fokker-paint-varias-cores-e-modelos-_JM?searchVariation=32047601421,63,20,5,0,3,#686083013,"RPM,Butterfly,Cores disponíveis,Jokker,Paint Prata,Paint Vermelho,Preto-brilhante,Preto-fosco,RPM","56,58,60,62",Mixs,Capacete,Fokker,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
128, Capacete Ls2 Ff353 Rapid Crypt Fosco Capacete Moto ,599,NA,45,13,12x,49.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-776110766-capacete-ls2-ff353-rapid-crypt-fosco-capacete-moto-_JM?searchVariation=34298723576,4,0,0,0,0,#776110766,Preto,"56,58,60,62,64",LS2,FF353,FF353 Rapid,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
129, Capacete Moto Protork R8 Fechado Viseira Dourada ,120,144,10,8,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/LOIBRASILMOVEMENT?brandId=2047,https://produto.mercadolivre.com.br/MLB-1275084200-capacete-moto-protork-r8-fechado-viseira-dourada-_JM?searchVariation=40505446403,1407,403,181,62,70,#1275084200,Amarelo,"58,60",Pro Tork,NA,R8,Integral,NA,ABS,Adultos,Unissex,Forro Antialergico,1200 g,NA,NA,NA
130, Capacete Moto Mx2 Carbon X Brilhante Mixs Lançamento 2019 ,119,NA,118,1,12x,9.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-1137360047-capacete-moto-mx2-carbon-x-brilhante-mixs-lancamento-2019-_JM?searchVariation=31539796118,5,0,0,0,0,#1137360047,"Preto com Azul Brilhante,Preto com Rosa Brilhante","56,62",Mixs,Capacete,MX2 Carbon x,Aberto,Simple,Casco construído em resina termoplástica ABS de alto impacto;,Adultos,Unissex,Isopor interno com aletas para absorção e dissipação de choque;,1600 kg,Cinta jugular micrometrica,Inmetro,NA
131, Capacete Moto Norisk Ff302 Screen Com Viseira Solar ,599,NA,7,3,12x,49.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1204677946-capacete-moto-norisk-ff302-screen-com-viseira-solar-_JM?searchVariation=34771366573,1,0,0,0,0,#1204677946,Preto,"60,61",Norisk,FF302,FF302,Integral,Duplo,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
132, Capacete Moto Mixs Fokker Carbon X Fundo Fosco Lançamento ,129,NA,727,13,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,35,https://perfil.mercadolivre.com.br/HELMET+WORLD,https://produto.mercadolivre.com.br/MLB-1161394046-capacete-moto-mixs-fokker-carbon-x-fundo-fosco-lancamento-_JM?searchVariation=31626934851,22,11,2,0,0,#1161394046,"Amarelo,Amarelo,Azul,Grafito,Laranja,Rosa,Verde,Vermelho","58,60",Pro Tork,Capacetes,Carbon-X,Integral,NA,NA,NA,Unissex,NA,NA,NA,NA,NA
133, Capacete Ls2 Ff358 Draze Capacete Moto ,499,NA,74,1,12x,41.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-777577678-capacete-ls2-ff358-draze-capacete-moto-_JM?searchVariation=22602322535,5,2,0,0,0,#777577678,Preto - Branco Vermelho,56,LS2,FF358,FF358,Integral,Simple,ABS,Adultos,Unissex,NA,1400 g,Micrométrico,Inmetro,NA
134, Capacete Moto P/ Mulher Fechado Rosa R8 Viseira Espelhada ,129,NA,993,160,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/VENDASFREEMARKET,https://produto.mercadolivre.com.br/MLB-1113502603-capacete-moto-p-mulher-fechado-rosa-r8-viseira-espelhada-_JM?searchVariation=28363602226,1407,403,181,62,70,#1113502603,Viseira Cromada,"56,58,60",Pro Tork,R8,R8,Integral,Simple,ABS,Adultos,Unissex,EPS,NA,NA,NA,NA
135, Capacete Original Helt Cross Vision Triller Laranja Fosco ,310,NA,107,8,12x,25.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,447,https://perfil.mercadolivre.com.br/MOTOARTPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-1155707277-capacete-original-helt-cross-vision-triller-laranja-fosco-_JM?searchVariation=36185955120,395,48,1,2,1,#1155707277,Cinza-claro - Laranja,"58,62",Helt,Moto Criss. Off-Road,Cross Vision Triller Laranja,Cross,Simple,ABS,Adultos,Masculino,Poliestireno,1650 g,Micrométrico,NBR 7471,Urbano
136, Capacete Moto Ebf Thunder Open Mandala Várias Cores E Tam ,99,NA,35,1,12x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798334766-capacete-moto-ebf-thunder-open-mandala-varias-cores-e-tam-_JM?searchVariation=27796681128,1,1,0,0,0,#798334766,Preto-brilho - Rosa,56,EBF,Thunder Open,Mandala,Aberto,Simple,ABS,Adultos,Unissex,Não se aplica,1.4 kg,NA,NA,NA
137, Capacete Moto Peels F-21 Us Army Preto Fosco Verde Militar ,249,NA,90,296,12x,20.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,34,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-1113894186-capacete-moto-peels-f-21-us-army-preto-fosco-verde-militar-_JM?searchVariation=33360564793,26,3,5,0,0,#1113894186,Verde militar fosco/Preto,"56,58,60",Peels,US Army,F-21,Integral,Duplo,ABS,Adultos,Unissex,Revestimento interno em tecido antialérgico removível e lavável,NA,NA,NA,NA
138, Capacete Feminino Fechado Pro Tork Moto Viseira Transparente ,64,NA,20,34,12x,6.21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,45,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1208745893-capacete-feminino-fechado-pro-tork-moto-viseira-transparente-_JM?searchVariation=35106742775,26,16,1,1,1,#1208745893,Preto,"56,58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139, Capacete Moto Axxis By Mt Snake Preto Cinza Fosco Serpente ,399,NA,92,14,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,25,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-795252109-capacete-moto-axxis-by-mt-snake-preto-cinza-fosco-serpente-_JM?searchVariation=31708536136,22,2,0,0,0,#795252109,Preto - Cinza Snake Fosco,"56,58,60,62",Axxis,Axxis,Snake,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
140, Capacete Moto Axxis By Mt Dreams Fosco Lançamento ,399,NA,10,3,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1204482940-capacete-moto-axxis-by-mt-dreams-fosco-lancamento-_JM?searchVariation=34761273994,2,0,0,0,0,#1204482940,Preto,"56,60,62",Axxis,NA,Axxis Deams,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
141, Capacete Moto Norisk Ff302 Destroyer Fosco Viseira Solar ,599,NA,7,3,12x,49.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,17,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1171017531-capacete-moto-norisk-ff302-destroyer-fosco-viseira-solar-_JM?searchVariation=32321931246,15,1,0,0,1,#1171017531,Preto,"58,60,61",Norisk,FF302,FF302,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
142, Capacete Moto Fechado R8 Protork Top #touca # Viseira Fume ,132,NA,558,1491,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-917311676-capacete-moto-fechado-r8-protork-top-touca-viseira-fume-_JM?searchVariation=17748339319,1407,403,181,62,70,#917311676,"Azul-escuro,Amarelo,Azul-claro,Azul-escuro,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,ABS,NA,NA,NA,1200 g,NA,NA,NA
143, Capacete Moto Fechado Protork R8 Integral + Viseira Iridium ,103,NA,87,2960,12x,9.93,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/CALIL+STORE,https://produto.mercadolivre.com.br/MLB-1173104959-capacete-moto-fechado-protork-r8-integral-viseira-iridium-_JM?searchVariation=32507254829,1407,403,181,62,70,#1173104959,"Amarelo,Azul,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Evolution G6,R8,Integral,NA,NA,NA,NA,NA,1200 g,NA,NA,NA
144, Capacete Sport Moto 788 Automatico Rosa Modelo San Marino ,69,NA,332,28,12x,5.75,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,806,https://perfil.mercadolivre.com.br/JP+MOTOPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-838472246-capacete-sport-moto-788-automatico-rosa-modelo-san-marino-_JM?searchVariation=24919500154,484,190,90,22,20,#838472246,Azul,"56,58,60",Pro Tork,Sport Moto,Sport Moto 788,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA
145, Capacete Infantil Moto Criança Pro Tork Liberty Preto ,59,NA,241,788,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,455,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-839120097-capacete-infantil-moto-crianca-pro-tork-liberty-preto-_JM?searchVariation=19921447708,336,77,32,6,4,#839120097,Preto,54,Pro Tork,Capacetes,Liberty Infantil,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA
146, Capacete Masculino Moto Protork Preto Fosco Lançamentos !!! ,139,NA,151,168,12x,13.31,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-984241492-capacete-masculino-moto-protork-preto-fosco-lancamentos--_JM?searchVariation=34393861254,5,1,0,0,0,#984241492,"Limit Azul,Limit Vermelho,Pro Cinza-claro,Pro Rosa,Pro Vermelho,Racing Laranja,Racing Rosa","56,58,60",Pro Tork,Evolution G6,Evolution G6,Integral,Simple,Casco injetado em ABS,Adultos,Unissex,NA,NA,NA,NA,NA
147, Capacete Moto Axxis Eagle Preto Força E Ação Lançamento ,399,NA,50,1,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,12,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-848281979-capacete-moto-axxis-eagle-preto-forca-e-aco-lancamento-_JM?searchVariation=30619201511,12,0,0,0,0,#848281979,Preto - Brilhante,56,Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
148, Capacete Moto Peels Mirage Revo Com Viseira Solar ,284,NA,177,289,12x,23.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,306,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-916368950-capacete-moto-peels-mirage-revo-com-viseira-solar-_JM?searchVariation=40520456420,209,54,30,8,5,#916368950,Preto-fosco/Vermelho,"56,58,60",Peels,Mirage,Mirage Revo,Integral,Duplo,ABS,Adultos,Unissex,"Revestimento interno em tecido antialérgico, removível e lavável",1.2 kg,NA,NA,NA
149, Capacete Moto Ebf Fechado E0x Spectro Preto E Chumbo - Fosco ,175,NA,52,1,12x,16.81,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3,1,https://perfil.mercadolivre.com.br/DRAGON+RACING,https://produto.mercadolivre.com.br/MLB-732798886-capacete-moto-ebf-fechado-e0x-spectro-preto-e-chumbo-fosco-_JM?searchVariation=28057589028,0,0,1,0,0,#732798886,Preto - Chumbo,60,EBF,E0X,Spectro,Integral,Simple,ABS,Adultos,Unissex,Resina termoplástica,NA,NA,NA,NA
150, Capacete Moto Mixs Fokker Carbon X Fosco Ou Brilhante 2019 ,159,NA,32,48,12x,13.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,15,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-1129113207-capacete-moto-mixs-fokker-carbon-x-fosco-ou-brilhante-2019-_JM?searchVariation=31535293212,10,4,1,0,0,#1129113207,"Clique na cor desejada,Preto com Azul Brilhante,Preto com Azul Fosco,Preto com amarelo Brilhante,Preto com amarelo Fosco,Preto com grafite Brilhante,Preto com grafite Fosco,Preto com laranja Brilhante,Preto com laranja Fosco,Preto com rosa Brilhante,Preto com rosa Fosco,Preto com verde Brilhante,Preto com verde Fosco,Preto com vermelho Brilhante,Preto com vermelho Fosco","56,58,60,62",Mixs,Capacete,Carbon x Fokker,Cross,NA,NA,NA,NA,NA,1.6 kg,NA,NA,NA
151, Capacete Moto Escamoteavel Pro Tork V-pro Jet 2 Carbon ,189,NA,250,2274,12x,18.15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,723,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-828211206-capacete-moto-escamoteavel-pro-tork-v-pro-jet-2-carbon-_JM?searchVariation=26170164369,533,125,40,12,12,#828211206,"Cinza-claro,Amarelo,Azul,Cinza-claro,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Unissex Escamoteavel,Jet 2 Carbon,Integral,NA,ABS,NA,NA,NA,NA,NA,NA,NA
152, Capacete Moto Fechado Protork R8 + Viseira Fumê + Cristal ,139,NA,111,1449,12x,11.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1147317000-capacete-moto-fechado-protork-r8-viseira-fum-cristal-_JM?searchVariation=30661911712,1407,403,181,62,70,#1147317000,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,NA,NA,Unissex,NA,1200 g,NA,NA,NA
153, Capacete Moto New Summer 56 Branco Thunder Open ,99,NA,19,5,12x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951201933-capacete-moto-new-summer-56-branco-thunder-open-_JM?searchVariation=25619652833,1,0,0,0,0,#951201933,"Branco,Lilás,Preto,Rosa","56,58,60",EBF,Thunder,THUNDER OPEN NEW SUMMER,Aberto,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
154, Capacete Peels Spike Veloce Chumbo E Branco Fosco Moto C/ Nf ,248,NA,9,17,12x,20.70,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,96,https://perfil.mercadolivre.com.br/CICLO-BETO?brandId=1910,https://produto.mercadolivre.com.br/MLB-1193792660-capacete-peels-spike-veloce-chumbo-e-branco-fosco-moto-c-nf-_JM?searchVariation=34021441183,60,23,7,4,2,#1193792660,Chumbo Fosco / Branco,"56,58,60,62",Peels,NA,Spike,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
155, Capacete Aberto New Liberty 3 Moto Promoção Relâmpago ,55,NA,67,283,10x,6.36,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1602,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1273973842-capacete-aberto-new-liberty-3-moto-promoco-relmpago-_JM?searchVariation=40423112191,1186,280,102,15,19,#1273973842,Prreto Brillante,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto,Simple,ABS,Adultos,Unissex,Poliestireno,NA,NA,NA,NA
156, Capacete Moto Protork R8 Fechado Viseira Iridium + 1/crista ,139,NA,39,1,12x,11.65,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2123,https://perfil.mercadolivre.com.br/PFSOLUCOESEIRELI?brandId=2047,https://produto.mercadolivre.com.br/MLB-1203357380-capacete-moto-protork-r8-fechado-viseira-iridium-1crista-_JM?searchVariation=34675660702,1407,403,181,62,70,#1203357380,Amarelo,"56,60",Pro Tork,NA,R8,Integral,Simple,ABS,Adultos,Unissex,EPS,NA,Micrométrico,Inmetro,Urbano
157, Capacete Moto Texx Gladiator Escamoteavel Robocop Articulado ,589,NA,93,28,12x,49.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,36,https://perfil.mercadolivre.com.br/L7+MOTOS_,https://produto.mercadolivre.com.br/MLB-706460010-capacete-moto-texx-gladiator-escamoteavel-robocop-articulado-_JM?searchVariation=31267373787,24,7,4,0,1,#706460010,Preto-fosco,"56,58,60,61",TEXX,CAPACETE TEXX GLADIATOR ARTICULADO,CAPACETE TEXX GLADIATOR ARTICULADO,Modular,Duplo,NA,Adultos,Unissex,NA,NA,NA,NA,NA
158, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,58,NA,123,259,10x,6.70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1592,https://perfil.mercadolivre.com.br/EMPORIUM+MINEIRO,https://produto.mercadolivre.com.br/MLB-1168369919-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=32132603174,1056,338,143,32,22,#1168369919,"Azul,Branco,Negro Brillante,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,New liberty,New Liberty Four 4,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
159, Capacete Moto Sm Automatico Marino Pro Tork Motoboy ,60,NA,996,27,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1563,https://perfil.mercadolivre.com.br/PHOENIX+ACESS%C3%93RIOS,https://produto.mercadolivre.com.br/MLB-977356315-capacete-moto-sm-automatico-marino-pro-tork-motoboy-_JM?searchVariation=20808453870,970,338,149,57,49,#977356315,"Amarelo,Azul,Branco,Branco/Preto,Cinza,Preto,Preto-fosco,Rojo/Negro,Rosa,Rosa/Preto,Verde/Negro,Vermelho","56,58,60",Pro Tork,SM,Sport Moto,Integral,NA,ABS,NA,Unissex,NA,NA,NA,NA,NA
