search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados,Posição da ventilação
11, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,133,NA,915,27,12x,11.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,216,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,172,32,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
12, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,57,NA,912,2503,10x,6.48,NA,Envio para todo o país,NA,NA,4.4,812,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717,487,192,90,23,20,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
13, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,75,NA,1926,35,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,47,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,30,6,8,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g,NA,NA,NA,NA
14, Capacete Moto Pro Tork Evolution 788 G6 Pro Series Tech ,115,NA,41,29,12x,10.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,88,https://perfil.mercadolivre.com.br/MOTOLOPES.COM.BR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=iedA7JqJYVnxW92neGffunC%2FB7p8VvP4cpYDTXnNK5VxgwmBqkF9doibQtfmMHmoSrKEOuQhUISwbRR0mzmyQBeh%2B4zlV1AmTAGzVHZPLPHz%2F5jWNinK2Yrz%2FpC6VHaCpFWleTpnCWQlpWNUo4Me0E7zTrS0fcfW%2FQIeeIeepjNiA7QLqz%2FZ%2F%2FJGU%2FvawH4ZL84F0tkejBx98xNSmCxnp58m9MmC7YmA3738Qiohm2B6Se%2BHasrAVBtUk1zM3tnXz5A2blePeKp1649zH77ZQ2lblppe9aPntQ2TXedYTbZ1G7r%2BApUxqpqp1RdJJg4nZThu%2Fjdq7ioqyi7A8aJV%2BTbUTCDVekeZzyJ5BHJIyHDZ6z5Ig8Of1z0H92A2P%2FoChsMlTlBHXixwMGCb8feGBCg%2BsRWcE7V93iNJvb3sRz%2B9%2B0K4gGHY4BBFFXdYdMCBS8TTT8C4wBGfvxEpX4qktUaHShHgDWd9Eems2hg9nCJ3Frb5GlyamZbBvZgLNeGMM7rE5H52gvwX%2FmFFeRCKyMPfdNpiGd%2FywW10ZxxJeFh2sdVZMizmB4qK1VYPIO7%2BRRMNq%2BH%2FDHRL3oSZhCT0HKTwJQ35NFSj3x12SZ5rI7CF%2FTTm0CBZ4FSD3uBtcNaFrH3o1TNGKXxeVShpYKNyvkKjqOxk6Auy1UAlh7ym8yk4Y%2F79PLa0yVc92hW5%2Bukj2fOFOjYqGo53tav5doucwK3bTau9ZaF4QzDZr8dZJA1kzZd9JeWT1Cb97e4plt9f6rcv0Wx%2FX3T4i61isECaFl66r3PtM%2BRFjPU4U1KJ8G464QubtOjrLmHr0n82ZQMigG3f8bcFyEkDiiHSDyoBCX0lRZsydafg2msV%2B1c2zUJJPx2FPF7HmHVRVpAfmwE3kkPX7LnDLUNAXgXzbxMOfCLBhsSjKgH5Uu7wtXhEgIHNhCqo2kOtQ7HsHb4N%2Fx7SBeO405Mh26gQvvcz5l57ZhEvRE5FIXYkLE63M6adQC7%2BJ%2B7YeA8bi7pVsrHBfICBlJi%2FzuFaAfCevcWeOKLK9hqa%2BBq4FD8ObE7HdDr1hkMBLVQegUIUPMPByotC2I2iADTfPx0VLwsDhJQHnO6EU7G6RT8nTVp%2FBiv%2BV4kaW5Wh5YSLWF90E7Hs9jpTMItiAicof%2BQHa6ue6EFKBaeKQaH%2Bm5i64goRS0HDSt0CDxpPhfBiRzjFg7DHeFBy1fvUp9gETyg81XOwXQyylrwqGIAPvJUdW8l1PdeqGPAC71E%2BjXaVZoxNXI6cBu7qITqOX0u2qh4GbA8MasyzFTLePwxvqs%2BiEdImrA0IzY8DcZnsLiiPTElH1qZiS0HcE%2BohzIgj02m0%2FUyQglzbCODHuDKHAJWglD9uzvw5HeGs8qIapU4kbF35hmwdz6OHUy%2Bk36lE513KjFyZa5%2FJ1HXiCRgRy9JvxL6zFUP0MQnRz%2BAbjoefc%2FZoJ%2BZ%2BLLroLLjpuNbAzCzmIkGu2HO3RfXHmJKbGiMr2ip0Qhl1BVUAojWy9BTkBpdDe9wAdTMzF1f6yU9m7ifrzJMZChpLYTovJ0loPGohi4cFAVbE0t83Ipcf2uKg%2Bl5KMyTHXblB4yexBX%2FVbfBjhkv7yXaEWLWxyFWkh87I2s%2BRHX4dIQCSr0MGVhGELIxEL8bWvpFEklOKValsh4LRBSAdjeMTsPIB4Bp6rW0OuyhfF0RYu%2FyVlWutbGNpKNPbl7J2G424r6sEkN201sDWQ3%2BV7cGVYH19HHKt57Bnlrr9CKnFjbroJKCPgYeqfEGcSmLzpdS6c76UIZzrS3FoB9T3y%2FL%2BSuHHwT9v1SBORt1O05qunpXMpjSU67mLeE%2B%2B8l5BgBnQvzYszKq%2BtOpKE4QES0yyM7xexPVVyeDXkaX90zHDgp7eMUrczko%3D,62,17,7,0,1,#1184291985,"Rosa,Amarelo,Azul,Grafite,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,NA,Evolution G6 Pro Series,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
15, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,NA,840,181,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,82,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,53,19,6,3,1,#960763001,Preto,"56,58,60",Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g,NA,NA,NA,NA
16, Capacete Moto Pro Tork R8 Fechado ,104,NA,4842,1599,12x,8.67,NA,Envio para todo o país,NA,NA,4.4,2171,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-781215610-capacete-moto-pro-tork-r8-fechado-_JM?searchVariation=17279219016,1443,409,183,64,72,#781215610,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
17, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,55,NA,650,64,10x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1216,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1190902717-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=37973983683,875,232,76,13,20,#1190902717,Preto,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto com Viseira,NA,NA,NA,NA,NA,NA,Micrométrico,Inmetro,Urbano,NA
18, Capacete Moto Axxis By Mt Skull Caveira Azul Lançamento ,399,NA,130,6,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,33,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1188744116-capacete-moto-axxis-by-mt-skull-caveira-azul-lancamento-_JM?searchVariation=33693186311,30,2,1,0,0,#1188744116,Azul,"56,58,62",MT,Eagle,Axxis,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
19, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,154,NA,789,2385,12x,12.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,331,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-984292838-capacete-moto-pro-tork-evolution-g4-las-vegas-viseira-extr-_JM?searchVariation=21128485402,255,52,14,3,7,#984292838,Branco,"56,58,60",Pro Tork,Masculino,Evolution las Vegas,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
20, Capacete Moto Tipo Sanmarino Automático Masculino/feminino ,69,NA,24,3578,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=S2KumdZ5Q7kgwyVGMuY629Q6PTtVExNg2MtudK4SvKGdMyA4aj1PaxgsKTsaP44g8UYgGVk843rIN069I8ueRGnYbSLxyC7EgZR8pLRKjm%2F%2BtSHCjOk4vXQtEs903KgQ8ruKzER1zexNFTGPC1RxuUOS13MLHLIhr8TdlrCYY%2BevMl%2FF08mrrFYjIJgezSMA%2Bjqu20DXfkt1nCbfx%2BqPJ6l0rEcE%2BqWB%2BBjtjY8w9yu7o1o99dmESA%2FqoVQk14h0bShZG7fM8Qg78KGlhL%2Fu4FGQIIPXTZg2bLlvEg65YYcvXi1KOuvhX2lI5JeVASiPs2a4cy4VV2xWldbi3dL%2BJw9%2FgC4nSMJN7bG7vcWxjgFo7ZZLEsMcGOOkyPZrRNhIh934CWVHwpj2w4xqWzkk0n3eZnL6Bba2jGyDmLcGEJ2r%2FanFwB%2FfyJgqGyiqFTSu2sncvg5nHoICxWa19dIo5VssbloRgrVKz8Uv32pBY3dUxe4aRYFgnwf4%2F7mPthIr%2BjjpXaZw%2FN93K1zgUoqxg%2BWzXBXVV%2FtojmagPJ9aSUQhwoJDaZV2U91tT5LaC27BoWl7YvTdnMUzCPLoaCItCCYLS%2F%2FicdUIvDp5%2FhRecpmysJ5IXKen0IY6Gij0cy3rEMg3%2B%2F8FFuK4eqeo3eLkTc1L2CoHSfopYPjx9kdY3Vr0t%2B%2FY5LJXeDtj%2FLvwTLuvqVBLrJxEAZRwPRYXQSFXe3d3Cu%2BKEpsrBQ1jFeOF9mIHS6urTXcsOJC61cNtnR7uO20rSXkf9My2Mkn%2BpvU54750oeZVdnTWQK%2Brfaj0Celm%2FEYjT1KdqSBVaH5%2Bd4apiuIBnheHBnUjWXEQQrDcYt0cl4F%2F3Ciw1eB7SRxuZnnKanXV%2BVYN%2FMo30VIPQ2sW6%2FjAmNyf%2Bv%2F8ExejfruBN1GZ9k2uwgFmNAEdtpO8N5HTuHvcjEnADEzVP6lEFu%2FJU1NkmCvM1TrznWeci0iGg1U%2BMEKZu4BsJH%2FZIqn%2Bq6C9al0XQ4qGwd5bSyY5fxdlGdWNMZ3h6qNgWWrMn%2B9PnG445iBUyZ5dxZjqyrV%2BiwK0R2xp05okvT5b%2FmO14hwrMtPb7cAGmnbzvoXfp978kHiJiSAcAEoZcdfhGxF0Zh8kitmq0SAR%2FlDpXAiD70HXDFstPX7CtRjBYrDBJm%2FiB3rC3XU3Fwflys5sdiT7Icl8v2SKHoYe%2Fsnuwe2MDkAdPK3KEGKMpOIWxMxCu8FMJgqwf4caPYUBv%2FMGCnjnjnaWv3E3N27eLzoOjwZt9u90F41xckYwjxpB38Gldr5A3qcWxVboOC8oNAgrMZt%2F0TavbTliGnTgIc6LVtZCZh%2FG6lyIrVyel5rPYrkDCUmokGU5c6Kfq6mPyXdKWXoorDBd1t2rZ4RDuhzgb0Wi3tVaxp%2B1947TY4s%2BDAx%2FhSkVgDsaZROivaA1%2B%2FwX8A3wbK9ON3sUMa0qsdWAyZ4%2B9DVOjskM2JEnWShg0J%2BNuVfTD716rQ%2B8kG4NgqP%2BJ7B7bomxap%2FMPwc7%2BWEHtLoyYW84Ht31BPM1VeeuFJ0c5AmTHic2psPbMDa3gRzVJYp5P4dwLoeGt2gjBWd7F0hIEiY4946KtFXw%2BaXi7r%2BwI16HVDH8xgJl6Uby847rtvqS4EgnrSP2d98xJz0cjfCZ4yynEB1A7bCDzf3baEsSpEyeLG2PczhsBgn7aLTLJGs2%2FVFwVNGBZqfYAmLLEPF4SWCELp0s9Hm9%2BPLQnGXxmx%2F48QPMFPQuXwPPrD7tNxEXRpFnUZZ2bhUC6CXOFSYVfkrJgzIYdBz67l3XsPjzTHPoQFCsISrnlaoQGOA%2Bz4twlzj2mdZiaXbBnUpAsbO2ajl0tPhoatbvQ1cCRtNFva%2FIslWiiAdRYi5kWeecn9CM2LFIFGfO3Q%3D%3D,21,5,7,0,2,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
21, Capacete Aberto New Liberty 3 Moto Motociclista Promoção ,60,NA,656,121,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1216,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127,875,232,76,13,20,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto,Simple,Poliestireno,ABS,Adultos,Unissex,NA,Micrométrico,Inmetro,Urbano,NA
22, Capacete New Liberty Three Moto Aberto Pro Tork New Liberty ,89,NA,931,2,12x,8.51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1453,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-1106473935-capacete-new-liberty-three-moto-aberto-pro-tork-new-liberty-_JM?searchVariation=27805145019,1086,250,88,12,17,#1106473935,"Branco,Preto","56,58",Pro Tork,New Liberty,Three,Aberto,Simple,NA,ABS,Adultos,Unissex,1290 g,NA,NA,NA,NA
23, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,132,NA,1163,1268,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2171,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1443,409,183,64,72,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,NA,1200 g,NA,NA,NA,NA
24, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,62,NA,579,97,12x,5.93,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,43,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605,23,10,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,NA,Revestimento em Napa,Adultos,Unissex,NA,NA,NA,NA,NA
25, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,912,16,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1574,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,974,345,149,57,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
