search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Tipos de filtros del parlante
1015, Parlante Portátil Marley Bluetooth ,159,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ROJASTONDERJOHANANDERSON,https://articulo.mercadolibre.com.pe/MPE-432920997-parlante-portatil-marley-bluetooth-_JM#position=47&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#432920997,NA,NA,NA,NA,NA,NA,NA,NA
1016, Parlante Micronics Sonero 60 Watts / Fm+usb+sd+bt & Control ,124,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INFORMATICA+SAMANEZ,https://articulo.mercadolibre.com.pe/MPE-433067205-parlante-micronics-sonero-60-watts-fmusbsdbt-control-_JM#position=48&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#433067205,NA,NA,NA,NA,NA,NA,NA,NA
1017, Parlante Sony Bluetooth Inalámbrico Portátil Srs-xb12 ,139,NA,NA,(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-436784437-parlante-sony-bluetooth-inalambrico-portatil-srs-xb12-_JM#position=49&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#436784437,Sony,NA,NA,NA,NA,243 g,USB,NA
1018, Parlante Sony Bluetooth Inalámbrico Portátil Srs-xb12 ,139,NA,NA,(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-436784441-parlante-sony-bluetooth-inalambrico-portatil-srs-xb12-_JM#position=50&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#436784441,Sony,NA,NA,NA,NA,243 g,USB,NA
1019, Parlante Sony Bluetooth Inalámbrico Portátil Srs-xb12 ,139,NA,NA,"
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-436827883-parlante-sony-bluetooth-inalambrico-portatil-srs-xb12-_JM#position=51&type=item&tracking_id=27ea7d47-26e7-480d-82a0-7d773060ff2f,NA,NA,NA,NA,NA,#436827883,Sony,NA,NA,NA,NA,243 g,USB,NA
1020, Parlante Subwoofer Digital Bluetooth Sting Chico Ha-354bt ,195,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PCGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-433163726-parlante-subwoofer-digital-bluetooth-sting-chico-ha-354bt-_JM#position=1&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#433163726,Halion,NA,NA,Negro,Subwoofer,NA,NA,NA
1021, Parlante Bluetooth House Of Marley No Bounds Em-ja015-bl Azu ,279,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-435418919-parlante-bluetooth-house-of-marley-no-bounds-em-ja015-bl-azu-_JM#position=2&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#435418919,House of Marley,NA,NA,NA,NA,NA,NA,NA
1022, Parlante (equis Ha-q61) 6.5 C/bateria 1micro Led Negro/r 40w ,150,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436243474-parlante-equis-ha-q61-65-cbateria-1micro-led-negror-40w-_JM#position=3&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#436243474,NA,NA,40 W,NA,Subwoofer,NA,USB,NA
1023, Parlante Audiolab Bazooka 8 Negro Bluetooth Usb Sd Fm ,231,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INHOUSESHOP+PERU,https://articulo.mercadolibre.com.pe/MPE-436988356-parlante-audiolab-bazooka-8-negro-bluetooth-usb-sd-fm-_JM#position=4&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#436988356,Audiolab,NA,NA,NA,NA,NA,NA,NA
1024, Parlante Portátil 15 Con Microfono Maxtron Merkury Lucesled ,470,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INHOUSESHOP+PERU,https://articulo.mercadolibre.com.pe/MPE-437171552-parlante-portatil-15-con-microfono-maxtron-merkury-lucesled-_JM#position=5&type=item&tracking_id=85005db1-fdd3-4c4f-9ef4-cf317a6439f3,NA,NA,NA,NA,NA,#437171552,NA,NA,NA,NA,NA,NA,NA,NA
