search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
125, Parlante Bluetooth Luces Portátil Jbl Pulse 3 Calidad Febo ,450,NA,6,194,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-446348726-miniparlante-cilindrico-con-bluetooth-varios-colores-_JM#position=19&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#446348726,NA,NA,NA,NA,278 g,NA,Auxiliar
126, Lampara Led Rgb Control Desde Celular Parlante Bluetooth ,490,NA,39,60,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/TUSHOPUY,https://articulo.mercadolibre.com.uy/MLU-455483673-microfono-karaoke-bluetooth-parlante-nina-musica-rosa-_JM#position=20&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,2,0,1,0,0,#455483673,NA,NA,NA,NA,NA,NA,NA
127, Parlante Bluetooth Aiwa Aws21w Blanco Tsuy ,10990,NA,3,99996,18 cuotas,610.56,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452400389-parlante-bluetooth-luces-portatil-jbl-pulse-3-calidad-febo-_JM#position=21&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,1,0,0,0,0,#452400389,NA,JBL,Pulse 3,NA,NA,NA,NA
128, Parlante Portatil Jbl Go 2 Bluetooth Colores Futuro21 ,340,NA,4,96,18 cuotas,18.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MILOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-462852846-lampara-led-rgb-control-desde-celular-parlante-bluetooth-_JM#position=22&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#462852846,NA,NA,NA,NA,NA,NA,NA
129, Parlante Activo Xion Torre Profesional Bluetooth Dj Dimm ,33,42,3,96,18 cuotas,67.87,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TS.UY,https://articulo.mercadolibre.com.uy/MLU-462659165-parlante-bluetooth-aiwa-aws21w-blanco-tsuy-_JM#position=23&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#462659165,21 W,Aiwa,NA,NA,NA,Roja,USB
130, Home Parlantes Subwoofer Bluetooth Fm Usb Sd Tv Klip Xtreme ,1299,NA,5,9,18 cuotas,72.17,NA,Envío gratis a todo el país,NA,NA,4.8,230,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-451704293-parlante-portatil-jbl-go-2-bluetooth-colores-futuro21-_JM#position=24&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,193,32,2,2,0,#451704293,3 W,Logitech,GO 2,Activo,NA,NA,NA
131, Parlante Portátil Inalámbrico Luz Bluetooth Radio Leds Usb ,429,NA,3,10,18 cuotas,882.31,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-458752620-parlante-activo-xion-torre-profesional-bluetooth-dj-dimm-_JM#position=25&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#458752620,NA,rojen,NA,NA,NA,NA,Entrada para Micrófono
132, Parlante Bluetooth Tipo Jbl Boombox Super Oferta! Garageimpo ,3589,NA,202,99831,18 cuotas,199.39,NA,Envío a todo el país,NA,NA,4.6,24,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-444401348-home-parlantes-subwoofer-bluetooth-fm-usb-sd-tv-klip-xtreme-_JM#position=26&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,17,5,2,0,0,#444401348,NA,NA,NA,NA,NA,NA,NA
133, Parlante Activo Xion Xt100 Torre Profesional Bluetooth Dimm ,840,NA,49,51,18 cuotas,46.67,NA,Envío a todo el país,NA,NA,4.6,9,http://perfil.mercadolibre.com.uy/ML+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-449995547-parlante-portatil-inalambrico-luz-bluetooth-radio-leds-usb-_JM#position=27&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,6,2,1,0,0,#449995547,7 W,Genérico,Genérico,N/A,NA,NA,NA
134, Parlante Bluetooth C/manos Libres Microsd Pendrive Rugby ® ,995,NA,4,50,18 cuotas,55.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GARAGE+IMPO,https://articulo.mercadolibre.com.uy/MLU-465649836-parlante-bluetooth-tipo-jbl-boombox-super-oferta-garageimpo-_JM#position=28&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#465649836,NA,NA,Boombox,Activo,1.7 kg,NA,NA
135, Parlantes Bose Soundtouch 10 Wifi Bluetooth 12 S/r Amv ,429,NA,1,4,18 cuotas,882.31,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-452998723-parlante-activo-xion-xt100-torre-profesional-bluetooth-dimm-_JM#position=29&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#452998723,NA,NA,NA,NA,NA,NA,Entrada para Micrófono
136, Parlante Bluetooth 2800w Pmpo Xion Fm Usb Sd Aux In Fm Nnet ,290,NA,53,5000,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,4,3,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-448131858-parlante-bluetooth-cmanos-libres-microsd-pendrive-rugby--_JM#position=30&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,1,1,1,0,0,#448131858,NA,NA,NA,NA,NA,NA,NA
137, Parlante Inalámbrico Bluetooth A Batería 40w Kolke Bomb Loi ,449,NA,4,10,18 cuotas,923.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-446542852-parlantes-bose-soundtouch-10-wifi-bluetooth-12-sr-amv-_JM#position=31&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#446542852,NA,Bose,10,Activo,NA,NA,NA
138, Parlante Bluetooth Jbl Flip 4 Portátil Sumergible / 12hs P M ,2762,NA,6,999,18 cuotas,153.48,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-450383871-parlante-bluetooth-2800w-pmpo-xion-fm-usb-sd-aux-in-fm-nnet-_JM#position=32&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#450383871,NA,Xion,NA,NA,30 kg,NA,NA
139, Mini Parlante Portable Bluetooth Inalambrico Sd Fm Usb ® Ty ,39,59,3,999,18 cuotas,80.21,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464141169-parlante-inalambrico-bluetooth-a-bateria-40w-kolke-bomb-loi-_JM#position=33&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,1,0,0,0,0,#464141169,NA,Kolke,Bomb,NA,NA,NA,NA
140, Parlante Portable Bluetooth Fm Usb Bateria 159bt Futuro21 ,4699,NA,55,17,18 cuotas,261.06,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-447402732-parlante-bluetooth-jbl-flip-4-portatil-sumergible-12hs-p-m-_JM#position=34&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,186,29,4,1,1,#447402732,NA,JBL,NA,NA,0.51 kg,Miami,NA
141, Parlante 15 Activo Led Bateria Bluetooth + Microfono Dimm ,393,NA,35,146,18 cuotas,808.27,NA,Envío gratis a todo el país,NA,NA,4.8,5,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=2MFIdl0SkL4EUdTw1DeKlIOrvxF55BiO4cI4X%2F0fVoArtcQyNpnqklDDE2vKC9R68z54UZ4HXqEVcowYWD%2F5vF%2BMF%2BHyge4knDeYUOFRCoFrJojtGE%2Fq3rdPUNlfvFyZtmmWVrumpsS8BtGkf6yQlDF6L4v16%2F7sW%2F4T4VUscpbR6TzttTq2eU1h7jAjubKGCQ8uONn9vU85T3wWl9GEctK01NetGRlaL4XQpyUNeYYLtQ1ZM%2FVZPOONhUvdanlMcLEmn3jbYsc81m2G8jqrqS1DfLQDsttNL5PoTNTxloboVEAErmcGNDa3HEHksTyNGKjTPT%2BI8%2BPnzH4pAgc8sE%2BLLwR9pVYKNo%2BKxrn%2FTHXL6MeKa6v0YryWc349J4QhvNnvgZ0NMZYt5wG5oD6C0%2BfnlCOn3PzPyJXTGGzFH3ZQyDihTdoazkLYRvVHyKNBNjKiylVP6RXNnYqUj67jBLq1iG8eELIs1h2PJhI2P0qJxldkQB8jwKbb6US0dWPTvh%2BYOqelsywqSITamvgOdGAHGCBzY7TSCmfQkqI0zN6xQs3nu9HynB%2Bhx%2BnMPy%2FVqch32oFlyaG2hpRFZj%2F8TnLLoBHI8qtfGzlp2yATk4YC5QRvFzEnDVKJSJL%2Bk5GomSt7jiEW87ZCqmKqOtaWbaFeiEskrw6ntCqRkDCNLklz1%2BluAwnnAQMJThSKjhlwnPTQKshn0oCR1Qu1fI4QUdD%2B87bV61EH0tbrGh8rrGXOVZU6C97V91JIO9Qv2lnM9DI%2F0c9dryq0AifYMCFWsdawjLCsFViVi6wl4i6bSjDG3bk0T5G1KEsTsZDQGt8b2A4hn2KbKQxkv2TLNhPjIV3OIyWD0Bd%2FvT2A%2BfrTJrAwjN3SmVcCtzRTrs%2F%2BsUFCPrj1AOF3NvSZyZdkvrEkY8UeyCtzCdnxVfKv%2FTF9Y%2BHFoebHMG18VnK8j%2BFsdJrIr1f361uhpQLABuX5nIfKD7l2sNszmKJWqO7l3twYP2nyd%2B13TuyJQ5bu3zWrLfwK522%2B4C5imDbR%2BNPUFgAEnjrKYAhOYqAauoSoscvdI3Yf6ETU%2BGF133GyLZ7Mev5LQ%2BJze3SCgVpor%2FCVu708pV0ZqTSVuvP78NIy0DN%2FtLnFkJkYDCACjq1j4kooTYiEHWVV80XobixrF0E8A4DOFGD3qDtxLeAjG3rmPXPa8FJmZn8ZFLq5uvHFFV3kcP8GqF7J1W0dK9bqS%2FB%2BHsBNM646AQj1%2BaevGx6XSBQv4W7NDk%2Bl%2BRn70v3jmHet3ciDsRI7%2FIQ5U%2BOU9HXgB1afVQDfyASa90X9LefkMFVhrQdwTR%2Bhzz2n0z7%2ByfkxgZGbdZXZNWPDLIsU4WmTqxEZkysC5g5G47CHMKoAnUZOoXALALikGaczNOeKs7zNf7L36e8Hj%2Bd2dTBNJgffTntoYtoLFJj6gmWBCqCSmDEyteHcceJslr4VXf9rg%2FDu76jvVteveaOW10c8O5FMPFZauMM1Cq10G7tIcGu6nKl9AuBR47YwK6AOJ9LY51IV1yklgNAeSUqsCCNL5BHjoJGpX1LSSRVHV3Z06nJrCHyK6zNkbzLmP5b4%2F9%2BSmUlssFyiwYE3ym4azm9V58PoyJEMcUGnZuvsVDqUA8drm4LN9UScwRBX2irv61txt3srWSFD%2FWIONsApm51SI0111YOWcCjNbF9QT19D7E1FBFjH82Gcqc6YUtSVfpnJ66G1gHQ99AFPWP1%2FxpiSjnjp4UEXQYJROwJ3Q83iDx2x%2BSJHCAVcy98tHIFG%2BPCrxjYPzXlbXakpqbJnXE1JafeiU%2BZDtKwETBghkf0aoQ%3D%3D,4,1,0,0,0,#445297707,NA,Thonet & Vander,Grund,NA,NA,NA,NA
142, Parlante Portatil Bluetooth Aiwa Microfono Fm Usb Diginet ,350,NA,10,49990,18 cuotas,19.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-458108206-mini-parlante-portable-bluetooth-inalambrico-sd-fm-usb-ty-_JM#position=36&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#458108206,NA,NA,NA,NA,165 g,NA,NA
143, Parlantes Bluetooth 2.0 Thonet & Vander Vertrag Bluetooth ,899,NA,60,17,18 cuotas,49.94,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448624457-parlante-portable-bluetooth-fm-usb-bateria-159bt-futuro21-_JM#position=37&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,2,0,0,0,0,#448624457,NA,MS-159BT,MS-159BT,NA,1.216 kg,Negro,NA
144, Parlante Bluetooth Manos Libres Lector Micro-sd Y Usb Fm ® ,109,NA,318,46,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463611013-parlante-15-activo-led-bateria-bluetooth-microfono-dimm-_JM#position=38&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#463611013,NA,NA,NA,NA,NA,NA,NA
145, Parlante Activo 12 X 2 Punktal Ch4500 Ma ,220,NA,4,9996,18 cuotas,452.47,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-458201325-parlante-portatil-bluetooth-aiwa-microfono-fm-usb-diginet-_JM#position=39&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#458201325,NA,Aiwa,NA,NA,NA,Negro,NA
146, Parlante Activo Xion Xi-xt92 ,199,NA,28,43,18 cuotas,409.28,NA,Envío gratis a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444255526-parlantes-bluetooth-20-thonet-vander-vertrag-bluetooth-_JM#position=40&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,5,0,0,0,0,#444255526,NA,Thonet & Vander,Vertrag Bluetooth,NA,NA,NA,NA
147, Home Audio Barra Sonido Subwoofer Bluetooth Fm Klip Xtreme ,450,NA,10,5000,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-445244950-parlante-bluetooth-manos-libres-lector-micro-sd-y-usb-fm--_JM#position=41&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#445244950,NA,NA,NA,NA,NA,NA,Auxiliar
148, Parlante Portátil Sony Srs-xb10 Bluetooth Azul Zonatecno ,320,NA,1,99998,18 cuotas,658.13,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRESERVI+MACRO,https://articulo.mercadolibre.com.uy/MLU-456153707-parlante-activo-12-x-2-punktal-ch4500-ma-_JM#position=42&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#456153707,NA,Punktal,NA,NA,NA,NA,NA
149, Parlante Barra De Sonido Bluetooth Tv Jbl Bar Calidad Smart® ,359,NA,1,NA,18 cuotas,738.34,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ZONA_OFERTA,https://articulo.mercadolibre.com.uy/MLU-459936247-parlante-activo-xion-xi-xt92-_JM#position=43&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#459936247,NA,Xion,NA,NA,NA,NA,Auxiliar
150," Parlante Kolke Kpb231 Sonic 8 3500watts Led Bt , -insumax ",3900,4889,4,99987,18 cuotas,216.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459248691-home-audio-barra-sonido-subwoofer-bluetooth-fm-klip-xtreme-_JM#position=44&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#459248691,NA,NA,NA,NA,NA,NA,NA
151, Parlante Portátil Bluetooth Kolke Kpp-063 Blanco ,65,NA,2,2,18 cuotas,133.68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ZONATECNO?brandId=628,https://articulo.mercadolibre.com.uy/MLU-452512452-parlante-portatil-sony-srs-xb10-bluetooth-azul-zonatecno-_JM#position=45&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#452512452,NA,Sony,SRS-XB10,Activo,NA,NA,NA
152, Parlante Jbl Flip 4 Bluetooth Original - Otec ,7990,NA,1,9999,18 cuotas,443.89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-459211578-parlante-barra-de-sonido-bluetooth-tv-jbl-bar-calidad-smart-_JM#position=46&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#459211578,NA,JBL,NA,NA,1.4 kg,NA,NA
153, Parlante Portátil Bluetooth Batería Luces Mp3 Fm En Clicshop ,1750,NA,7,9992,18 cuotas,97.22,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/INSUMAXX,https://articulo.mercadolibre.com.uy/MLU-459231930-parlante-kolke-kpb231-sonic-8-3500watts-led-bt-insumax-_JM#position=47&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,1,0,0,0,0,#459231930,NA,Kolke,NA,NA,NA,NA,NA
154, Parlantes Portatiles Bluetooth Edifier If-330 12w Rms ,12,NA,9,5,18 cuotas,24.91,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DISTRICOMP+S.A.?brandId=11,https://articulo.mercadolibre.com.uy/MLU-451292966-parlante-portatil-bluetooth-kolke-kpp-063-blanco-_JM#position=48&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#451292966,NA,Kolke,NA,NA,NA,NA,NA
155, Parlante Portatil Ledstar 668 Bluetooth Fm Colores Futuro21 ,4199,NA,1,4,18 cuotas,233.28,NA,Entrega a acordar con el vendedor,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-464402553-parlante-jbl-flip-4-bluetooth-original-otec-_JM#position=49&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,186,29,4,1,1,#464402553,16 W,JBL,Flip 4,Activo,515 g,NA,NA
156, Parlante Inalámbrico Bluetooth Aiwa Negro Con Fm Tsuy ,890,NA,4,46,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-458733267-parlante-portatil-bluetooth-bateria-luces-mp3-fm-en-clicshop-_JM#position=50&type=item&tracking_id=64288c5a-0c40-482c-805f-6f885f5bb7d4,NA,NA,NA,NA,NA,#458733267,NA,NA,NA,NA,NA,NA,NA
157, Parlante Jbl Charge 4 Inalambrico Bluetooth Gris Nnet ,207,NA,1,999,18 cuotas,425.73,NA,Envío a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-463247986-parlante-jbl-charge-4-inalambrico-bluetooth-gris-nnet-_JM#position=1&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,38,7,0,0,1,#463247986,30 W,JBL,Charge 4,Activo,NA,NA,NA
158, Parlante Bluetooth Energy Sistem Tower 8 G2 + Envios Gratis ,234,NA,1,9999,18 cuotas,481.26,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-458753858-parlante-bluetooth-energy-sistem-tower-8-g2-envios-gratis-_JM#position=2&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#458753858,NA,Energy Sistem,NA,NA,NA,NA,NA
159, Parlante Portátil Bluetooth Con Luces Led ,550,NA,24,53,18 cuotas,30.56,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532902-parlante-portatil-bluetooth-con-luces-led-_JM#position=3&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#455532902,NA,NA,NA,NA,NA,Disco,NA
160, Parlante Bluetooth Portátil Jbl Go 2 Original Easybuy ,1999,NA,25,1,18 cuotas,111.06,NA,Envío a todo el país,NA,NA,4.8,230,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,https://articulo.mercadolibre.com.uy/MLU-453692877-parlante-bluetooth-portatil-jbl-go-2-original-easybuy-_JM#position=4&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,193,32,2,2,0,#453692877,3 W,JBL,GO 2,Activo,130 g,NA,NA
161," Parlante Portatil , Fm, Bluetooth, Sd, Usb, Super Oferta ",649,NA,3,10,18 cuotas,36.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CAFINI+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-457468096-parlante-portatil-fm-bluetooth-sd-usb-super-oferta-_JM#position=5&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#457468096,NA,NA,NA,NA,NA,Negro,NA
162, Parlantes Equipo Audio Sony V21d Bluetooth Pcm ,399,NA,69,999,18 cuotas,820.61,NA,Envío a todo el país,NA,NA,4.8,21,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://articulo.mercadolibre.com.uy/MLU-449857452-parlantes-equipo-audio-sony-v21d-bluetooth-pcm-_JM#position=6&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,16,5,0,0,0,#449857452,NA,Sony,V21D,NA,NA,NA,NA
163, Parlante Portátil Bose Soundlink Colour Ii Bt Aux 12 S/r Amv ,209,235,16,9,18 cuotas,429.84,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-445660782-parlante-portatil-bose-soundlink-colour-ii-bt-aux-12-sr-amv-_JM#position=7&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,1,1,0,0,0,#445660782,NA,Bose,NA,NA,1.2 lb,Agua,NA
164, Parlante Edifier S350db 2.1 Bluethoot Madera 150w Aux Optico ,334,NA,1,9,18 cuotas,686.93,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFINITTECHNOLOGY,https://articulo.mercadolibre.com.uy/MLU-450901734-parlante-edifier-s350db-21-bluethoot-madera-150w-aux-optico-_JM#position=8&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#450901734,NA,Edifier,NA,NA,NA,NA,NA
165, Parlante Portátil Bluetooth Tela ,450,NA,19,40,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532952-parlante-portatil-bluetooth-tela-_JM#position=9&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,1,1,0,0,0,#455532952,NA,NA,NA,NA,NA,NA,NA
166, Parlante Bluetooth Jbl Playlist Chromecast Built-in Febo ,8990,NA,2,99997,18 cuotas,499.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-454775069-parlante-bluetooth-jbl-playlist-chromecast-built-in-febo-_JM#position=10&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#454775069,30 W,JBL,Playlist,Activo,120 g,NA,NA
167, Parlante Bluetooth Para Usar En Ducha Baño Musica Auto Mf ,289,NA,22,7,18 cuotas,16.06,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MFSHOPUY,https://articulo.mercadolibre.com.uy/MLU-456512080-parlante-bluetooth-para-usar-en-ducha-bano-musica-auto-mf-_JM#position=11&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#456512080,NA,NA,NA,NA,NA,NA,NA
168, Parlante Home Theater Torre Bluetooth Tv Led Xion Futuro21 ,2290,NA,2,27,18 cuotas,127.22,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463447297-parlante-home-theater-torre-bluetooth-tv-led-xion-futuro21-_JM#position=12&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,NA,NA,NA,NA,NA,#463447297,NA,Xion,NA,NA,NA,NA,NA
169, Parlante Jbl Bluetooth Portatil Charge 4 + Envios Gratis ,203,NA,1,9999,18 cuotas,417.50,NA,Envío gratis a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-460449596-parlante-jbl-bluetooth-portatil-charge-4-envios-gratis-_JM#position=13&type=item&tracking_id=57cb14a4-de0c-4dc8-988d-b52b930f92bd,38,7,0,0,1,#460449596,30 W,JBL,Charge 4,Activo,NA,NA,NA
