search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Color,Formato,Línea
21, Manos Libres Bluetooth Mini Auricular ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				341
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,4.0,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM#position=21&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,2,0,2,0,0,#465965042,NA,NA,NA,NA,NA
22, Xiaomi Redmi Airdots Audífonos Tws Bluetooth V5.0 | Kyrios ,29.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				67
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,4.9,16,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-492612775-xiaomi-redmi-airdots-audifonos-tws-bluetooth-v50-kyrios-_JM#position=22&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,14,0,1,0,0,#492612775,Xiaomi,AirDots,NA,In-ear,Redmi
23, Audífonos Bluetooth Stereo Mp3- Aux ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				297
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,29,https://perfil.mercadolibre.cl/MARE8077404,https://articulo.mercadolibre.cl/MLC-448133358-audifonos-bluetooth-stereo-mp3-aux-_JM#position=23&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,16,9,1,2,1,#448133358,NA,NA,NA,NA,NA
24, Audifonos Bluetooth Estéreo Deportivos Hifi ,2.999,5.999,"
			
				Nuevo
			
			
				
					 - 
				
				218
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 250
			
		
		 sin interés
		
	

	
		","
				$ 250
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-462977061-audifonos-bluetooth-estereo-deportivos-hifi-_JM#position=24&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,NA,NA,NA,NA,NA,#462977061,NA,NA,NA,NA,NA
25, Audifono Extra Bass Sony Oem Bluetooth Fm Manos Libres ,19.990,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				292
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,3.9,28,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-453174599-audifono-extra-bass-sony-oem-bluetooth-fm-manos-libres-_JM#position=25&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,12,7,5,1,3,#453174599,Sony,NA,NA,NA,EXTRA BASS
26, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.990,39.990,"
			
			
				
				216
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,69,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM#position=26&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,57,8,3,1,0,#451201533,Huawei,AM61,NA,NA,NA
27, Jbl T450bt Audífono Manos Libres Bluetooth Negro ,29.990,39.990,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/MALLCONNECTION.CL,https://articulo.mercadolibre.cl/MLC-497756557-jbl-t450bt-audifono-manos-libres-bluetooth-negro-_JM#position=27&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,NA,NA,NA,NA,NA,#497756557,JBL,T450BT,NA,Over-ear,NA
28, Apple Audífono AirPods (2da Gen) ,144.990,179.990,"
			
			
				
				93
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 24.165
			
		
		 sin interés
		
	

	
		","
				$ 24.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,33,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-488712872-apple-audifono-airpods-2da-gen-_JM#position=28&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,33,0,0,0,0,#488712872,Apple,Airpods con estuche de carga (2da Gen),NA,In-ear,NA
29, Audífonos Bluetooth Soundcore Vortex ,58.990,79.990,"
			
			
				
				200
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.832
			
		
		 sin interés
		
	

	
		","
				$ 9.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,21,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-463308442-audifonos-bluetooth-soundcore-vortex-_JM#position=29&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,18,2,1,0,0,#463308442,NA,NA,NA,NA,NA
30, Audifono Bluetooth Universal Inalambrico Para Deportes ,3.990,7.990,"
			
				Nuevo
			
			
				
					 - 
				
				681
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,2.4,12,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-436105516-audifono-bluetooth-universal-inalambrico-para-deportes-_JM#position=30&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,1,1,3,4,3,#436105516,NA,NA,NA,NA,NA
