search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
800, Auriculares Inalambricos Aiwa Aw3 Plus Bluetooth 4.1 ,1315,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7306
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/UNIVERSO+BINARIO,https://articulo.mercadolibre.com.uy/MLU-449348077-auriculares-inalambricos-aiwa-aw3-plus-bluetooth-41-_JM#position=5&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#449348077,NA,Con Vincha,NA,Negro
801, Sena (smh5-univ) Auricular Bluetooth E Intercomunicador P ,175,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36031
		
		 sin interés
		
	

	
		",31,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-460740970-sena-smh5-univ-auricular-bluetooth-e-intercomunicador-p-_JM#position=6&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#460740970,NA,NA,Sena,NA
802, Auricular Deportivo Jbl Endurance Sprint Bluetooth ,73,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15030
		
		 sin interés
		
	

	
		",30,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/WEBCYTI,https://articulo.mercadolibre.com.uy/MLU-462485328-auricular-deportivo-jbl-endurance-sprint-bluetooth-_JM#position=7&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,3,1,0,0,0,#462485328,SPRINT,NA,JBL,NA
803, Mpow Jaws Gen-4 Auriculares Bluetooth Wireless Neckband H ,73,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15030
		
		 sin interés
		
	

	
		",30,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-461656129-mpow-jaws-gen-4-auriculares-bluetooth-wireless-neckband-h-_JM#position=8&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#461656129,NA,NA,Mpow,NA
804, Auriculares Inalámbricos Plegables Bluetooth/sd/jack 3.5mm ,23,25,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 4735
		
		 sin interés
		
	

	
		",35,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTAS+ELECTRONICAVISION,https://articulo.mercadolibre.com.uy/MLU-449241451-auriculares-inalambricos-plegables-bluetoothsdjack-35mm-_JM#position=9&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#449241451,NA,Con Vincha,NA,NA
805, Auricular/vincha Bluetooth Plantronics P/celu O Inalámbrico ,152,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 31295
		
		 sin interés
		
	

	
		",95,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/-ELECTROCOM-,https://articulo.mercadolibre.com.uy/MLU-444666782-auricularvincha-bluetooth-plantronics-pcelu-o-inalambrico-_JM#position=10&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#444666782,NA,NA,Plantronics,NA
806, Auriculares Bluetooth Manos Libres ,590,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3278
		
		 sin interés
		
	

	
		",78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GERMANMOLINA31,https://articulo.mercadolibre.com.uy/MLU-444754662-auriculares-bluetooth-manos-libres-_JM#position=11&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#444754662,NA,NA,NA,NA
807, Auriculares Billboard Bb897 Bluetooth 6 Hs Almohadilla Nnet ,963,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5354
		
		 sin interés
		
	

	
		",54,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-453517142-auriculares-billboard-bb897-bluetooth-6-hs-almohadilla-nnet-_JM#position=12&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#453517142,NA,Sin Vincha,NA,NA
808," Auricular Bluetooth, Aumo Wireless Business Auricular Blu ",87,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17912
		
		 sin interés
		
	

	
		",12,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,https://articulo.mercadolibre.com.uy/MLU-464920800-auricular-bluetooth-aumo-wireless-business-auricular-blu-_JM#position=13&type=item&tracking_id=1748c877-fdca-41b5-b21c-2521afd09168,NA,NA,NA,NA,NA,#464920800,NA,NA,NA,NA
809, Fifo - Myme Auriculares Bluetooth H11 ,29,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5971
		
		 sin interés
		
	

	
		",71,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALIRICOURDANETA,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=jsnP63P%2BVHYd3pPo0Aeaw56RaE9b%2FdlCgCQ%2BfyFfXyWDIGiEq6EujcRbgu5dnPl8auGx0Cjg6l5RuZN5CFzk5PkX%2FGsRIpkTD0W7xbJIbn2b2rIvYfhfTL4wdSXgf8TLVdILYFVST0QOfhyWr74K9GALc%2BdhWiDW4Ys4ELx3uDY3Z%2F0eI7Rnxf3XoD%2FFzHxcRsYEUacptqt%2FDKwti1zrwxi%2F8Fc3azhZJgQhxoSn7uEluuSu%2Bpp52FB6lG2oKtK8gQ5Phn229s2siuAabsLY3rHwei57iT26ftNOsow2UxXkr3L%2F22mqorS%2BL7BBhu2Kll9Fs%2F1wGcruPdEDY4zTWnxUocgNDTgAzK28Qm6w9LG%2BhFoRLRc9kykjPxnzHhVV2cWCpoa0B4vIjTEEEd6yKOVeJ12maYYjmmpM2Du%2FKg12Wy6ZWIHyHU8dw6HD8l5N3SpcFa4V0aMYrH03FuI9%2B7ricv2s5e%2Bac1IlyIhdPY9Hu4hg8TNn1ktaaL0wgFb3jOe2%2BeCku9hluYhg0tvEZaR4SCIuIDDoFQ7Mpq3VuQTmHDLb4VCtZ52r106qYZhiTvki0nxB8HUMRa8F7yOQ%2Fv182TtEBDH%2BcjzKQKbNyE%2B6%2B4U9VLjxHS7YsgBfAn6Ttfrau8%2Fz3zjxRYyFn6K4%2BrzoLJc3HIl7jQ9LKNZcT04T1aOAgL3Pwn9QcYA62XnggFllviLcmZ0ExBWOc63XVz6ZvOjkT27oUjQIYKcxZDpAppXCTvr6WjPp1II7Hs6rrbA8WRj%2FmDSu1VsnEP2Da4RFcEYN04slGOoEyJEmoZx%2B8r7v8Ko7z2PbjVWdm7K8PvLaetxVGWZTe667LpubTYlypQvLM65WwPUcpSY5UBhvo5g5ruBU3U%2BtLErAwohbwVnGSBjgb4j0TzSKCaeJf3%2Br4VaMXRnw2ETZLwG%2B%2BXruajvTzmstzbdr5Moovx0YpwPOGVUBnUcZeljFU0b3FKoekUdtBSFaTNUqSsUHkY6scd1DtHu%2BmOIGZ2qzpEsWioREw27IWVhynXo8YN%2B6KqDOM8DXYI2F%2BqugAjMNFIkIBtVCHEMwP%2BOSHY5j6YhfDxbNbl8hl5%2FDjWudNRTRAAvwNmO3WPsqvss7HxIYqIvlpkJQ89pRJRi6vY%2BeXSgv4Z6YqMWhMqQnArXpsxeMcgM%2BnKn1NBsElw1wxpgTCMTurLOxa02gMGvpP2R4KsOpswu0Ii0a3w4bRBqOer8c3gTR5%2Bpeh4FISAGhXHn0ZQMkBXKxx8BbKWujflU9rs1OXUFPzkPeb1QVPgHPJITjBL2PSrEbvYUL8YHqflOjexrbUCd843ixZQkLhKkzBJR5VUS23jmW%2B8m9nJfbB0dneAT58uLKZ80XHgBmNRsrg9jMQ%2BHzwOq07nmuL0hxS28e7yWsgkH7tN2HwYnTnpW74wnzmRqpzcyngSlkRM%2BgGXZjFHPFj1bh4nP85VvzM7%2Fw%2FEgGWISrp%2Fp0QPR%2BbIjzZSoD98bcCYvmVxFTIWVhykjoHmFJtGZ4SbwH%2FAo1U88AkjDPEKBFoW6XUR%2F2VCvATXsnqoDGMfA34x3fADy%2FPGBZMhP6g39X%2BXliFo2HoLFKcPCVzQf4OH1oILX97ZdqgYHvFiNC%2BZVKx8cAeQTDIT4Y5f3p817bbsG2wUyLSyA5fB0ayJFrXZMHSCmneSHhMSqCClI8jHRNmipeMR3ogh1AfSva%2FP0sL17V8l3I8Pcbh76IEgSGGtttEYP%2Fq8uhvUncYUeUC0alqDTEMJYjTAnBVZVMykjIam9nUgsvnE8UHeKh2hBOKluI,NA,NA,NA,NA,NA,#455946343,NA,NA,NA,NA
