search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
885, Audífonos Bluetooth Manos Libres I10 Xs Tws Pop Up AirPods ,319,NA,8,44,18 meses,17.72,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/SHADIAO,https://articulo.mercadolibre.com.mx/MLM-704649203-audifonos-bluetooth-manos-libres-i10-xs-tws-pop-up-airpods-_JM#position=40&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,NA,NA,NA,NA,NA,#704649203,Universal,TWS,i10 XS,NA,In-ear
886, Audífonos Bluetooth Manos Libres Hd Deportivos Hbs-730 ,159,NA,19,86,18 meses,8.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/ERICK+PADRON,https://articulo.mercadolibre.com.mx/MLM-635622287-audifonos-bluetooth-manos-libres-hd-deportivos-hbs-730-_JM#position=41&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,NA,NA,NA,NA,NA,#635622287,Samsung,NA,KBP-730,NA,In-ear
887, Audifono Mini Bluetooth Manos Libres Chicharo Musica ,59,NA,15,3,12 meses,5.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/JM+IMPORTACIONES,https://articulo.mercadolibre.com.mx/MLM-694860064-audifono-mini-bluetooth-manos-libres-chicharo-musica-_JM#position=42&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,NA,NA,NA,NA,NA,#694860064,Universal,Audifono bluetooth,S530,530,In-ear
888, Auriculares I7 Mini Tws I7s Modernización Bluetooth Sin Hil ,207,NA,39,183,18 meses,11.54,NA,NA,NA,NA,5,1,https://perfil.mercadolibre.com.mx/VICAMSTOREMX,https://articulo.mercadolibre.com.mx/MLM-667284303-auriculares-i7-mini-tws-i7s-modernizacion-bluetooth-sin-hil-_JM#position=43&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,1,0,0,0,0,#667284303,Brand New,NA,NA,NA,In-ear
889, Audifonos Tipo AirPods ,249,NA,13,5,12 meses,24.60,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,284,https://perfil.mercadolibre.com.mx/ACCESORIOSYCELULARES+PRAGA,https://articulo.mercadolibre.com.mx/MLM-673201254-audifonos-tipo-airpods-_JM#position=44&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,193,44,16,12,19,#673201254,Apple,Accesorios y celulares PRAGA,Accesorios y celulares PRAGA,MMEF2,Open-Ear
890, Audifonos Manos Libre Bluetooth 5.0 Sin Cables Ipx5 ,649,NA,7,4,18 meses,36.06,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/ERICKOPERATIONS,https://articulo.mercadolibre.com.mx/MLM-675718725-audifonos-manos-libre-bluetooth-50-sin-cables-ipx5-_JM#position=45&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,NA,NA,NA,NA,NA,#675718725,Universal,Tws sin cables,Tws Q32,Q32,In-ear
891, Audifonos Bt/40mm/10-22000 Hz/8 Disps. Semj553br Pioneer ,895,NA,120,24,12 meses,88.42,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,12,https://perfil.mercadolibre.com.mx/AUDIOMUNDODEMEXICO,https://articulo.mercadolibre.com.mx/MLM-589623629-audifonos-bt40mm10-22000-hz8-disps-semj553br-pioneer-_JM#position=46&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,9,2,1,0,0,#589623629,Pioneer,NA,semj553br,NA,Headset
892, Oneder S2 Auricular Inalámbrico Bluetooth Con Altavoz ,649,NA,16,6,12 meses,64.21,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4,1,https://perfil.mercadolibre.com.mx/IPIDELO,https://articulo.mercadolibre.com.mx/MLM-677022739-oneder-s2-auricular-inalambrico-bluetooth-con-altavoz-_JM#position=47&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,0,1,0,0,0,#677022739,ONEDER,INALAMBRICO,S2,NA,INALAMBRICO
893, Mini Auricular Bluetooth Manos Libres Audifono + Envío ,149,NA,562,437,12 meses,14.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.6,28,https://perfil.mercadolibre.com.mx/MERCADER-DIGITAL,https://articulo.mercadolibre.com.mx/MLM-612544318-mini-auricular-bluetooth-manos-libres-audifono-envio-_JM#position=48&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,13,4,4,2,5,#612544318,MD,NA,Un Oído,MMEF2,In-ear
894, Audífonos Inalámbricos A6 Manos Libres Bt 5.0 Contra Agua ,499,NA,16,4,18 meses,27.72,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,1,1,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,https://articulo.mercadolibre.com.mx/MLM-688805956-audifonos-inalambricos-a6-manos-libres-bt-50-contra-agua-_JM#position=49&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,0,0,0,0,1,#688805956,TWS,bt,A6,A6,In-ear
895, Manos Libres Audífono Bluetooth V5.0 Tws Touch Caja Carga ,549,NA,239,7,12 meses,54.24,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,3.5,2,https://perfil.mercadolibre.com.mx/ENJOY2SHOP,https://articulo.mercadolibre.com.mx/MLM-621504180-manos-libres-audifono-bluetooth-v50-tws-touch-caja-carga-_JM#position=50&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,0,1,1,0,0,#621504180,Universal,NA,S530,NA,In-ear
896, Audifonos Bluetooth Sport 2.0 Radio Fm Slot Micro Sd Exp 32g ,138,NA,340,14,18 meses,7.72,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.3,9,https://perfil.mercadolibre.com.mx/FRALUGIO,https://articulo.mercadolibre.com.mx/MLM-549757493-audifonos-bluetooth-sport-20-radio-fm-slot-micro-sd-exp-32g-_JM#position=51&type=item&tracking_id=6228e741-ee93-4790-b5a8-3fa812a223f7,0,5,3,0,1,#549757493,Universal,headphones,Mp3 Sport Fralugio,Sport,Headset
