search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
13," Audífonos Bluetooth I7s Tws, Base De Carga, Tipo AirPods ",44.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				226
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.247
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.5,6,https://perfil.mercadolibre.com.co/CILIANUNLOCK,https://articulo.mercadolibre.com.co/MCO-509867812-audifonos-bluetooth-i7s-tws-base-de-carga-tipo-airpods-_JM,1,2,2,1,0,#509867812,NA,NA,NA,NA
14, Audifonos Bluetooth Deportivos R1 Microfono 5 Horas Obsequio ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1154
				vendidos
			
		",(960 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 692
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,50,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=xuPD4O8em2fqQGsLBxcA9vVEJx48Sv1GWO1rT1rqGSwhdhOa4PjASt%2FHuxpFJ5D81ivvhGCWWOV%2F6QUnQqqLoVkGMUfx60mZUePBXz7ELZy7rIhy8RHABisXRJMMQHsT14jk091IY4diVcbnYE%2FaJNbNAqOkw%2BqpL80AUfr013NnXP6feccsohTHalmyQ8%2BPtIuguBcX3O8yjb9vrtWZe5zRJ%2FvW7sV2dbVNfLwloHiCqXI690qSdTzEN8LIR6SPk5t1I5jAe%2FmTCclb5JeKTHF4%2B7I1MBIvldPlUCPdlvEx9sglQ9MiRBvRgWOFXcIDuxyP8elfC7oKrAPE9XeAI%2BGAMQhpdegwTJuoapmyYVC0qZDDKRigl5W9yPcQ%2FbE3DCYK4nC6JPZ%2B0OtgKFm1pudzxDOp97fnP6oByQg73vlA%2FNFepf8e6ztz13S89Z5ZNsiMJ0od6gZXNAl%2FNl4z8NDvfHQdTK%2BduAOXblDGtzXBeltfH6eyb7tWAXc0BjPcyQjjnoPDGizwdCukhswFa%2F5yyvKTp%2BYlr1gkfXK96XhvAhg2Clu6KPGY%2Brs4f0RdOQRiPTWiZUhq6NytTRwvDaPv63n2xn7TsuOgO16R3h1kJrK%2FYWAJlElMGNB%2BBR4an1N6sAwvxU7ErI3RHmylcOREiu%2BcQsnJfd3qicjibbO3hqKcGONDaLIuVKVQS9M0YzqTDCx0rt45yGzeL0rIHc7kA8p%2FKOY8x9temuOhi%2FBDN7pLEROIHK%2FoSSK7sJCsKmKcFKFL4f90AELzCY81n9aS97iGeBOlL1%2BHXoQHqujVb9ymiunKnr7TpybjinWd9fh7Pk4dQ36wPelDA7TJ53uHbVzBM2uMQWHHY%2FGINycHreDXXDRGjeUoQU3pf5DXxs3k8ecRvg%2B8BRJ6GPVpozG7PcN3ikSjnAj5q5x6MlvYh7bZVGln6A3CDdTtfHGQi%2FPDvESs3CUiX6fIKpmLPggqwn2bOgA02e4d5ncCrYCXw35OmKNNVZhgqIBis6jY2QxtMWCfXsHfYMOOuLHFTFRM05UpC6uh72uMaqdwSa7%2FwEdjEzr3kA3T2M423ln9YjP4fIt1kaD78P9KyLsekSvbDgo47fo0d10%2BHE469Ttap%2FJfPKqoevz0a9AVmFLuCmO1Tkh7RwD8cVeGWvT4BHDnDg0AjWQgNDYvPYuVOvIoaIYB4pOboD6okaZYxJatvPl88h2%2BUoy1NDwlPMcBi3QOvj5VeLw29wn3Urj4B5C4oG%2BV15Z1lQVx8WB9MuiUhwnryzfvuedEg9hJibSDh%2BrVA0dQcv9hdozYBvYjXM0Z9BajXsukG0WgloITpKT56Kvvbk%2FYA2YXHNSwd37e6oplNa8uTcbuCsgs90vy7Pq1neKd7u%2B8j34WKnwYoadcGnBdULw5As7erTjQGLNM964vTZLBuyMWFPtJCFOKpoGAr302woBds7Kijf%2B1g8M%2BOS5%2FIy4pill4L4Gf1KhMlAa9PZdzVl3Jv8GI5X6Fednv7wFLefgS2fV8iZtR5pRJdNhusqqoZRsKXrgZLJbDXHQP7h7C9pxCAlmvjQR12g7qz6FF2xl4y%2B7W2sWr6Q%2FiOaKQSv4%3D,28,11,6,3,2,#488593898,BlueKatoom,R1,In-ear,NA
15," Mini Audífono Inalambrico Bluetooth, Negro + Obsequio ",14.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				666
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.4,7,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-negro-obsequio-_JM,5,1,0,1,0,#495064791,NA,NA,NA,Negro
16, Audifono Auricular Manos Libres De Gotica S530 Bluetooth ,9.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				610
				vendidos
			
		",(142 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 264
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,7,https://perfil.mercadolibre.com.co/EULALIAGIRALDO,https://articulo.mercadolibre.com.co/MCO-514308368-audifono-auricular-manos-libres-de-gotica-s530-bluetooth-_JM,4,3,0,0,0,#514308368,NA,NA,NA,NA
17, Audifonos Dobles Inalámbricos Bluetooth iPhone Tipo AirPods ,59.999,99.999,"
			
				Nuevo
			
			
				
					 - 
				
				596
				vendidos
			
		",(53 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,19,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-470273419-audifonos-dobles-inalambricos-bluetooth-iphone-tipo-airpods-_JM,9,4,2,2,2,#470273419,NA,NA,NA,Negro
18, Audífonos Bluetooth Deportivos U8 Anti Sudor 6meses Garantia ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				990
				vendidos
			
		",(473 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.386
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,48,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=JhfZ60uAkOT6JDh6zA1Enk7H98%2FCGW3agm5rdQZkx7wgA4qFRZmneTjp9%2FuObd9o9ApmHUUCYuISurQQB7VF9WUnDtS60jTegm0Nrz5j3s3VxLjABDci%2B3hsH84sjgjwZC8IwYfrmoMlAzt0bNksOtF0MinFZjhyEUHGi24DeYl79wk%2BQqoo3lQ026vM8V%2BgCrret%2BPbXjLNYtKCEPhUDebcyj0M0zJhJh1RMC3Kql9QdGWEthEhH4VA7itDGyQ%2Fs2xJqeQ1iRi%2Frp3ogSKTGe%2BExHvnxf7344icW2PzhaoVIDPgeljx1AOjZZAccXUjtfdZ5b0zwvge68mbtnWOiXVFHUWtXGGE%2BP2Fgkv%2BfgnkX7G76i0CREtB%2BNTHIN9D6Vfo%2BK0yTFN0N0GPXXmCUUkL0BwcoTagDDdZrROMpK7LnWuCNBZNjOOoPpP90F5aWN%2BSUANDs2DJ%2FgcEo10737k4FpPVA7OE8GqidBVJ6hEo7dQ6NDgKvJY7dY0qBZg1zbGWNpKu1MdgaeHLW%2B%2B0rPyOTf6Fg0iUMrCWLHjfBi2S4tydn6H7ZUMD3IBxe73SHaqIJzjabLAUlEB21gy9UaFLhnkikikDP3T9cuh3jODCNKj7XXy9uO%2FUrjf6e1SDYt9jrSKszQgpRNsMHIy5H%2B8e%2B40IHGeRwTCdhNunOjzKJO91zn75J2T33sljWKmrN%2Fr%2Be9ZosHOAD%2FSLape3vTtuOsMTHbYSnbtp8Y8H4BTzZ%2BIt15Z4pWNCkkTfTlXTDwzBQ3SLTmr53%2BQR4xn0qkM0%2BaHBbNd3c4RrqzcGMzIqaX%2BeiM6vnuI89P8v5bFab7k5ttgP3F6gjQML6PjbNZ1zEeY2Yb9uymjiqGev39CbeVsh7E2mP0u0kDpfJFW%2FXCXxE8UMew0jPi0D5dlPHZTrbgDNBL4QQkfP55IcrjQu7m1BxQ7sMONYRIHj3eiazchkOxRoms5DefZYzPAali%2FbXqDwIgimH8Oo5QdU2Wb9c2s9hQTj6rx0g4HfDRR8pC7bw0H9LnRTa4yVXN87LPDf%2FD4S908kBNZj8SZcT6Y%2BgNSd%2Fzmnoba6jWYqVrUW7OOsx78zTFeWkaWH19JKwG8QjpK75JRrU9w6El474zVR3hqEI2eAyNeDFiuQy8pZ4OWDjH467nm3EhODEQ4rIftN5p3NiEiNp5L6NpWPZTm3k4FVLt%2BvxWwhmsBn7dHrtPKnRvC2kpNe5Ks6kTgu%2FL9W0vnoSG%2BMBQrMSirA4I042RD0jdTXSSdeJ45lBCc9SN32GrsTPcTVriPFSC1KR5j%2FWcn38SXkNJzhMl8xg2dZLWw%2FMC73kuA3CCJjma5gny%2FdoUAd841lJ8HJ54Oe845HFojPCw7GOQynqw%2Bj6dW%2F6SHuYH%2BIUuVuVk8lfNIwp3AjZGk%2FpABNK5%2FksPLpdlrKdB1lMACOjQycJU0yRn9tPDU6PEGEjIGDlrk6tgp%2F77aWktojar3zyGjsCYoMPUb5L7K1vY7DIvy6n09BpU6LM689XYwZIi484K60WiupOErTZ61JFl2Z%2BGiNL0IJnTKcSMolXtQrkwJZ034DigJqsXFpdYeJhD02Bi0FF8mCLOdjW%2FU%3D,30,17,0,0,1,#468795741,BlueKatoom,U8,Clip-ear,NA
19, Auriculares Xiaomi Mi Sports Bluetooth 4.1 Inalambricos ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				233
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,16,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77,https://articulo.mercadolibre.com.co/MCO-497853973-auriculares-xiaomi-mi-sports-bluetooth-41-inalambricos-_JM,10,6,0,0,0,#497853973,NA,NA,NA,NA
20, Audífonos Hbq I7 Bluetooth Inalámbrico Los 2 Auriculares ,39.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				222
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.108
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.9,8,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-494087700-audifonos-hbq-i7-bluetooth-inalambrico-los-2-auriculares-_JM,3,3,0,2,0,#494087700,HBQ,NA,NA,NA
21, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,104.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				161
				vendidos
			
		",(105 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.914
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,18,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM,14,3,1,0,0,#523095422,Xiaomi,AirDots,In-ear,NA
22, Audífonos Inalámbricos Con Bluetooth 4.1 Recargable ,29.900,49.900,"
			
				Nuevo
			
			
				
					 - 
				
				328
				vendidos
			
		",(913 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 831
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.6,12,https://perfil.mercadolibre.com.co/BRANDPORT+SAS,https://articulo.mercadolibre.com.co/MCO-450655619-audifonos-inalambricos-con-bluetooth-41-recargable-_JM,1,6,4,1,0,#450655619,NA,NA,Over-ear,NA
23, Auriculares Bluetooth Bse801-batería De Larga Duración ,29.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				228
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 806
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.8,21,https://perfil.mercadolibre.com.co/IPHONEPLANETCOL,https://articulo.mercadolibre.com.co/MCO-469427161-auriculares-bluetooth-bse801-bateria-de-larga-duracion-_JM,17,3,1,0,0,#469427161,Brightside,NA,NA,NA
24, Audifono Bluetooth Manos Libre S530 Auricular Telefonos ,9.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				243
				vendidos
			
		",(415 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 264
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.8,6,https://perfil.mercadolibre.com.co/GIMO5155648,https://articulo.mercadolibre.com.co/MCO-513681846-audifono-bluetooth-manos-libre-s530-auricular-telefonos-_JM,2,2,1,1,0,#513681846,NA,NA,NA,NA
25, Audífonos Bluetooth 5.0 Táctiles Ipx5 Haylou Gt1 Originales ,120.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(40 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.333
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,5,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://articulo.mercadolibre.com.co/MCO-523334049-audifonos-bluetooth-50-tactiles-ipx5-haylou-gt1-originales-_JM,5,0,0,0,0,#523334049,Haylou,GT-1,In-ear,NA
26, Auriculares Inalambricos I11 Tws Touch Bluetooth 5.0 Estéreo ,70.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				53
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-520551151-auriculares-inalambricos-i11-tws-touch-bluetooth-50-estereo-_JM,NA,NA,NA,NA,NA,#520551151,TWS,I11,NA,NA
27, Audífonos Bluetooth Motorola Pulse Manos Libres Inalambricos ,143.900,215.900,"
			
				Nuevo
			
			
				
					 - 
				
				466
				vendidos
			
		",(101 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.997
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,64,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-455253824-audifonos-bluetooth-motorola-pulse-manos-libres-inalambricos-_JM,54,9,1,0,0,#455253824,Motorola,Pulse,Over-ear,NA
28, Manos Libres Auricular Bluetooth Micrófono De Voz ,69.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				473
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.942
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.4,45,https://perfil.mercadolibre.com.co/GONZALEZ74,https://articulo.mercadolibre.com.co/MCO-457575396-manos-libres-auricular-bluetooth-microfono-de-voz-_JM,30,10,2,1,2,#457575396,NA,NA,NA,NA
29," Diadema Inalambrica Bluetooth Nia X3 Radio En,cable Aux Mp3 ",29.450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				135
				vendidos
			
		",(75 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 818
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,5,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463392219-diadema-inalambrica-bluetooth-nia-x3-radio-encable-aux-mp3-_JM,5,0,0,0,0,#463392219,NA,NA,Over-ear,NA
30, Audifono Bluetooth I7s Tws Tipo AirPods + Base De Carga ,59.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				307
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,5,https://perfil.mercadolibre.com.co/MAOVIDEOJUEGOSYTECH07,https://articulo.mercadolibre.com.co/MCO-474614467-audifono-bluetooth-i7s-tws-tipo-airpods-base-de-carga-_JM,5,0,0,0,0,#474614467,NA,NA,NA,NA
31, Audifonos Kz Zst Pro Negros Con Microfono Garantizado ,78.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				62
				vendidos
			
		",(210 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.192
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,164,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-496091760-audifonos-kz-zst-pro-negros-con-microfono-garantizado-_JM,126,30,5,2,1,#496091760,KZ,ZST  PRO,In-ear,NA
32, Audifonos Inalambricos Jbl T110bt Bluetooth Manos Libres ,126.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,47,https://perfil.mercadolibre.com.co/TECNOOPTIMA.COM,https://articulo.mercadolibre.com.co/MCO-468960790-audifonos-inalambricos-jbl-t110bt-bluetooth-manos-libres-_JM,40,5,1,1,0,#468960790,JBL,T110BT,In-ear,NA
33, Hbq I7 Mini Wireless Auriculares Bluetooth Stereo ,33.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				214
				vendidos
			
		",(154 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 931
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.7,9,https://perfil.mercadolibre.com.co/BAGL6561050,https://articulo.mercadolibre.com.co/MCO-494549932-hbq-i7-mini-wireless-auriculares-bluetooth-stereo-_JM,4,1,2,1,1,#494549932,HBQ,NA,NA,NA
34, Audifonos In Ears Kz Zst Pro Monitoreo Con O Sin Microfono ,82.100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				174
				vendidos
			
		",(68 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.281
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,164,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-490238493-audifonos-in-ears-kz-zst-pro-monitoreo-con-o-sin-microfono-_JM,126,30,5,2,1,#490238493,KZ,ZST PRO,N/A,NA
