search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
21, Par De Audífonos Bluetooth I7s Tws Inalámbricos | Maxtech ,12.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				91
				vendidos
			
		",(939 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.082
			
		
		 sin interés
		
	

	
		","
				$ 1.082
			",NA,Envío a todo el país,NA,NA,2.0,4,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-477090402-par-de-audifonos-bluetooth-i7s-tws-inalambricos-maxtech-_JM,1,0,0,0,3,#477090402,NA,NA,NA,NA
22, Audífonos Bluetooth Stereo Mp3- Aux ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				282
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,28,https://perfil.mercadolibre.cl/MARE8077404,https://articulo.mercadolibre.cl/MLC-448133358-audifonos-bluetooth-stereo-mp3-aux-_JM,15,9,1,2,1,#448133358,NA,NA,NA,NA
23, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.990,39.990,"
			
			
				
				197
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,62,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM,51,7,3,1,0,#451201533,Huawei,AM61,NA,NA
24, Pack 2 Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				49
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REQUETE+OFERTAS,https://articulo.mercadolibre.cl/MLC-498173774-pack-2-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-_JM,NA,NA,NA,NA,NA,#498173774,047,WIRELESS 4.2+EDR,NA,NA
25, Audífonos Inalámbricos Bluetooth Bose Soundsport Free ,179.990,NA,"
			
			
				
				57
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 14.999
			
		
		 sin interés
		
	

	
		","
				$ 14.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472192834-audifonos-inalambricos-bluetooth-bose-soundsport-free-_JM,NA,NA,NA,NA,NA,#472192834,Bose,Audífonos Inalámbricos Bluetooth Bose Soundsport Free,In-ear,NA
26, Audífono Monster Bluetooth Profesional 40 Hrs De Musica ,24.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(88 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.148
			
		
		 sin interés
		
	

	
		","
				$ 4.148
			",NA,Envío gratis a todo el país,NA,NA,5.0,6,https://perfil.mercadolibre.cl/OUTLETNET-LTDA,https://articulo.mercadolibre.cl/MLC-460166710-audifono-monster-bluetooth-profesional-40-hrs-de-musica-_JM,6,0,0,0,0,#460166710,Monster,NA,NA,NA
27, Audifonos Bluetooh Tipo I 7 Tws iPhone Y Samsung ,11.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",(41 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 992
			
		
		 sin interés
		
	

	
		","
				$ 992
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/MAXDESCUENTOSCL,https://articulo.mercadolibre.cl/MLC-474106955-audifonos-bluetooh-tipo-i-7-tws-iphone-y-samsung-_JM,NA,NA,NA,NA,NA,#474106955,Samsung,NA,NA,NA
28, Audífonos Bluetooth Tipo I8 Mini iPhone/ Samsung Bluetooth ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/MAXDESCUENTOSCL,https://articulo.mercadolibre.cl/MLC-484620041-audifonos-bluetooth-tipo-i8-mini-iphone-samsung-bluetooth-_JM,NA,NA,NA,NA,NA,#484620041,Samsung,Mini,NA,NA
29, Audifonos Bluetooth Freebuds Huawei Negro - Prophone ,66.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(751 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 11.165
			
		
		 sin interés
		
	

	
		","
				$ 11.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-487448261-audifonos-bluetooth-freebuds-huawei-negro-prophone-_JM,4,0,0,0,0,#487448261,Huawei,NA,NA,Negro
30, Audifonos Bluetooth Deportivos Kolke Manos Libre Y Clip Loi ,5.990,8.990,"
			
				Nuevo
			
			
				
					 - 
				
				430
				vendidos
			
		",(83 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 998
			
		
		 sin interés
		
	

	
		","
				$ 998
			",NA,Envío a todo el país,NA,NA,4.5,13,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-451786898-audifonos-bluetooth-deportivos-kolke-manos-libre-y-clip-loi-_JM,8,4,1,0,0,#451786898,Kolke,NA,NA,NA
