search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes
564, Mini Caixinha Som Bluetooth Portátil Prova D'água S/juros!!! ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				17
				vendidos
			
		",(488 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 556
		
		 sem juros
		
	

	
		",56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.0,1,https://perfil.mercadolivre.com.br/ZHANGFENG2010,https://produto.mercadolivre.com.br/MLB-1221345797-mini-caixinha-som-bluetooth-portatil-prova-dagua-sjuros-_JM,NA,NA,NA,NA,NA,#1221345797,Importado,BTS-06,NA,3 W,Caixa,NA,80 dB,NA,NA,NA,NA,NA,Subwoofer,Diversos,2.1,NA,NA,NA,NA,NA
565, Caixa Som Portátil Bluetooth Recarreg 150w Philco Microfone ,619,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5925
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1177262966-caixa-som-portatil-bluetooth-recarreg-150w-philco-microfone-_JM,NA,NA,NA,NA,NA,#1177262966,Philco,PHT5000,NA,150 W,Caixa,USB,NA,NA,NA,NA,8 kg,Subwoofer,NA,NA,NA,NA,NA,NA,NA,NA
566, Alto Falante Jbl Charge 3 (gg) Original C/ Nfe E Garantia ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				25
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1528
		
		 sem juros
		
	

	
		",28,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2391,https://perfil.mercadolivre.com.br/BSTECNLOGIA,https://produto.mercadolivre.com.br/MLB-1214972965-alto-falante-jbl-charge-3-gg-original-c-nfe-e-garantia-_JM,1771,340,138,52,90,#1214972965,JBL,Charge 3,NA,NA,NA,NA,80 dB,NA,NA,NA,NA,-----,NA,NA,---,20 kHz,65 Hz,NA,NA,NA
567, Caixa De Som Amplificada Multiuso Up!6 Bk Fm/usb/bluetooth ,389,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(84 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/CASADEI_INSTRUMENTOS,https://produto.mercadolivre.com.br/MLB-761619744-caixa-de-som-amplificada-multiuso-up6-bk-fmusbbluetooth-_JM,NA,NA,NA,NA,NA,#761619744,LL Audio,UP6,NA,45 W,Caixa,NA,NA,NA,NA,NA,NA,NA,Woofer,"bares, lojas, pequenos ambientes",2.1,NA,NA,NA,NA,NA
568, Mini Caixa Som Portatil 20w Ultrapotent Bluetooth Mp3 Usb Fm ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				834
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 638
		
		 sem juros
		
	

	
		",38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,100,https://perfil.mercadolivre.com.br/ADRENALINA+SHOP,https://produto.mercadolivre.com.br/MLB-778202755-mini-caixa-som-portatil-20w-ultrapotent-bluetooth-mp3-usb-fm-_JM,55,26,12,3,4,#778202755,wster,WS-887,Preto,NA,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mine speacker,NA,NA
569, Caixa De Som Amplificada Bluetooth 25w Portátil Karaokê Fm ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				25
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1672
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,169,https://perfil.mercadolivre.com.br/BACKLYNE,https://produto.mercadolivre.com.br/MLB-1220857736-caixa-de-som-amplificada-bluetooth-25w-portatil-karaok-fm-_JM,118,27,14,6,4,#1220857736,Briwax,FBX-103,NA,25 W,Torre,USB,NA,NA,NA,NA,2.4 kg,Woofer,Woofer,Portátil,NA,NA,NA,Amplificada,NA,NA
570, Caixa Som Musica Caixinha Smartphone Android Bluetooth 50un ,1935,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 18494
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1190495340-caixa-som-musica-caixinha-smartphone-android-bluetooth-50un-_JM,NA,NA,NA,NA,NA,#1190495340,Wireless Speaker,HF-Q3,Sortidas,5 W,Caixa,USB,NA,9.5 cm,9.5 cm,10.8 cm,480 g,Woofer,Ativo/Passivo,Mesa,2.1,NA,NA,Portátil,DC 5v,1
571, Caixa De Som Bluetooth Amplificada Voxmax Super Bass Potente ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				714
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,78,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-1061480706-caixa-de-som-bluetooth-amplificada-voxmax-super-bass-potente-_JM,48,16,9,2,3,#1061480706,Infokit,VM-P3202,NA,30 W,"Amplificado, Portátil",NA,NA,34 cm,13 cm,23 cm,2.2 kg,"Subwoofer, Twitter","Ativo, Passivo","Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular, Guitarra, Violão, Baixo, Microfone",1.1,NA,NA,NA,NA,2
572, Caixa De Som Bluetooth Jbl Wind Original Nota Para Moto Bike ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				45
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1719
		
		 sem juros
		
	

	
		",19,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,926,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1050632594-caixa-de-som-bluetooth-jbl-wind-original-nota-para-moto-bike-_JM,749,120,39,6,12,#1050632594,JBL,Wind,NA,3 W,Caixa,NA,80 dB,NA,NA,NA,185 g,Ativo,Caixa,Indefinido,NA,20000 Hz,20 Hz,NA,NA,NA
573, Speaker Bluetooth Jbl Extreme 2 Black Preta 40 Watts Lacrada ,1337,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 12788
		
		 sem juros
		
	

	
		",88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,171,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1173971047-speaker-bluetooth-jbl-extreme-2-black-preta-40-watts-lacrada-_JM,126,28,13,1,3,#1173971047,JBL,Xtreme,NA,40 W,Caixa,NA,80 dB,NA,NA,NA,2.39 kg,NA,Passivo,NA,NA,20 kHz,70 Hz,NA,NA,1
574, Speaker Caixa Som Bluetooth Trendwoo Blade-x - Promocao !! ,99,NA,"
			
				Novo
			
			
				
					 - 
				
				53
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 955
		
		 sem juros
		
	

	
		",55,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,9,https://perfil.mercadolivre.com.br/SWA+MOBILE,https://produto.mercadolivre.com.br/MLB-811413388-speaker-caixa-som-bluetooth-trendwoo-blade-x-promocao--_JM,6,2,1,0,0,#811413388,trendwoo,Blade-X,NA,10 W,NA,USB,NA,NA,NA,NA,540 g,outdoor,NA,NA,NA,NA,NA,NA,NA,NA
575, Caixa De Som Bluetooth Usb Micro Sd Fm Aux Potente Home ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				161
				vendidos
			
		",(999 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,23,https://perfil.mercadolivre.com.br/AER+MAGAZINE,https://produto.mercadolivre.com.br/MLB-880274812-caixa-de-som-bluetooth-usb-micro-sd-fm-aux-potente-home-_JM,16,3,2,1,1,#880274812,H'maston,B28S,NA,20 W,Caixa,USB,NA,NA,NA,NA,800 g,Woofer,Woofer,"tv, smarttv, escritorio, churrasco, lavanderia, piscina",2.1,NA,NA,CAIXA DE SOM HMASTER,NA,NA
576, Caixa De Som Jbl Partybox 200 Bluetooth Led Efeitos De Luzes ,1944,NA,"
			
			
				
				3
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16208
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1156792366-caixa-de-som-jbl-partybox-200-bluetooth-led-efeitos-de-luzes-_JM,NA,NA,NA,NA,NA,#1156792366,JBL,Party Box 200,NA,NA,NA,NA,NA,NA,NA,NA,15.32 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
577, Caixa De Som Bluetooth Frahm Groov Gr15 Abt Ativa Acústica ,1384,NA,"
			
			
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 13237
		
		 sem juros
		
	

	
		",37,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1223403470-caixa-de-som-bluetooth-frahm-groov-gr15-abt-ativa-acustica-_JM,NA,NA,NA,NA,NA,#1223403470,Frahm,GR15A BT,NA,995 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,De piso,NA,NA,NA,NA,NA,NA
578, Caixa Som Portatil Amplificada Bluetooth Recarregavel E13 ,66,NA,"
			
				Novo
			
			
				
					 - 
				
				585
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 551
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,40,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-919859264-caixa-som-portatil-amplificada-bluetooth-recarregavel-e13-_JM,23,8,3,2,4,#919859264,Yes,MS-144BT,NA,15 W,Caixa,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reader Speaker,Bivolt,1
579, Caixa Som Dual Usb Cartao Bluetooth 150w Rms Potente Philco ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5734
		
		 sem juros
		
	

	
		",34,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1177260169-caixa-som-dual-usb-cartao-bluetooth-150w-rms-potente-philco-_JM,NA,NA,NA,NA,NA,#1177260169,Philco,PHT5000,Preto,150 W,Caixa,USB,NA,NA,NA,NA,8 kg,NA,NA,NA,NA,NA,NA,NA,110V/220V (Bivolt),NA
580, Caixa Som Amplificada Portátil Frahm Cm 300 Bt 300w Rms 150w ,476,NA,"
			
			
				
				13
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4549
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1032037073-caixa-som-amplificada-portatil-frahm-cm-300-bt-300w-rms-150w-_JM,NA,NA,NA,NA,NA,#1032037073,Frahm,CM 300 BT,NA,NA,NA,NA,NA,NA,NA,NA,3.9 kg,NA,NA,De piso,NA,NA,NA,CM,NA,NA
581, Caixa De Som Moto Bike Bluetooth Jbl Wind Portátil Preta ,189,NA,"
			
			
				
				44
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1583
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,263,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1169950688-caixa-de-som-moto-bike-bluetooth-jbl-wind-portatil-preta-_JM,220,27,11,1,3,#1169950688,JBL,Wind,NA,3 W,NA,NA,80 dB,NA,NA,NA,0.185 kg,NA,NA,NA,NA,NA,NA,Portátil,NA,NA
582, Atacado Kit 10 Caixa Som Bluetooth Caixinha Pendrive Usb ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				12
				vendidos
			
		",(63 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOPPING+CARROS,https://produto.mercadolivre.com.br/MLB-1173730329-atacado-kit-10-caixa-som-bluetooth-caixinha-pendrive-usb-_JM,NA,NA,NA,NA,NA,#1173730329,Grasep,variado,NA,12 W,Caixa,NA,NA,NA,NA,NA,NA,PORTATIL,NA,MOVEL,NA,NA,NA,NA,NA,NA
583, Caixinha De Som Bluetooth Pen Drive Usb Fm - Varias Cores ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				35
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 601
		
		 sem juros
		
	

	
		",01,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1264116571-caixinha-de-som-bluetooth-pen-drive-usb-fm-varias-cores-_JM,NA,NA,NA,NA,NA,#1264116571,Grasep,BH1074,NA,6 W,Caixa,USB,80 dB,14.5 cm,9 cm,11 cm,400 g,Woofer,Ativo/Passivo,Mesa,2.1,15000 Hz,150 Hz,Portátil,NA,1
584, Caixa De Som Charge 2 Wireless Bluetooth 40w Usb Original ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/APSPSHOP,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=o8HEIPRi2fbRfn4o6fekgQLwZ27zU09tc2YH60Bco%2Fsajn%2BCgldTxN9Ai6lNUC0EO8ugUUcXBACXadA2eXwgAanUEnoshqD5hz5OdVpnlq4ZgBRPu41EG1pkXLhR4ckEbCVTy4WNtu%2BKlBRPkuacraQx2LmJMQ7guwmitFjkQz2qKoxdSSyscQjGyi5mQtZXnqvgO1nR%2FAKRMhuKuHhbRSAY40yLvkZrvcHJAftFvNFeC08qeux9PxNFG6IPg9eSf1xboSfW%2FjqLrsO2avEhOatYWhqCdMqVZU0GT4Tgrz1ZAlrl3RhOPnnLUCa17Hfg78%2BkKs0%2BpZhks5FFjdCzjAcnWFhNDffaoqv03Bdo1Rzo8wNvD99ZK3u0%2BfO6mwKsE2ZCYualmG8EB2holsfogonkidRTjdygeeVIw1i6no%2B%2FMKCJLZu1bwZhQDURA5uhiehsn9ZzAgnPlf6cgSTZNEuYJX3iJlPxgKmaSqArIBpXFWSH0YHeN63VerDVXqaq0r%2F9M4vNks2DrvO5kmTsL3Fx4b6CY9jy3GbtAYoNIqIWGY65hWNt16gJWSd1k6AZiyHLPnKy1FzkKHFjK%2B%2FX5S0mQG%2BDh9DHfqw8rqg5eqJRpKZzovwT5SEwwUZFj3jAW5m6EC3XgDyWdu9mF72EzUKh%2B2CKgfoKSM%2FxMVuEvt9y2t%2BygImEilyXwAsk58aSnjdpDkmdbtUS3pkQ4UIxqF%2FHKx3MBwKeecdz%2BQL4fPSp0Hjs5HfuZoXOm%2BG84P%2FsDz6ZTLPcY6cXVhhHe8GOi%2F5Hea1Kvw8fexz5yvhZZ6BNJmjzEmsWDOQ%2Farv3W41JVkhVRP2S%2BShY67Reo2kAp7UPxRyo9LgJKxgJc%2BkQaCGKnyY9Myt8VUGglgVR8e7Pzt084XlspeDzMy3TGg9bVjBm6ZOmA0ja9hKdGrsHQQDP4DGJaSYLZbw7caNhV3uOr8WzH1Z4fOerpXPv8QpH8aDCFonEV3pfmdP4E%2F1Zc8ioyuZiMqwOR4g7Uiruxcj%2BbxduS9snVnnj6TSwJFEyT02i3j2JAtpVLHQHLtgp4QuMdhjogEUI%2FoZQ1EE4OefQizF62RSLAGJFWXoe096XNILDzsqzbxnIMTZYDoSuzZXXZyPYPyT%2Bq%2FzHA4Cm5m%2FTRlO5KOWES7whTf%2Fd6oaYpoyWekBrUyw7yi2yGEexRhg2hmvC59eT7QBX36L8S9qFipXO1MANMs600KWHEFODwDMhM%2Fz5VZXGbMllcPJizFvtaEXzWokCGDobsoKhvMGk5z4R8pX9SQrQsmwETJ%2BEMXool5Ak4C7g%2BsM1VykvXfFKSaggJjNpb6c%2FcL1tFgzfD7Js9JR0jhU7Pb9L93CWYJU2BP8h5K0DxhrNwpPCGSAaYu8djj2dxDl3pIo4Lw0rxxJzjnChL%2FHA7gDJ1QDTo4yHhDJxZuc7cl%2BOJDvchzo4b5gtCOJSM1pG13SJvPkHky8ETHvuxDU7047vPyq8Vae5My7MokqZftiQRi3li8drU1V4OGlQaC7voM5pflEbZy8LNO4ZAuBHNBokPaj7Lu0z6pDg1V1kANS2myrwXVSO99aHpzgW9lh%2FG2dcEh1dtOta3A4Dg3P9rkmJvdU4wUq9VK7wE9AmdLLNsWZMTbaWraLjsGWS5MJwdFCnD4HZiDhrL8tBqwOGwzDvMAAyBiE4asyIjdPJIJKeo4SO4ZOmNv5IBKTwFYnJYxjzxBMa0qPpexYP9OrJP4jLQ5wde%2FRWi85q4AkCcpMOeHHAmyh7smxgsvK5N%2BmfenMUMXHKru2boMh6GdC4uTm8jjsptgzvEd8HbW5fewXCOUWm7pPe%2FIx1L78KOBMC3ypkuGuhcIjl%2F1lqMPt%2B1OCljmHq9fPRyCc%2FQSCm8y15VIT15ErcFN3XwlPTe%2F46CoqBYA%3D%3D,NA,NA,NA,NA,NA,#1290694567,exbom,cs-m33bt,NA,10 W,Caixa,NA,NA,NA,NA,NA,NA,Subwoofer,ativo/passivo,"Sala, Quarto, Cozinha, Praia, Sítio",1.1,NA,NA,NA,NA,NA
585, Caixa Som Harman Kardon Onyx Studio 5 50w Hkonyxstu5pto ,1170,NA,"
			
			
				
				10
				vendidos
			
		",(73 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9752
		
		 sem juros
		
	

	
		",52,NA,Envio para todo o país,NA,NA,4.9,15,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1204467408-caixa-som-harman-kardon-onyx-studio-5-50w-hkonyxstu5pto-_JM,14,1,0,0,0,#1204467408,Harman Kardon,Onyx Studio,Preto,50 W,NA,NA,NA,284 mm,128 mm,291 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586, Caixa Som Prof Bluetooth Amplificada Ativa Sub 15pol Usb Fm ,979,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8162
		
		 sem juros
		
	

	
		",62,NA,Entrega a combinar com o vendedor,NA,NA,4.4,51,https://perfil.mercadolivre.com.br/ENTERLIGHTILUMINACAO,https://produto.mercadolivre.com.br/MLB-950976996-caixa-som-prof-bluetooth-amplificada-ativa-sub-15pol-usb-fm-_JM,33,11,4,2,1,#950976996,Pro Bass,Elevate 115,NA,800 W,Caixa De Som,NA,NA,NA,NA,NA,15.5 kg,15 POLEGADAS,Ativo,"Piso, Tripé, Suporte","Entrada de Canais Para Microfones , Line, e Instrumentos",NA,NA,NA,110/220V,NA
587, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,896,NA,"
			
				Novo
			
			
				
					 - 
				
				38
				vendidos
			
		",(952 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7470
		
		 sem juros
		
	

	
		",70,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,73,https://perfil.mercadolivre.com.br/PANCAD%C3%83O+ELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1089921587-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM,53,11,6,1,2,#1089921587,Sumay,Thunder Black 400,NA,400 W,Caixa,USB,NA,NA,NA,NA,11.2 kg,NA,Ativo,NA,NA,NA,NA,caixa portatil,110V/220V (Bivolt),1
588, Jbl Xtreme 2 Original 100% + Nfe Lançamento ,1199,NA,"
			
				Novo
			
			
				
					 - 
				
				186
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9992
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1971,https://perfil.mercadolivre.com.br/STORE+2018,https://produto.mercadolivre.com.br/MLB-958897104-jbl-xtreme-2-original-100-nfe-lancamento-_JM,1264,346,191,69,101,#958897104,JBL,Xtreme 2,NA,40 W,Caixa,NA,80 dB,NA,NA,NA,2.393 kg,Super tweeter,Super tweeter,Portatil,2.1,20 kHz,70 Hz,Caixa Portátil,NA,1
589, Caixa Som Amplificada 500w Bluetooth Portátil + 2 Microfones ,742,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(40 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7094
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,175,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-1236342305-caixa-som-amplificada-500w-bluetooth-portatil-2-microfones-_JM,123,30,13,4,5,#1236342305,Amvox/Knup,ACA501 NEW X/KPM0001 PRETO BIVOL,Preto,500 W,Caixa,NA,NA,NA,NA,NA,13.64 kg,Woofer e Tweeter,Ativo,De piso,2.1,NA,NA,NA,110/220V (Bivolt),NA
