search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color
187, Parlante Bluetooth Aiwa Aaws21 Tsuy ,33,42,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(98 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6776
		
		 sin interés
		
	

	
		",76,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TS.UY,https://articulo.mercadolibre.com.uy/MLU-459650650-parlante-bluetooth-aiwa-aaws21-tsuy-_JM,NA,NA,NA,NA,NA,#459650650,NA,Aiwa,NA,NA,NA,USB,Roja
188, Parlante Tipo Jbl Xtreme Bluetooth Portable Música - $cm ,1190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6611
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,4.0,10,http://perfil.mercadolibre.com.uy/DULANDIA,https://articulo.mercadolibre.com.uy/MLU-459941513-parlante-tipo-jbl-xtreme-bluetooth-portable-musica-cm-_JM,5,3,0,1,1,#459941513,40 W,Xtreme,Xtreme,Pasivo,NA,NA,NA
189, Parlantes 2.0 Vertrag Bluetooth Entrada Optica Ctrol Remoto ,210,NA,"
			
			
				
				15
				vendidos
			
		",(58 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 43120
		
		 sin interés
		
	

	
		",20,NA,Envío gratis a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-449902441-parlantes-20-vertrag-bluetooth-entrada-optica-ctrol-remoto-_JM,3,0,0,0,0,#449902441,NA,Thonet & Vander,Vertrag Bluetooth,NA,NA,NA,NA
190, Parlante Veladora Bluetooth Musica Oferta Mf Shop Nueva ,609,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(18 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3383
		
		 sin interés
		
	

	
		",83,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MFSHOPUY,https://articulo.mercadolibre.com.uy/MLU-450770007-parlante-veladora-bluetooth-musica-oferta-mf-shop-nueva-_JM,NA,NA,NA,NA,NA,#450770007,NA,NA,NA,NA,20 kg,NA,NA
191, Parlante Portátil Jbl Flip 4 Bluetooth 12hs Gtía Oficial Amv ,135,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27720
		
		 sin interés
		
	

	
		",20,NA,Envío a todo el país,NA,NA,4.8,221,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-463014819-parlante-portatil-jbl-flip-4-bluetooth-12hs-gtia-oficial-amv-_JM,185,29,4,1,1,#463014819,16 W,JBL,Flip 4,Activo,NA,NA,NA
192, Parlante Portatil Bluetooth Rectangular Excelente Sonido ,590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(46 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-447696740-parlante-portatil-bluetooth-rectangular-excelente-sonido-_JM,NA,NA,NA,NA,NA,#447696740,NA,NA,NA,NA,360 g,NA,NA
193, Barra De Sonido Bose Bluetooth Sound System Solo 5 Diginet ,394,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 80901
		
		 sin interés
		
	

	
		",01,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-451868257-barra-de-sonido-bose-bluetooth-sound-system-solo-5-diginet-_JM,NA,NA,NA,NA,NA,#451868257,NA,Bose,NA,NA,NA,NA,NA
194, Barra Sonido Bluetooth Tienda Oficial Thonet & Vander Grund ,393,NA,"
			
			
				
				35
				vendidos
			
		",(146 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 80696
		
		 sin interés
		
	

	
		",96,NA,Envío gratis a todo el país,NA,NA,4.8,5,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=QpDp8Filhnp0rlCIwZ7XdMpO2TpjQ6S1kEtHdNvVvS9Jvok5YGSWfe43icpoKvjxcmxAHWz2z0z6O3TFtgBfOiLcVwWLREcTKolWcB1TUByixm0Ef4ufBglNkiU46e6V749MRzbrhgwRhHqoIohbNyb5ILl9gkr%2BUc9ayveeAuVNWfZ%2BiAZgBjJacKb%2FVA1av26eFfz%2Bk2sNluwt7txEUPmQYdFXK4P%2F8sRmcGMMTT6gBM0014SZKdVFlS5UfvpJErYXNsk2SErYA%2BBl99CdbQRqgzQm7jQrXbBHPj5TjRhANZfgg5AGR6GKeZomWkIag0iut4DxNAsI03VTGubMxBBxcwqekFawz9l%2FNr%2FongAbp4VyTqTcNdjoIAgMpBFGE%2FOjen8k6AxIap7tgRmkPGL%2FTEyemfXM20Axu0NA8xyEa20YpVhkItIwW%2BIjlUMdwBtfkl5PltqWOQhrv53ykUcKCfnB4Cg71rv6Mt3qfGGNtmC8YqE4Tdg7tKC1uXw93ktNMy%2FTw4fodsU3FlilQgN%2BlL489HZF480t3PfqLA%2FbaFqpy4apGa7zIRmIxyh7RKzm3HZpOzYmVClEejo8UkLMgyVjUK%2FXTxzUemX%2FW3Bdtu%2FlgRHqpiGndK%2FQOxJgyeYPwShwYMwtqkeXltyTTQlZRZTuCJ%2BgkplyX%2BNgmShoRypjmTjrswa5%2BN%2BlsSxodCUBxxVDjlPLqgeHG%2FI9A9RSn07YjMRfR%2BJjp14XlJ8aZhBzegpa0k8S54lmy1yeIXhEmy4tRaoVZA2gxUjjYnbicvftW8nAqoqdMuV0BEaFkDOKRJo3dUc17Znp2p0LMHoTZVKG%2B1JV0xLKOCVab0VdMbiOwCxsM2yHiVMrJTBiyBYY5mrgZEhYNUV83m0uZaKrKibSQB8cq4bKl2Ad4%2BIZTajdeHlWpduM0Bu2pkYe%2Fvlheazt4IIBI1qBHJNJcP7pXf8umN3CzDqRaqaOq3IFBOqX1f8gRabxS0KWQW1hDfUnHHXXvo4PiCwY6OddpOx4vspLSVEULShj8fZ2yQBFG7iWAzv4wClc8CykuzXXaKs4GaCxErNKGvKJsxNI9prlc6HfXWjXIxHSqPD%2BdmN13I9k7jIOZGhvQrE%2Bl3uYgru3R1IkMyunoSVDjyb6DCV3tlqnHZJFtpR14TdzR0XiBF0bud2evhlQxZW%2B9fygr7slKo5KmWuHpkWnXWXI0JZx%2FPsxM9Mk8oRl5hQVsdd9pl08mt2vwTPWVQiyoFoQAvQuLesKgSf6CRLanB3nV50NDE05cnLVZ5D5F5J8oFv5GwYmm3ihUwyKOUM3YgIIJiTT42ts9eCwG%2BvGWVD10bXO3oHLKAiMXe5d8jouuFA5bnXiZItT8rhnpq5CP14nI0OYnAtGiAU25FLgG37Lo8HRT40ea9QTp%2BHUtu%2BhbNNIIYKil9up1X8ebR%2BCGAb6j2DFtp%2BCSVlzQKTGvCrOQbpaxHFa%2B6VgJ4xQJ%2FNqZgai2ovDqN0wvfQlqddFxK4KBOzzOQwqlwS5YItz%2B46vhAT6eleJ9ri8ziDZ9AP9XR1vjQEGTUOlt%2FKB9WrhAl6MEVVQu6vEtOFEgjWREQpspkY%2BcNOcTY1%2F0tPmIfN%2BmdsIOsBFOtl8Gfx3gE1hydtANpiPoeU9gcEGHZMRrunYtdZt93gSwN7xlI%2FgznvYTJwBfC3Cqxkz0gsUkjL%2BlxRpgbWB%2FTsh,4,1,0,0,0,#445297707,NA,Thonet & Vander,Grund,NA,NA,NA,NA
195, Parlante Bluetooth Micro Sd Mp3 Usb Manos Libres Luz Hd Fm ,299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(42 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1661
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462152363-parlante-bluetooth-micro-sd-mp3-usb-manos-libres-luz-hd-fm-_JM,NA,NA,NA,NA,NA,#462152363,NA,NA,NA,NA,NA,Auxiliar,NA
196, Parlante Bluetooth Potente - Radio Fm- Audio Rojo Oferta ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LAMEJOROFERTA_URUGUAY,https://articulo.mercadolibre.com.uy/MLU-446695407-parlante-bluetooth-potente-radio-fm-audio-rojo-oferta-_JM,NA,NA,NA,NA,NA,#446695407,NA,NA,NA,NA,NA,NA,NA
