search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1986, Lâmina Desenho Barbeador Philips Multigroom Série 3000 Qg33 ,57,NA,NA,1,10x,6.59,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/DOMINIC+HAIR,https://produto.mercadolivre.com.br/MLB-1231936973-lmina-desenho-barbeador-philips-multigroom-serie-3000-qg33-_JM,NA,NA,NA,NA,NA,#1231936973,Philips,"CABEÇA DE LAMINA  (20mm) DETAIL ( Detalhes )DE SOBRANCELHAS , COSTELETAS E BARBA. SERVE EM QG33 DE QG3320 ATÉ QG3398 E TURBO","PEÇA DE PHILIPS Multigroom  SÉRIE 3000 5000 e 7000 DE QG33 ATÉ 3398 PEÇA DE REPOSIÇÃO NOVAS E LACRADAS PRA DETALHES DE SOBRANCELHAS , BARBA E COSTELETAS DE TODAS QG33 DE 3320 ATÉ 3398 EXCLUSIVAS",NA,Recarregável,Removíveis,NA,NA
1987, Barbeador Aparador De Pelos Tudo Em 1 Bivolt 9 Em 1 Sem Fio ,189,NA,NA,3,12x,15.75,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/COMERCIAL-ELETRO,https://produto.mercadolivre.com.br/MLB-1163879128-barbeador-aparador-de-pelos-tudo-em-1-bivolt-9-em-1-sem-fio-_JM,NA,NA,NA,NA,NA,#1163879128,Multilaser,Masculina,Multiuso EB11 - 9 EM 1,NA,Recarregável,Removíveis,55 Min,141 g
1988, Barbeador Oneblade Philips Qp2510/10seco Molhado Nota Fiscal ,169,NA,2,9,12x,14.16,NA,Frete grátis,NA,NA,4.4,1483,https://perfil.mercadolivre.com.br/SHOPDOSELETRONICOS.COM.BR,https://produto.mercadolivre.com.br/MLB-916570025-barbeador-oneblade-philips-qp251010seco-molhado-nota-fiscal-_JM,1018,260,99,39,66,#916570025,Philips,OneBlade,QP2510/10,NA,Recarregável,Removíveis,Bateria,NA
1989, Barbeador Philips Aquatouch Com Trimmer Bivolt Preto E Azul ,256,NA,3,6,12x,21.38,NA,Envio para todo o país,NA,NA,5,3,https://perfil.mercadolivre.com.br/ZOO+VAREJO+DIGITAL?brandId=232,https://produto.mercadolivre.com.br/MLB-971566916-barbeador-philips-aquatouch-com-trimmer-bivolt-preto-e-azul-_JM,3,0,0,0,0,#971566916,Philips,AquaTouch,AT756/16,NA,Elétrica,Flexíveis,40 minutos,0.18 kg
1990, Aparador De Barba Philips Bt1209 Beard Trimmer Series 1000 ,95,NA,NA,4,12x,9.17,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1218134034-aparador-de-barba-philips-bt1209-beard-trimmer-series-1000-_JM,NA,NA,NA,NA,NA,#1218134034,Philips,Series 1000,BT1209,NA,Bateria,Removíveis,NA,NA
1991, At756 Cabeçote De Plastico ,30,NA,NA,2,6x,5.55,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ELETRONICA.LTDA,https://produto.mercadolivre.com.br/MLB-1147711677-at756-cabecote-de-plastico-_JM,NA,NA,NA,NA,NA,#1147711677,Philips,barbeador,AT756,NA,NA,NA,NA,NA
1992, Philips Multigroom Peça De Reposição Serie 3000 Qg 3340 3339 ,319,NA,1,3,12x,26.67,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/NS.BAZAR,https://produto.mercadolivre.com.br/MLB-804038843-philips-multigroom-peca-de-reposico-serie-3000-qg-3340-3339-_JM,NA,NA,NA,NA,NA,#804038843,Philips,PHILIPS PEÇAS ORIGINAIS,PHILIPS MULTIGROOM SERIES QG3340 E 3000,QG3330,Recarregável,Removíveis,45minutos ou Mais,NA
1993, Barbeador Multilaser 3 Em 1 Com 20 Posições Eb024 12x S/jrs ,124,NA,NA,7,12x,10.41,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/MERCADOFACILSHOP,https://produto.mercadolivre.com.br/MLB-1187548079-barbeador-multilaser-3-em-1-com-20-posicoes-eb024-12x-sjrs-_JM,NA,NA,NA,NA,NA,#1187548079,Multilaser,Men Care,EB024,NA,Elétrica,NA,1 Hora,NA
1994, Barbeador Elétrico Braun Série 7 799cc Frete Grátis Oferta ,1399,NA,2,1,12x,133.71,NA,Frete grátis,NA,NA,3,2,https://perfil.mercadolivre.com.br/MX+IMPORTADOS,https://produto.mercadolivre.com.br/MLB-918595165-barbeador-eletrico-braun-serie-7-799cc-frete-gratis-oferta-_JM,0,0,2,0,0,#918595165,Braun,Series 7,799,NA,Elétrica,NA,NA,NA
1995, Barbeador Philips Cerberus Aparelho Maquina Barbear Eletrico ,214,NA,2,1,12x,17.83,NA,Frete grátis,NA,NA,4.4,332,https://perfil.mercadolivre.com.br/CINZAL+MOVEIS,https://produto.mercadolivre.com.br/MLB-971094985-barbeador-philips-cerberus-aparelho-maquina-barbear-eletrico-_JM,227,52,29,10,13,#971094985,Philips,AquaTouch,S1030/04,NA,Bateria,Flexíveis,NA,225 g
