search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
358, Profesional Afeitadora Eléctrica Barba Cortadores De Nari ,60.427,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 10.071
			
		
		 sin interés
		
	

	
		","
				$ 10.071
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-479984100-profesional-afeitadora-electrica-barba-cortadores-de-nari-_JM,NA,NA,NA,NA,NA,#479984100,Wangmeili,NA
359, Afeitadora Eléctrica Philips Norelco Electric Shaver 7500 Fo ,250.302,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 41.717
			
		
		 sin interés
		
	

	
		","
				$ 41.717
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402262-afeitadora-electrica-philips-norelco-electric-shaver-7500-fo-_JM,NA,NA,NA,NA,NA,#478402262,NA,NA
360, Afeitadora Eléctrica Philips Norelco Pq208/40 Travel Electri ,36.199,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.033
			
		
		 sin interés
		
	

	
		","
				$ 6.033
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402274-afeitadora-electrica-philips-norelco-pq20840-travel-electri-_JM,NA,NA,NA,NA,NA,#478402274,NA,NA
361, Afeitadora Eléctrica Philips Norelco Special Edition Star Wa ,186.974,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 31.162
			
		
		 sin interés
		
	

	
		","
				$ 31.162
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402285-afeitadora-electrica-philips-norelco-special-edition-star-wa-_JM,NA,NA,NA,NA,NA,#478402285,NA,NA
362, Afeitadora Eléctrica Remington Hf9000 Heritage Series Shaver ,160.355,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 26.726
			
		
		 sin interés
		
	

	
		","
				$ 26.726
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402333-afeitadora-electrica-remington-hf9000-heritage-series-shaver-_JM,NA,NA,NA,NA,NA,#478402333,NA,NA
363, Afeitadora Eléctrica Remington Tf70cdn Battery-operated Foil ,36.199,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.033
			
		
		 sin interés
		
	

	
		","
				$ 6.033
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478402361-afeitadora-electrica-remington-tf70cdn-battery-operated-foil-_JM,NA,NA,NA,NA,NA,#478402361,NA,NA
364," Depiladora Eléctrica Para Mujeres, De Afeitadora Eléctric ",29.769,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 4.962
			
		
		 sin interés
		
	

	
		","
				$ 4.962
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILESPA,https://articulo.mercadolibre.cl/MLC-468502161-depiladora-electrica-para-mujeres-de-afeitadora-electric-_JM,NA,NA,NA,NA,NA,#468502161,US Buy,NA
365, Afeitadoras Eléctricas Mujer Eun-els-orig Eunon ,4.039.272,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 673.212
			
		
		 sin interés
		
	

	
		","
				$ 673.212
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPREONLINECHILE,https://articulo.mercadolibre.cl/MLC-485768057-afeitadoras-electricas-mujer-eun-els-orig-eunon-_JM,NA,NA,NA,NA,NA,#485768057,NA,NA
366," Philips Norelco Afeitadora Eléctrica 2100, S1560 / 81 ",65.990,NA,"
			
				Nuevo
			
			
		",(9999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 10.998
			
		
		 sin interés
		
	

	
		","
				$ 10.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-457933106-philips-norelco-afeitadora-electrica-2100-s1560-81-_JM,NA,NA,NA,NA,NA,#457933106,NA,NA
367, Philips Norelco Cortadora Y Afeitadora Eléctrica Híbrida ,77.990,NA,"
			
				Nuevo
			
			
		",(9999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 12.998
			
		
		 sin interés
		
	

	
		","
				$ 12.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-457933142-philips-norelco-cortadora-y-afeitadora-electrica-hibrida-_JM,NA,NA,NA,NA,NA,#457933142,NA,NA
