search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
11, Rasuradora Electrica Remington Cortadora Cabello Vello 9pzas ,549,790,957,41,12 meses,54.24,NA,Envío gratis a todo el país,NA,NA,4.5,46,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,https://articulo.mercadolibre.com.mx/MLM-612753157-rasuradora-electrica-remington-cortadora-cabello-vello-9pzas-_JM,33,9,0,2,2,#612753157,Remington,REMINGTON,PG6020B (110) F,"Cortador para detalles, Peine con 8 ajustes, 3 peines para barba, Cortador curvo, Cortador de vellos nariz y orejas, Mini afeitadora, Base de Almacenaje",4,Láminas,Eléctrica,50 MINUTOS,4 h
12, Rasuradora Cortadora Barba Bigote Remington Maquina ,549,NA,428,NA,18 meses,30.50,NA,Llega gratis el martes,NA,NA,4.7,91,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-658376737-rasuradora-cortadora-barba-bigote-remington-maquina-_JM,67,17,5,1,0,#658376737,Remington,Remington,PG6025 (110) F,Giratorios,5,Láminas,Eléctrica,65 MINUTOS,4 h
13, Rasuradora Recargable 3 Cabezas Independientes Bsk-8900 ,329,NA,111,2,18 meses,18.28,NA,Envío a todo el país,NA,NA,3.4,5,https://perfil.mercadolibre.com.mx/TIMCOWEB?brandId=1277,https://articulo.mercadolibre.com.mx/MLM-601445999-rasuradora-recargable-3-cabezas-independientes-bsk-8900-_JM,2,1,0,1,1,#601445999,Timco,NA,BSK-8900,Giratorios,3,Rotativo,Recargable,35,8 h
14, Rasuradora Philips Norelco Mg7750 Multigroom Dual 23 Piezas ,"1,499",NA,32,2,18 meses,83.28,NA,Llega gratis mañana,NA,NA,5,3,https://perfil.mercadolibre.com.mx/AUDIOLAND+ELECTRONICS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=88WoX3mY94jSVZnZuh2ltKuiitzy5zLbIF5n%2BFuGMFUUbYaro9TzrD%2BOxgupc2fY3nlcZm0E3j450L31OIaiU27yEUzcLOb1j6HYtRVkMwKTHjHTx18vJ2wi56lV7E%2FNBocZoFnO8u46kBObHjPWh0X5RcUNnSpubyV2aIMK3C9GIJQ4A3Onuoe%2BD%2F2EjMm3argthbRsfPZG%2BlXRCD6S77oU3fGLFkAz4t%2F6tesPfTsS0AaA90cKf4AKo2ZkMvqQJojLNe5uCeKK5zU1Z3oFUQhkPGYy2QyGtJVNihWa4EaN2Q%2FJp0AQAH%2BVnOhrFtR78WF%2FxFIgtn6HBDRfJ7HLE7oOF3rjNXbyIxO8HkBxfcyQxw33aKP83YDhJFt%2B7Oxd7vKROdufPdzGBqKH26QAYnZZ1JiKZ0Y3vPEcgHN2QiGzJszfLeO%2F1JifJ5fvNViWrrgdEAzWR9UKXh8vdXjn1O2Lx%2Bmhpu4q10J%2FX%2B6064bNJBKZcTg6x2JEChlSB5iqrQ3yBicKtjc8Klxk7uKaAtoYFUba%2Fjw9fV5ZDIYL2O6E%2FephX8%2FVuAPgoFi%2FI%2FPc5wYHsCTh8aQckbafSr%2Fz1U6RKb45%2B55p02Lk7wjjH7vPNJcwhFQP0SY4HHGbbPGqDz12LtLVAEt9%2FWI5B4ynfz66WqW61nmOgxd6NBFIyAH9vYodO4YoPL0qzJwTJBJ1WbrO7JUJGsVWjCkbP2gbodqHSoNdWYqp%2BwkhXnl4Uhyvy%2B8iwpDszsqAZ%2FiSjvSSgCXACPFWyo9bY3%2ByhpArapuiwFT%2FFfj8yFnUJXXoBipaii19BnUBaJglG%2Fc6TaL8buV4lA7ZOs6zL4s1hMuk5N5dxpiXwgW%2FvDFZE30s1Qe1Zji59aj6jRTpaq9uX7yD8qIHlMCYnbAHaSXzKkcrMiWF061%2BX6HF3HU%2Bpernt8oJ%2FCRUeEW0MMNcLqmZ2UAXTrGLdy6pMvQQSPaJ0OPLKEEcQv5NfbzkeefTXanuVA9pWrUwGvFxwS1r7ssIVYb5cdc8khZl5JZEfmj%2Fk0NktEURIgcn2T73zhZ1CDLNRHITKIO1pqXyPqxnCiu%2Fb%2BRCKQ5NMDW9wcIFVV5KS3BmDb0G2MlYhzo1PDzC3BvwimHRdeNaWPdPk46nS41tyA4GyXv1VlVR19rQcFOhbjda1K6wr1IM53pMSyx7ZGQGCHh27IMF5JZB0AGitudTG%2BZvofUhF8OEP1z2H3H8afJg9sFdzngwvpFPd4g%2Flr5gDkECe%2Fb48MkwOv3DlLU%2FlzNUPgZ%2BlPnfN4oHzodIDzqi376GQ9SclYPg4qliuFu53sgawmkbctG%2BtX6LJ02K4UDUJkB9Fr37HgbX1rpG68sPskjPnrpOWQWhbaMwd%2FAiufiVBznJMYQPYVLEj4%2FplNA8tPjO%2Ft7trhXSjsUqme6pug2z9nW3N20bhEoEnZo52IfnaVxjZ2VgEzX7shVYjTGiFCRSvzAAPaTiy5fR3mD93HSQKQiHRnLP8vMz8LdhnzKb5y4m5uiWEJ%2FYdLZwdrlZvsut6RqMm%2B8Q3KOTuTLyk4X1DfWY2k67UOol1vzMsO2MGQt5fJKxaPgH3l4qVd%2Ft6D4YftnzRvPlmHPhpbf9E89gDsa0%2BJJOhIULM8VvSnJEDNN9vQc4YODAhckoei2gjlAjL516X%2FUvMYn%2B9RfHapHtCXu2GUgZXb%2BRby7H0iAWKmLG8IO8DZRum44uWfr47%2BGqpLsVNp86u%2BBHvlSfq7zZjYDCW9Dj5cqJqD1xGtNbtRIm8%2Bp%2FJKkPKLYsSGe584RPg3MoPuxp%2F9DbAUXTa69HUmRWOa1CwE%2FWsVferqD5kPWUdN%2Bw,3,0,0,0,0,#631614977,Philips,7000,MG7750,Planos,1,Lift&Cut,Recargable,5 horas,2 h
15, Micro Rasuradora Maquina Barba ,149,NA,102,12,18 meses,8.28,NA,Llega gratis mañana,NA,NA,2.7,3,https://perfil.mercadolibre.com.mx/MALU8988452,https://articulo.mercadolibre.com.mx/MLM-664802590-micro-rasuradora-maquina-barba-_JM,1,0,0,1,1,#664802590,universl,barba,micro rasuradora,Planos,NA,NA,Eléctrica,electrico,NA
16, Philips Norelco Maquina Barba Nariz Y Oídos Envío Gratuito ,599,NA,300,24,18 meses,33.28,NA,Llega gratis mañana,NA,NA,4.9,21,https://perfil.mercadolibre.com.mx/MANIX_ELECTRONICS,https://articulo.mercadolibre.com.mx/MLM-601194044-philips-norelco-maquina-barba-nariz-y-oidos-envio-gratuito-_JM,19,2,0,0,0,#601194044,Philips,Philips,Multigroom 3000,Removibles,3,Lift&Cut,Recargable,60 ms,0 años
17, Afeitadora Profoil Andis Lithium Titanium Foil Shaver Recarg ,"1,449",NA,673,86,18 meses,80.50,NA,Llega gratis mañana,NA,NA,4.9,24,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-551340932-afeitadora-profoil-andis-lithium-titanium-foil-shaver-recarg-_JM,21,3,0,0,0,#551340932,Andis,Profesional,Profoil Shaver,Planos,1,Láminas,Recargable,90 m,1 s
18, Philips Norelco Maquina Recortadora Barba Bigot Delineadora ,589,NA,183,28,18 meses,32.72,NA,Llega gratis mañana,NA,NA,4.7,6,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-643071800-philips-norelco-maquina-recortadora-barba-bigot-delineadora-_JM,4,2,0,0,0,#643071800,Philips,Recortadora,Multigroom 3000,NA,NA,NA,Eléctrica,NA,NA
19, Rasuradora Multi-usos 8 En 1 Timco X-48 ,288,NA,74,13,18 meses,16.00,NA,Envío a todo el país,NA,NA,4,4,https://perfil.mercadolibre.com.mx/TIMCOWEB?brandId=1277,https://articulo.mercadolibre.com.mx/MLM-601445913-rasuradora-multi-usos-8-en-1-timco-x-48-_JM,3,0,0,0,1,#601445913,Timco,NA,X-48,Removibles,1,Rotativo,Eléctrica,NA,NA
20, Philips Norelco Maquina Recortadora Barba Bigot Delineadora ,589,NA,183,28,18 meses,32.72,NA,Llega gratis mañana,NA,NA,4.7,6,https://perfil.mercadolibre.com.mx/TEKLIFE,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=2O88S%2FWlXlf6TKXJdfX3d7f%2F2oNKsFoq27A%2FnTZ6xpfoi0iFvsZ9wt5ubL2acozqU3RnpTQr1WNGU6RmPdZlNiXSrU9rw4N2%2FkMtgNpXp2mtoxDXFhzXg%2FoHPzxZhe%2FNHfuwVEHLtGc3xSKtkYcYfLZBrb0IJ7Ii%2BU%2BbwYL10FkMLgZ9wcfqFEi0AdLOfchXWL8dbMXRShwdAQzoJbdr9bkTb487n6ISQ%2BczxkK9HnysK8%2Fmsf4QwdMReP0sRYG0TnNCeNVMSz8yqiOGJkH6wsqwTdPm04PaXkMN8LkOxw1lLS2zxrRg1yOb2fa49HRE7ffA19skAPnJUG1YvKB%2F8M%2BpZtsSU5kRmxydGRWPixFL6nLhspN8F3xMsKtJuyC6t52WtFYlgfEKgs9aVNhZIYv2F1l%2BDIOnUe1o5Kd6yz0AaPjpKJqFNa2inYWCcCP%2F0uSsgebGIeOT9HHJsK0rDRPHdurU1b1NtudQJsV1%2BF%2FQXiAQy88GNZQD5YKGQlGeMCBe5A8R3Q4qwEtIupWdQtmaZq5B5%2FL10CeZ1yp%2FWPSb5lWOkUpGkKcgMTlMpOFzCNSLCziPrsW1JcWCXDkNhbsUSpyaftnMznWtZ1qr5CXtEOM5B%2F28psXo5vCjN86Rnx%2BaB1rdO%2FBwO52xBIlqqvMPG%2BCsT3GWFOwZwkCmA0z%2FTVOotcjJof69ncpyeL4%2FCGDpMMpvzvGSUhz78fmo3VrekNN%2Bxu5%2FgaiFJ415P7WYcYydJKOmQZ2tCbdBWhEFoKXrtnq0eFP9%2BhljGB%2BjP%2FufZWVXuUwv%2FK4yyPnfTy%2BRkxmL0XJ%2FC%2FhNgccJE3RCvDdXXcwrXFE%2B0yXtEKAKSjjD9hX9w%2BaJ5fhP%2FMVBszpOuBk4oZc3Qn343DNFyt8HDcPwggxj%2FTMOYIT4Y%2FA%2FkG%2B9YXeIf6Vdb8rS457RsORzF2KTqg7FNGURtAIfltZpWSDZpLaFUzUXJXJNpfMBLR1kBQRmW4LwNMunNq%2BkiG1ky7Az78m3tUmS%2Bl%2B%2Fqv%2F4JftYMH1m%2FJ5ylRO2hDGlqz%2FViqmn4UsEEkaOJVasM3wLJmbV92Uq3XxOWB2q%2BkKh6i1ueG0qegJf2yrmj%2F8S0Ie1OuujPExmy%2FUrASfQGRjeBmQ0YxwtzqSQkDTg51oEFiCv5HvOGFDIjiHbhtvaZnSfeYrPqqgnDwoUu%2BxtZnOdECrhF3pVTVmSYjOmkU0%2B%2FxASJNpYW2irB1qIsxR6iXkAq0xQnt02YlB71yoPOYMNWsQk%2BbcVbamPnklakclPBHsWXRCpxGP6lNWvUaxpYIazplp%2F5fsheaYZjaUKtrKs5GL3kuBAdAFIr2YyXLUCh03XzA7naGACfXQzLqaK1ExYyM1TX6YljAqKwX5f53An1EwlyJBpiUP9S12h714OId9uo7iB3fjHbdcEO4rchotZ7xtbHARhUps68wWPkOE49S9XBB2gzxZEBeN0TbY6KKP7zp22lDXIrA%2Fe%2FLWg2x4w9S50gbGovRKN%2F62JPDiNt7fcS1tJTYprkGq%2BTfJuIc3ARb4NdlqR1cOUS42mCPCHzOvoIhlXqFSMChKkZqBLFnjCNB4s1sp6vJIOEmZHJlZ58Nr0vJxuHxmt%2FcXdLBqTCJuaiDTrNefuRjqz7chh0ceXoOOpmmwqBDcOEQwhbkLr%2FgWA%2Bw2cq16iPndpSx4mlmGsV2qu9RdKzA5HKw1EZeattmjvDcyY7gdlybpFpQukK9ggM3MLkPAUG3273I%2BlFJv8W7xY%2Bv3jtEEBFVqbgSarvK6ifvfBcAfPlzlk7s6xUUNWaYepuwOVStvWyRT7SwGU7tbVdSSU0wclpH1s7utuL1Zz,4,2,0,0,0,#643071800,Philips,Recortadora,Multigroom 3000,NA,NA,NA,Eléctrica,NA,NA
