search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
716, 3 X De Philips Norelco Hq56 Hq55 Hq4 Hq3 Reflex Plus Afeitad ,1358,NA,NA,100,18 cuotas,75.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452138725-3-x-de-philips-norelco-hq56-hq55-hq4-hq3-reflex-plus-afeitad-_JM,NA,NA,NA,NA,NA,#452138725,NA
717, Pwron 5ft Cable Cable Adaptador De Ca Para Máquina De Afeita ,2102,NA,NA,100,18 cuotas,116.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452059926-pwron-5ft-cable-cable-adaptador-de-ca-para-maquina-de-afeita-_JM,NA,NA,NA,NA,NA,#452059926,NA
718, Adaptador Genérico Para Philips Norelco Rasuradora Hq8505 Hq ,1400,NA,NA,100,18 cuotas,77.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452278375-adaptador-generico-para-philips-norelco-rasuradora-hq8505-hq-_JM,NA,NA,NA,NA,NA,#452278375,NA
719, Adaptador De Corriente Ac/dc Cargador Cable Para Afeitadora ,2027,NA,NA,100,18 cuotas,112.61,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452312328-adaptador-de-corriente-acdc-cargador-cable-para-afeitadora-_JM,NA,NA,NA,NA,NA,#452312328,NA
720, Recambio Afeitadora Cabezales Para Norelco Hq9 Hq8100 Hq8240 ,1978,NA,NA,100,18 cuotas,109.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452063781-recambio-afeitadora-cabezales-para-norelco-hq9-hq8100-hq8240-_JM,NA,NA,NA,NA,NA,#452063781,NA
721, Metal Resina Manillar Barba Bigote Tejón Nudo De Pelo Afeita ,1946,NA,NA,100,18 cuotas,108.11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452380903-metal-resina-manillar-barba-bigote-tejon-nudo-de-pelo-afeita-_JM,NA,NA,NA,NA,NA,#452380903,NA
722, Pkpower Cargador De Ca Para Alimentación Eléctrica De La Máq ,1849,NA,NA,100,18 cuotas,102.72,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452584324-pkpower-cargador-de-ca-para-alimentacion-electrica-de-la-maq-_JM,NA,NA,NA,NA,NA,#452584324,NA
723, Pwron Ac Adaptador Cargador Cable Para Philips Afeitadora No ,1786,NA,NA,100,18 cuotas,99.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-456403163-pwron-ac-adaptador-cargador-cable-para-philips-afeitadora-no-_JM,NA,NA,NA,NA,NA,#456403163,NA
724, Afeitadora Corporal Philips Bg105 Hombre Zonas Sensibles Pcm ,1044,NA,8,999,18 cuotas,58.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=3iSIECc45mkxe9yLF3nTCeu3E5heSD%2B%2FCrjqhRdP5D3lyqkhQOhMFXkk%2B4iOWsOplznWcBtoMf3EQjMiHi1TaXhvLz%2BwyCd9hADOxNPl77XbUYdSs2w0Zsu5VaT61A%2F0GOeO%2Fr%2BqfZk26gkScJGV2uNDczhGdO0uiTeMf4YtpXJskJA2DmcesXZRDTdNrBiUVQLyVlJ5e3vyq6EZwJWAdMYKqUlG1KUMYNZuNbfUjraTaXESTBrNfZdg4M9lWW9b4LfuDPK1YnNRt7HlxDagQmcEaH2JRL8oO9XMDGmEiV1hhXuY3yj7c8BT9y4r4gfI4aSdFHbE8j9JeG0K1Sc%2Bt2r4Yudvlc0V0IwtQywKoXgfPhMF2%2F%2BiHl866tWCmZYLv%2FeUpheoc8Ozk5d35zG0FaDztV8o1zDrap47WkqGhivibKYIFXFb%2FxTvIO1eF6TkhUv5PZXWwBZH7LxliMTedRUZs5%2BJ%2BtJrqfzQE2w61JDpvsbYO4ub3BHltV92GevW0qQtGhiGPxl4P7pbRmxV94Gf6vPdI9oIcjEtuIYaK4ySiyDNQDjEUrVjZYj70RflwoudmUTq7UN5yS4TaGlxsKyp8vGSCz26ojjl0NOPPd52Ql3uAX4jTeObpg3y24w9w04abBeTtWlPFfq%2BfNCN1oOz3tf3H9sZTb4P2tNyYmcZtA1CuX2lpSZgUMpHKsFElbe5xhGLw74HwAxG0dHoxvFtQBs8jxYJYT54pGWsslPZLJ7EmUEifQlwKhvH98WEubYF0gBcpuWLpIAkKCeH%2F8qBSOOxFYKncApUAgd5a6TvzuZqiO9Auj%2FysfyMYFvrj63pYPYsfmsbYcYH3bKIBYRYB33cEgeDoQQ3Yxso43RFZuUnbyWwDoL7nwlHGS1bXkyJ4Lsg9QbtpXerPYl%2BD2HbOJcCEPCfj3Y6Go%2F4%2BBte5TqwiSa45NTw2FiddTLd3Pd3sjcz3rnzfgSJh6m5eZjlNQ%2FcMDYbh5%2F7NpCPuwWM5vGgZjqyNe079hBX4LTY4uE0oesRBMGi%2F4Xv1%2FIi8dV%2BEJbAO40AntSGnIE3%2Fzcpma6qmAJ6WbBZ6mP6AvaXuYY7G51B1Vj5OHDvzNriHX9uYEuA6RywIsX1%2FS2vQBYqPdJRckJHDC3Gb8tk1tY30AmDCHp%2BFRUSE4%2FH0%2FlTs3Vx91qIer1u373IpM9jEoUx00jxowM4YYJQxLYbnmzZv7ViErN9T6F5gRFChlHMGogv83YWEAYtcbpZLdWilgQz%2B7H3A9gH1AicNYd545Zi9rMOw%2FsnCSHVrMrpisYtUwHp%2B8TgAV9ZmAxf02NoT8kJiIJSgvqhyJ4lRv0fVxgSjvcUSTOMUhS1blkzIwGGddrXeVIiMwIZH0r5X1R%2Fg5jAJc1VJoXVxoNYHymrJlR6sxglnIxmmZd3rf%2Fu266%2FFqCMMebXAsdaYdSHACX7QXBhwSXmTP2ZqSEz%2BRmHNpBkiU2cVQcrANTCC99PF7%2FbRlL0RV3%2Fb2grwhjwmJkIK7hkH5a1w0uEN8GrX5Knyw5cvLyRVzUq52YYhDO2qmW8O0Ro7bjnOyP1iL6e0n1wx%2Bs58ERfGlKDlyL5A9FC%2BsU8f%2BA3rlhsLHETjtSviJnA%2BxahRYiYQQIVDi8MUGAezYYyyuBrToAs%2F1QEAcla4rprO5qvpGGqx26EWX9q%2FUF0lPeY4suoNY%2BzSKOh1ywxbrNX%2FyObchuQ4lGZrxMu8oOsHA%3D%3D,NA,NA,NA,NA,NA,#464191559,NA
725, Auto Dc Coche Adaptador De Cargador Para Afeitadora Wahl Tri ,2584,NA,NA,100,18 cuotas,143.56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-452084022-auto-dc-coche-adaptador-de-cargador-para-afeitadora-wahl-tri-_JM,NA,NA,NA,NA,NA,#452084022,Wahl
