search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Modelo alfanumérico,Peso,Usos recomendados
16, Casco Moto Integral Hawk Rs1 2019 Negro O Blanco - Sti Motos ,891,NA,"
			
				Nuevo
			
			
				
					 - 
				
				932
				vendidos
			
		",(28 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,30,12,5,1,0,#679809834,Negro,"L (60 cm),XS (54 cm),S (56 cm),M - 58 cm,XXS (52 cm)",Vértigo,Basic,Abierto,NA,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
17, Casco Moto Abierto Vertigo V10. Full. En Gravedadx ,2225,NA,"
			
				Nuevo
			
			
				
					 - 
				
				768
				vendidos
			
		",(29 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Simple,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
18, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,6990,NA,"
			
			
				
				71
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,11,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZR4aELiv01JDXRNhJYlNC2zdspVX5mkIVKU3TJPLAR78onWtSfwJWPqTJLEalISZHTcZGS%2BAgKXffaEGsNVi%2BOnNXtb%2F50CjE%2BnAHQ5kIoyReOHFHtmlbTExMkhxoa0R%2FzND4xYZcooxhoGLubzxa1h0lsH4sPnnSSicO4JUQIHRE5Ypo76W59zON3P8aUaO%2BazBdNKX443nVGhI4Hzv%2F1XMBedL8qPnLdi%2BtUNuQgqH0EVFxASjQ4e16JdKbg%2FhRx9A6ZeSdcZgRtNPjUgbMNb52S5BilgKt8IHzzUw9HT733%2Bm8TEB%2FOS7dPkZGd1SpNslMRIFB6OZ5h2JPi3j7hv1STxfJZABdAE1P%2FUDFGSR%2Bp%2B1UHb%2BDpDHmOeMTz2y%2FdibGpAaqJRzg0K1z1bZi1GLTTKc%2FShUV7HomcW4nn3voQOqfDhwA4QmhMJuodIXhKQNNTh6oc69aT6JkHLpo4oVer4QtmusLj5foEdV5U8jaCPBZS02T0QfPJ7TB5%2FdmSc9w2DkQMhT2XZ5zZSX4BhJb9bQz5rNuLWSBGGWr%2BRGKlHOxbUhbNATq3S4mi7q04ErHtKpAKED7jdgppN1cLNtOBGt9yL4kHlWT%2BuLylm%2B5GhsQAUFj%2Bu3uKCY1JiWkayNGMi5EiUkG6kdVFAdmjp%2FH6fofr1%2F%2BBsukH18vRUmlAokOvCjmJwMh4IIgnnlXL4SPmkJZ3VX2W%2B4j2MvZPe9OuEQqgXk3hCCI0pD9G%2F8hZMXJwtV%2FxmqtIe6g3wOsb0zpGbAegcsK25%2FnUoSoWNBW5JsLnsS0VIecIpxzriUkHBftDAZuCdcxxQJGWfyZjTgGmYtLF2RV6Vv6pGufyLM8y86GiGjikC1sL4Gz%2FzYyG0kHyvtpK9XEnB3hFKDiz1zfQtJ34Rke7%2Bat9lXMuu7MBQCAtzqBkzF1CfVKL%2FSyIpI%2F19e5s2p4nEIpyrfQBi4%2FBCrp3MsfqGO5OYT%2Fkxqce3Mtkw6NW6T5LneAKByMe3hxvSI%2FHWHJE2XDwLZzTFZVZphhNAe4BsZmvpPlNBQ4%2FrNykSGVLGNI2kK35KRCRzdcFJOET5sEGHFoJErVbzcxi%2BGE2EPnIihEzPalGW02Vc3O6QEWLbYmN31Sp3727gTGnnliWKAySZsEZbH8TeVq%2Bz8qwX5MzENQqNrut4XcFrRXDba4Dd9dCCA5ZzfxCAboRfiAB1VjCv0Ylih8e6RfG8yOFvfk8PhIx0QteSlQgaFThAVAo%2FzQ1gnXmNUzbMb9shipm2g1doBKaGW9Fdf6pxwkhy%2FJx4WMc4fOagNo4JMlS0uirTKTVYaZt0h%2FkihEWdzCjUnNaLEN%2FKRUc%2BgmPa7SuizOdFZlRGhNU2EPke1SQ2gONp1ixobv3%2BHFEl021xSijN6R3Vwho2WmniW1IKlecpQYaub%2FgO4QbF4Pd2JmNAyYfeiSBM7bWLwhvC1U%2FyytUMpxPDjPYMZwRW0E6kgMmm61xGqgjfUUZkLHAx8MM9MsqKgCvxpzXWEqj2qV3uhFIGEiWib5m3B3SOi82nkK2aWF8eA4SQ1uDsj5YlMHACx6dqpj9I%2BWbNOLFM7xRhxceC6a5zxYkE%2BG1ryC1xy4aEPrL%2FwOs7AXW%2FXewKpS%2BwaQ9vKS2svLlub3RsnGVGNNp74964tApXoOzdYxqWC2%2FUhjVUQxfOA%2FM6ec%2BpBSSyiT4HBOGqNioV%2BNU%2BeZz1w8AUDAu2lJHV4zia8Svc27%2BJsp%2FHO%2BwTSENNyUcNFzl4yZJw7hAt%2BB7nC6%2BnFPmfMTU0wxGHH1tqC5exsCW5op56E2mbl0fV1dS5JZL1ukYXKwJNSOTqTVHWYVUda84%2FyE1pDuQFd7qCxYNU511Zk,11,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L,XXL",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
19, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3250,4898,"
			
				Nuevo
			
			
				
					 - 
				
				123
				vendidos
			
		",(30 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,217,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,153,46,12,3,3,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,Simple,NA,ABS,Adultos,Unisex,urbano,821,1390 g,NA
20, Cascos Cross Oneal Sierra 2.0 Mx Enduro Atv ,3890,4490,"
			
			
				
				111
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,8,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-662533166-cascos-moto-integral-ls2-352-brilliant-negro-mate-_JM?searchVariation=15407937168,5,2,0,0,0,#662533166,Negro,XXL,LS2,FF 352 Rookie Brilliant,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,FF352,NA,NA
21, Cascos Moto Integral Ls2 352 Brilliant Negro Mate ,2736,NA,"
			
				Nuevo
			
			
				
					 - 
				
				964
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,887,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=27160362786,564,235,56,16,15,#639034451,Negro - Brillo,"S 56cm,L 60cm,M - 58 cm,XL 62cm",Hawk,RS5,Rebatible,Simple,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,NA,NA,Urbana
22, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,1990,NA,"
			
			
				
				96
				vendidos
			
		",(40 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,304,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-786125556-casco-moto-hawk-rs1-f-integral-naranja-tienda-oficial-full-_JM?searchVariation=36950360890,202,64,32,4,1,#786125556,NA FLUO,"S,M,L,XL",Hawk,RS1F,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
23, Casco Moto Hawk Rs1 F Integral Naranja Tienda Oficial Full ,4999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				161
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,33,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-683981943-casco-motocross-enduro-just1-edicion-limitada-chupacabra-_JM?searchVariation=20998787194,30,3,0,0,0,#683981943,"M,L",,Just1,CHUPACABRA,Cross,NA,Termoplástico inyectado,ABS,NA,NA,J32,NA,NA,Carrera
24, Casco Motocross Enduro Just1 Edicion Limitada Chupacabra ,6990,NA,"
			
			
				
				71
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,11,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-762056680-casco-motocross-oneal-2-series-rl-2019-mx-enduro-atv-_JM?searchVariation=31027522270,11,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L,XXL",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
25, Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv ,2999,4198,"
			
				Nuevo
			
			
				
					 - 
				
				2847
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,542,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-652740513-casco-rebatible-okinoi-10-doble-visor-guantes-mascara-fas-_JM?searchVariation=39630576068,341,137,46,10,8,#652740513,"Azul,Negro,Negro brillo,Negro mate,Rojo,Rosa claro","S,M,L,XL",Okinoi,Okinoi 10,Rebatible,Doble,NA,ABS,Adultos,Unisex,Integral,NA,NA,NA
26, Casco Rebatible Okinoi 10 Doble Visor + Guantes+ Mascara Fas ,813,1138,"
			
				Nuevo
			
			
				
					 - 
				
				3348
				vendidos
			
		",(1822 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,251,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-614755822-casco-halcon-h5-super-edition-2019-al-mejor-en-fas-motos-_JM?searchVariation=25457270195,161,57,29,3,1,#614755822,Negro,"S,M,L,XL",Halcon,H5,Integral,Simple,Resina termoplástica,Plastico Inyectado,Adultos,Unisex,Integral,NA,NA,Carrera
27, Casco Halcon H5 Super Edition 2019 Al Mejor $ En Fas Motos! ,2360,NA,"
			
				Nuevo
			
			
				
					 - 
				
				288
				vendidos
			
		",(82 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,219,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,https://articulo.mercadolibre.com.ar/MLA-610569559-casco-moto-hawk-721-abierto-vintage-bobber-cafe-retro-nuevos-_JM?searchVariation=31344054170,152,59,7,1,0,#610569559,"S,M,L,XL","NEGRO MATE LISO,BONES MATE,NEGRO MATE LISO,NEGRO MATE THICK,Never give up!,RUTA 40,RUTA 40 NEGRO MATE,Sunset,Vainilla",Hawk,721,NA,NA,NA,NA,NA,NA,ABIERTOS,NA,1300 g,NA
28, Casco Moto Hawk 721 Abierto Vintage Bobber Cafe Retro Nuevos ,3890,5446,"
			
				Nuevo
			
			
				
					 - 
				
				334
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,219,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-699693354-casco-integral-ls2-single-mono-ff352-negro-m-full-fas-motos-_JM?searchVariation=33419424213,154,58,5,0,1,#699693354,Negro - Mate,"XL,XXL",LS2,Single Mono,Integral,Simple,NA,NA,Adultos,Masculino,Integral,FF352,1300 g,Road
29, Casco Integral Ls2 Single Mono Ff352 Negro M Full Fas Motos ,3690,4190,"
			
			
				
				84
				vendidos
			
		",(11 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,14,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-743412003-casco-moto-integral-mac-gravity-doble-visor-negro-mate-_JM?searchVariation=26578944849,14,0,0,0,0,#743412003,Negro,"XS,S,L,XL,XXL",MAC,Gravity,Integral,Doble,Poliestireno,ABS,Adultos,Unisex,Gravity,NA,NA,NA
