search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco,Línea,Tipo
21, Cascos Power Maxx Azul O Rojo Mate Modelo Danger ,1500,NA,25,11,18 cuotas,83.33,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453357554-cascos-power-maxx-azul-o-rojo-mate-modelo-danger-_JM,0,1,0,0,0,#453357554,NA,NA,NA,NA,NA,Integral
22, Cubre Nariz Deflector Casco Moto Hjc Cl-st Fs-15 Cl-16 Cl-y ,149,NA,6,44,18 cuotas,8.28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-459817226-cubre-nariz-deflector-casco-moto-hjc-cl-st-fs-15-cl-16-cl-y-_JM,NA,NA,NA,NA,NA,#459817226,NA,HJC,NA,NA,NA,Integral
23, Casco Integral Para Moto Vento Mod Italy Con Rojo ,1290,NA,8,2,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459211547-casco-integral-para-moto-vento-mod-italy-con-rojo-_JM,NA,NA,NA,NA,NA,#459211547,NA,Vento,NA,NA,NA,Integral
24, Casco Hjc Moto Cs-15 Treague Mc-5sf Terminacion Mate ,109,NA,2,4,18 cuotas,209.82,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739509-casco-hjc-moto-cs-15-treague-mc-5sf-terminacion-mate-_JM,4,0,0,0,0,#449739509,NA,HJC,Treague,Integral,CS-15,NA
25," Intercomunicador Para Cascos, Con Cable Power Maxx ",1234,NA,54,4,18 cuotas,68.56,NA,Entrega a acordar con el vendedor,NA,NA,3.8,8,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444703050-intercomunicador-para-cascos-con-cable-power-maxx-_JM?searchVariation=38965732355,4,0,2,2,0,#444703050,Negro,NA,NA,Integral,NA,NA
26, Cascos Ls2 Ff352 Single Mono Negro Brilloso ,73,NA,30,7,18 cuotas,140.52,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-444273158-cascos-ls2-ff352-single-mono-negro-brilloso-_JM,3,0,0,0,0,#444273158,NA,LS2,NA,Integral,NA,NA
27, Cascos Motos Cross Mt Helmets Falcon Naranja 2019 ,129,NA,6,94,18 cuotas,248.32,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-459580027-cascos-motos-cross-mt-helmets-falcon-naranja-2019-_JM,NA,NA,NA,NA,NA,#459580027,NA,MT Helmets,Falcon,Cross,Weston,NA
28, Cascos Motos Cross Mt Helmets Falcon Negro Brillante ,129,NA,4,95,18 cuotas,248.32,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460021960-cascos-motos-cross-mt-helmets-falcon-negro-brillante-_JM,NA,NA,NA,NA,NA,#460021960,NA,MT Helmets,Falcon,Cross,Optimus,NA
29, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,1,3,18 cuotas,498.58,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454978455-casco-moto-hjc-is-17-loktar-mc-8-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454978455,NA,HJC,LOKTAR,Integral,IS-17,NA
30, Cubre Nariz Casco Moto Hjc Original ,18,NA,11,89,18 cuotas,34.65,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449754911-cubre-nariz-casco-moto-hjc-original-_JM,NA,NA,NA,NA,NA,#449754911,NA,HJC,NA,NA,NA,Integral
31, Cascos Motos Cross Mt Helmets Falcon Amarillo 2019 ,129,NA,2,98,18 cuotas,248.32,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-459409379-cascos-motos-cross-mt-helmets-falcon-amarillo-2019-_JM,NA,NA,NA,NA,NA,#459409379,NA,MT Helmets,Falcon,NA,NA,Cross
32, Kit Movimiento Casco Moto Hjc Hj-09 Cl-st Cs-15 Cl-16 Cl-17 ,18,NA,12,8,18 cuotas,34.65,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449859005-kit-movimiento-casco-moto-hjc-hj-09-cl-st-cs-15-cl-16-cl-17-_JM,1,0,0,0,0,#449859005,NA,HJC,NA,NA,NA,Integral
33, Cascos Abiertos New3 ,899,NA,32,11,18 cuotas,49.94,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/WINSTONG2010,https://articulo.mercadolibre.com.uy/MLU-451037731-cascos-abiertos-new3-_JM,1,0,0,0,0,#451037731,NA,NA,NA,NA,NA,NA
34, Casco Integral Power Maxx Negro Mate O Con Color Homologado ,1419,NA,22,3,18 cuotas,78.83,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444404541-casco-integral-power-maxx-negro-mate-o-con-color-homologado-_JM,1,0,0,0,0,#444404541,NA,NA,NA,NA,NA,Integral
35, Casco Moto Cross Thor Sector Covert ,295,NA,0,3,18 cuotas,567.88,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=VipZlYM10UHQWvPVOkk35aksJKB5bCLa5LzxTGLgOgiP1PmCQ2cNyOerb4%2F4LLk%2BUGZsSo6X8tRr1%2B7GgRxk4pp2jpgAFzuefxBaD61z9QSzR9qgyenHnMlNylTV%2FUX8eLehF%2FXbP2nt7mq4mYmMd9lZ1ECd4TXkJFsLyAUEVLOzIrFniy070z76RlqG99mILy1CFsn80ZNC1pelDmpgmBT0CTfLuwfSW3LJ6eOtIDxuKc%2B1sQZRIs4PzqsOeEwiOR9LRTHn1pxiGf1ZEiblvMkzcJJJ6NDk5f5HaDckIyefbF12cun3cl%2FFqCOupu87oBqdEBlMcML3XJLNbzphxpaUule59HdIdb%2FPLrFSRlq1frHFzcnr6MmMdmDSQjH693et93d2EauY9wRQclHmheIbOe9Y%2Fg3icn0bD1z9m5xW8P2aRx8JwLgxKmn1VyXgjQG7Fq2U0N5DjDwyml0myV8WdcmdEBMvwaqIEjtqtVQaDJFxU3pSqPzY7K5yZObcGGipe1MJVAzWrnk%2FMMii1iDvSsFlA79gfnkcUbxFruA9yMnvASCx5qhk2pBgz1EAruATNqRrh4GOQfNqCQW%2BFujz2cdtPbbg4OruPjj82v4HwMAHVI5mlJYsTzY%2FGvb5gSnxDGYGAQPy7MF8oGwxhPgbnpubwzwJtWfSUlwDkSY%2FSWdu4V3Lkfb55Eo%2BTVUOaenIQPbpZL%2BAmDK7DFKt7z9y%2BnEUj7KA7PtGWQHXyEsiZKNKjx%2FWOgWcLdyj3v51yFwqNXin09baL9uGuq8tegwQEUtnTk4mroJ0mWMHjHfAJFUsX0L3AOtlvJcpjnmmrh%2FmwKXqJVkJ%2BgRc5nCz9U9ZCI3DCFucoNID5IrSqXO7N0p8qtotrhAutkL7AzmYPEUKCHKimldmuZIa69lAZnD7fzFhErvAdkRZB22EHR9KXoXYcnnm2gAthqfKVmLkoER%2FiXyOkh9ffyvC8oB0tbkwcf5DNACqtWtcvnSMA%2BlYU2zekkOVepx2ZnAc7gNM1dYpt6uXX7pzgR5LvvASJA54CgxMKRAq53gTvv7usEOmtXeBh4hwdmuemMtZ6%2B2tPcc6nX%2FLPZUq%2B3fprV32WluMc09Kd8HraFr9O7sdnjg261srS5y4gun9dEMJ%2BzrkjLdx4v%2FXxZVxX3TPzWHKfdHWLel%2B%2B%2FIh8HzMT2mrkOHO2n7OWl1c6IrE1Mcmo%2FeD%2F%2Fuigfi430giCyV%2ByHaGFcxCEka5tsHpqrFfF7aaGTVE%2BiazQGIAT%2B3BUBThy1I55dMOxroaYEukSGHaS9yB4zVA3hZKj8C%2BvchY7MrcmajZc9eo6tu2lMnZDKP0aXwr%2BW5XookZ59fMc2yMwAaIfcpZOwmrB1FSG5HxYU6Es%2Bk%2FO2H7usQRG7Lk41aSQ8tZWWQg9MghgUy%2B7FyXJFCMXEfU40GT05hfYm8CVgTsaDmUalYeYTqxihDiHksnTkIWpV%2BBNfMuljUhh%2BUmMbZZQNQMlFcSP1uGKr1JXlGGDdLmx%2FC3qW7xy%2FvtiyqVgqkW1BVtqudaygbuGW5K2evmg0L6Jca4ATRe0z9OOOTl5VJ4%2FjY9BgAExmjvoPRbBpan1Cd9N2xvRveZX353Z4R0mb9cC4pDYUdafQP2h51L2FqmOg8u%2FU6UzDh5EULKUMw1eSuwmayw1z7JIHcTxLJgdsnBpJs6fKN6XCoLVhUGUJ0f84oi9uIfcjMwwIxYxVBE7oYdxo%2FVySxnYEYwQsgR%2B8q90WlXT%2B6pId80uZqszfpQwMHtvRdZ%2FWm%2FicNY9XxegZcM%2FLrBuO8sZjBvg5JChKLlWjxni7jOdKsTwRo%3D,NA,NA,NA,NA,NA,#454965472,NA,Thor,NA,NA,Sector,Cross
36, Cascos Para Motos / Mt Helmets Stinger / Pole Rojo ,86,NA,6,96,18 cuotas,165.55,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-454432878-cascos-para-motos-mt-helmets-stinger-pole-rojo-_JM,NA,NA,NA,NA,NA,#454432878,NA,MT Helmets,Stinger,Integral,Pole,NA
